subject,channel,f1_full,f1_occluded,drop_pp
1,0,0.5521147922170776,0.5168859879858254,3.5228804231252187
1,1,0.5521147922170776,0.5437963056884284,0.8318486528649194
1,2,0.5521147922170776,0.5139886769895662,3.8126115227511415
1,3,0.5521147922170776,0.4635633847389272,8.855140747815039
1,4,0.5521147922170776,0.4406044251089648,11.15103671081128
1,5,0.5521147922170776,0.3710541047842448,18.10606874328328
1,6,0.5521147922170776,0.617641281674761,-6.552648945768336
1,7,0.5521147922170776,0.4992586077589583,5.285618445811929
1,8,0.5521147922170776,0.4527639409997468,9.935085121733078
2,0,0.7899778719795082,0.7412428884786343,4.873498350087391
2,1,0.7899778719795082,0.6955679797882023,9.440989219130591
2,2,0.7899778719795082,0.5899354958176518,20.004237616185637
2,3,0.7899778719795082,0.7569565228964464,3.3021349083061757
2,4,0.7899778719795082,0.797940963545032,-0.7963091565523772
2,5,0.7899778719795082,0.7076459584244361,8.233191355507207
2,6,0.7899778719795082,0.7090201465201466,8.095772545936164
2,7,0.7899778719795082,0.5072171448748879,28.27607271046203
2,8,0.7899778719795082,0.7076675910365209,8.23102809429873
3,0,0.8028438030560272,0.7391331841329871,6.3710618923040085
3,1,0.8028438030560272,0.7840806974161044,1.8763105639922784
3,2,0.8028438030560272,0.7635460028091943,3.9297800246832937
3,3,0.8028438030560272,0.5444334150562467,25.841038799978055
3,4,0.8028438030560272,0.6969828407354447,10.586096232058251
3,5,0.8028438030560272,0.6038060747686844,19.90377282873428
3,6,0.8028438030560272,0.7965948769965207,0.6248926059506554
3,7,0.8028438030560272,0.6954686433442163,10.73751597118109
3,8,0.8028438030560272,0.5582767140349862,24.456708902104097
4,0,0.7914536651313786,0.6887622502024726,10.269141492890599
4,1,0.7914536651313786,0.6706793766813988,12.077428844997984
4,2,0.7914536651313786,0.5542109226575792,23.724274247379938
4,3,0.7914536651313786,0.624405749054168,16.70479160772106
4,4,0.7914536651313786,0.6946102224210557,9.684344271032286
4,5,0.7914536651313786,0.6853649116189247,10.608875351245395
4,6,0.7914536651313786,0.6556317088340925,13.582195629728611
4,7,0.7914536651313786,0.6586887065447746,13.276495858660397
4,8,0.7914536651313786,0.6817799898544405,10.967367527693806
5,0,0.5566864654904182,0.4578214152505351,9.886505023988313
5,1,0.5566864654904182,0.5444317064685036,1.225475902191464
5,2,0.5566864654904182,0.4996625902821356,5.702387520828261
5,3,0.5566864654904182,0.5666737460704084,-0.998728057999021
5,4,0.5566864654904182,0.4888808178533608,6.780564763705743
5,5,0.5566864654904182,0.4494292859978173,10.725717949260094
5,6,0.5566864654904182,0.5270728177166535,2.961364777376474
5,7,0.5566864654904182,0.48725879554468104,6.942766994573718
5,8,0.5566864654904182,0.5358878386658752,2.079862682454303
6,0,0.641555928897454,0.581036944532891,6.051898436456304
6,1,0.641555928897454,0.6270983398155594,1.445758908189465
6,2,0.641555928897454,0.5102093071982063,13.134662169924772
6,3,0.641555928897454,0.5903612507072558,5.11946781901983
6,4,0.641555928897454,0.5746839492345849,6.687197966286917
6,5,0.641555928897454,0.38021970286166057,26.133622603579347
6,6,0.641555928897454,0.686544056499776,-4.498812760232196
6,7,0.641555928897454,0.5208828910688164,12.06730378286377
6,8,0.641555928897454,0.6133953836365891,2.8160545260864978
7,0,0.7528109239001355,0.5513857255661714,20.14251983339641
7,1,0.7528109239001355,0.5866275144683252,16.618340943181032
7,2,0.7528109239001355,0.639478567459062,11.333235644107354
7,3,0.7528109239001355,0.5920143869624245,16.0796536937711
7,4,0.7528109239001355,0.669123876834727,8.368704706540854
7,5,0.7528109239001355,0.5155814375900808,23.72294863100547
7,6,0.7528109239001355,0.6392198923568962,11.359103154323924
7,7,0.7528109239001355,0.5416340337750489,21.117689012508656
7,8,0.7528109239001355,0.5078919711413455,24.491895275878996
8,0,0.8029828560763612,0.7667414615007293,3.6241394575631913
8,1,0.8029828560763612,0.8313978321785045,-2.8414976102143275
8,2,0.8029828560763612,0.7836573976167608,1.932545845960043
8,3,0.8029828560763612,0.6775592121406523,12.542364393570892
8,4,0.8029828560763612,0.6864800837871698,11.650277228919137
8,5,0.8029828560763612,0.6263201656412815,17.666269043507977
8,6,0.8029828560763612,0.7881983777897239,1.4784478286637315
8,7,0.8029828560763612,0.7249530000346799,7.802985604168134
8,8,0.8029828560763612,0.6768625006147357,12.612035546162549
9,0,0.8078389636946879,0.7035897119436056,10.424925175108225
9,1,0.8078389636946879,0.6891005291906094,11.87384345040785
9,2,0.8078389636946879,0.7454875967962789,6.235136689840903
9,3,0.8078389636946879,0.6711020154148116,13.673694827987626
9,4,0.8078389636946879,0.6658496686964684,14.198929499821944
9,5,0.8078389636946879,0.6380302260257503,16.980873766893755
9,6,0.8078389636946879,0.7783933330844085,2.9445630610279383
9,7,0.8078389636946879,0.7335397973663487,7.429916632833922
9,8,0.8078389636946879,0.6724896706300089,13.534929306467902
10,0,0.6674608964120379,0.5270016674486975,14.04592289633404
10,1,0.6674608964120379,0.5817286802174765,8.57322161945614
10,2,0.6674608964120379,0.558179403541865,10.928149287017286
10,3,0.6674608964120379,0.5820556645757042,8.540523183633365
10,4,0.6674608964120379,0.6472955615812758,2.0165334830762105
10,5,0.6674608964120379,0.6283746202883669,3.9086276123670993
10,6,0.6674608964120379,0.6526512844398266,1.4809611972211312
10,7,0.6674608964120379,0.5356279640872741,13.183293232476379
10,8,0.6674608964120379,0.5997191214582519,6.774177495378597
11,0,0.7987032085561497,0.7887709154001946,0.9932293155955119
11,1,0.7987032085561497,0.7381813651981537,6.052184335799604
11,2,0.7987032085561497,0.7614347968701441,3.7268411686005587
11,3,0.7987032085561497,0.7628008654043642,3.590234315178553
11,4,0.7987032085561497,0.6502312346850162,14.847197387113354
11,5,0.7987032085561497,0.6827495123447086,11.595369621144114
11,6,0.7987032085561497,0.714504355031974,8.419885352417577
11,7,0.7987032085561497,0.6430668715017201,15.563633705442959
11,8,0.7987032085561497,0.7461477141000681,5.255549445608166
12,0,0.8719174618284775,0.7962156965297102,7.5701765298767265
12,1,0.8719174618284775,0.7094791769200732,16.24382849084043
12,2,0.8719174618284775,0.7648259660514726,10.709149577700494
12,3,0.8719174618284775,0.7978827668095556,7.40346950189219
12,4,0.8719174618284775,0.7113526953811192,16.056476644735827
12,5,0.8719174618284775,0.6905118241145795,18.140563771389807
12,6,0.8719174618284775,0.8641182156398193,0.7799246188658238
12,7,0.8719174618284775,0.7387558514967933,13.316161033168417
12,8,0.8719174618284775,0.7470505404339396,12.486692139453792
13,0,0.8807747920479195,0.8310277256746057,4.9747066373313835
13,1,0.8807747920479195,0.8139177594189555,6.6857032628964035
13,2,0.8807747920479195,0.7684305625627308,11.234422948518874
13,3,0.8807747920479195,0.8050877924648255,7.5686999583093995
13,4,0.8807747920479195,0.7393476679968183,14.142712405110125
13,5,0.8807747920479195,0.6042972113816669,27.64775806662526
13,6,0.8807747920479195,0.8457479079335837,3.5026884114335854
13,7,0.8807747920479195,0.7793186625910447,10.145612945687487
