subject,arch,f1_macro,bal_acc
1,simple,0.5636080087315561,0.5665078973131442
2,simple,0.8054922946021625,0.8093279103356712
3,simple,0.8388186408229937,0.860240274244827
4,simple,0.7895851170471002,0.799542993523203
5,simple,0.5492316333968743,0.5704120938718706
6,simple,0.707718015782532,0.7194908102092319
7,simple,0.6868879165091104,0.6971755951523038
8,simple,0.7231179201886033,0.7493569415081043
9,simple,0.6956103804967413,0.7174318459679553
10,simple,0.7183279190291814,0.7240604789946895
11,simple,0.832797994941321,0.8586950612727215
12,simple,0.8290582086493133,0.84375
13,simple,0.871052420261836,0.8745622726690514
14,simple,0.7567701056969081,0.7606694126552466
15,simple,0.846470842887805,0.8579096790820345
16,simple,0.8215561361116429,0.8685071872571872
17,simple,0.8046917394152496,0.8036594164642945
18,simple,0.7021441815557509,0.7074648462003112
19,simple,0.8291956677934839,0.8444329066284376
20,simple,0.7941797708275031,0.8028054820178713
21,simple,0.7778803997780156,0.7898991075290075
22,simple,0.735877753499212,0.7513528764411223
23,simple,0.7339023973802186,0.7521032998909267
24,simple,0.6971828711290227,0.7490172629456178
25,simple,0.7319531415483111,0.7826037928523426
26,simple,0.6388839459613884,0.6877234968888408
27,simple,0.8483895888106385,0.8505344230532497
28,simple,0.7668710163966331,0.7673920400748077
29,simple,0.7828931236037049,0.777458445692122
30,simple,0.8514970317917824,0.8572257942558694
31,simple,0.6809997424240701,0.7008523676840093
32,simple,0.711316507809002,0.7316082553233569
33,simple,0.9036353427424791,0.9135251922910725
34,simple,0.8456982734544035,0.8638353062378799
35,simple,0.6805737312273622,0.6906908778964334
36,simple,0.671723139746415,0.6752131517194797
37,simple,0.8315539886406698,0.8269411020470412
38,simple,0.7938186429606104,0.7984580384226491
39,simple,0.767471262680301,0.7718795093795094
40,simple,0.7503416525501193,0.7638569136171636
