subject,channel,alpha,f1,drop_pp
1,0,1.0,0.5551840916405262,0.0
1,0,0.75,0.5442907176592953,1.0893373981230914
1,0,0.5,0.5353504669814091,1.9833624659117088
1,0,0.25,0.5215814749992318,3.360261664129438
1,0,0.0,0.5135027971544412,4.168129448608493
1,1,1.0,0.5551840916405262,0.0
1,1,0.75,0.5549987254608402,0.018536617968600844
1,1,0.5,0.552120754681588,0.3063336958938123
1,1,0.25,0.5490235217316584,0.6160569908867819
1,1,0.0,0.5353600413003172,1.9824050340208954
1,2,1.0,0.5551840916405262,0.0
1,2,0.75,0.5393666593605194,1.581743228000676
1,2,0.5,0.5294930068445123,2.5691084796013897
1,2,0.25,0.5119285855440777,4.325550609644846
1,2,0.0,0.5012418928248941,5.394219881563211
1,3,1.0,0.5551840916405262,0.0
1,3,0.75,0.5393787856885505,1.5805305951975712
1,3,0.5,0.5408866586609039,1.429743297962227
1,3,0.25,0.5189188292291818,3.6265262411344423
1,3,0.0,0.4571396569799547,9.80444346605715
1,4,1.0,0.5551840916405262,0.0
1,4,0.75,0.560074640860667,-0.4890549220140872
1,4,0.5,0.5705542329252453,-1.537014128471914
1,4,0.25,0.512761287264987,4.242280437553914
1,4,0.0,0.42400568181818177,13.11784098223444
1,5,1.0,0.5551840916405262,0.0
1,5,0.75,0.5451265984223572,1.0057493218168956
1,5,0.5,0.5161108881338262,3.907320350669996
1,5,0.25,0.46206377656427533,9.312031507625084
1,5,0.0,0.38001537870841107,17.516871293211512
1,6,1.0,0.5551840916405262,0.0
1,6,0.75,0.5641004110159835,-0.8916319375457338
1,6,0.5,0.575945786869209,-2.0761695228682875
1,6,0.25,0.5971812279216575,-4.199713628113133
1,6,0.0,0.6144427169623866,-5.925862532186043
1,7,1.0,0.5551840916405262,0.0
1,7,0.75,0.5609962311519479,-0.5812139511421677
1,7,0.5,0.551338116843,0.38459747975261305
1,7,0.25,0.5217834693759862,3.340062226453999
1,7,0.0,0.5004616095802021,5.472248206032404
1,8,1.0,0.5551840916405262,0.0
1,8,0.75,0.5497435640315941,0.54405276089321
1,8,0.5,0.5390710090132738,1.6113082627252417
1,8,0.25,0.5110648819939902,4.411920964653593
1,8,0.0,0.4568409432252412,9.834314841528496
2,0,1.0,0.8408392164837566,0.0
2,0,0.75,0.822509245393258,1.832997109049861
2,0,0.5,0.8077460181059297,3.309319837782687
2,0,0.25,0.7797039489376201,6.113526754613652
2,0,0.0,0.7316204804328639,10.92187360508927
2,1,1.0,0.8408392164837566,0.0
2,1,0.75,0.801999944634832,3.883927184892455
2,1,0.5,0.7822317127849001,5.860750369885648
2,1,0.25,0.7750736324286662,6.5765584055090365
2,1,0.0,0.7582817588506273,8.255745763312927
2,2,1.0,0.8408392164837566,0.0
2,2,0.75,0.8237740317637225,1.7065184720034043
2,2,0.5,0.8150547514736146,2.5784465010141977
2,2,0.25,0.7333626538481347,10.747656263562188
2,2,0.0,0.6508438204285595,18.99953960551971
2,3,1.0,0.8408392164837566,0.0
2,3,0.75,0.839019152211635,0.18200642721215576
2,3,0.5,0.834562969924812,0.6276246558944543
2,3,0.25,0.8121538537275627,2.8685362756193933
2,3,0.0,0.7802991824112514,6.054003407250519
2,4,1.0,0.8408392164837566,0.0
2,4,0.75,0.8402054122751359,0.06338042086206919
2,4,0.5,0.8144959351129513,2.6343281370805327
2,4,0.25,0.7769028959918981,6.3936320491858485
2,4,0.0,0.7700278232325898,7.0811393251166805
2,5,1.0,0.8408392164837566,0.0
2,5,0.75,0.8316662266032976,0.9172989880459004
2,5,0.5,0.780199140329163,6.064007615459355
2,5,0.25,0.7688154983413604,7.2023718142396165
2,5,0.0,0.7102516968325792,13.058751965117743
2,6,1.0,0.8408392164837566,0.0
2,6,0.75,0.8477356394699795,-0.689642298622295
2,6,0.5,0.8304237170389407,1.04154994448159
2,6,0.25,0.7991513745343998,4.168784194935682
2,6,0.0,0.7765393578918836,6.429985859187304
2,7,1.0,0.8408392164837566,0.0
2,7,0.75,0.819989826579499,2.0849389904257554
2,7,0.5,0.780686699171419,6.015251731233762
2,7,0.25,0.6952721776252574,14.55670388584992
