SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.6610942948088491,0.652045875793027,0.652045875793027,0.6549503249331462,0.6532165243649938,0.664825842756551,0.6660055135034109,0.6579668565066588,0.6369135198352118,0.6662139350459715,0.6609414103784977,0.6571125337360053,0.6369135198352118,0.6468377044139366,0.6495088803707171,0.660730071537226
0.8641173938134359,0.868710619778122,0.868710619778122,0.8567350272232305,0.8964960117861521,0.9147888315291681,0.9179853333641861,0.9364407438243927,0.8892519667284784,0.938886731572223,0.9365487380211936,0.934003182136448,0.8892519667284784,0.9166877562525757,0.9198347461732688,0.9187418357861086
0.8026899482277057,0.8073795738395348,0.8073795738395348,0.8050570157672488,0.8501098843204107,0.8714683959163262,0.8815424350054332,0.9213071344356976,0.911591275737929,0.9153489550758082,0.9153489550758082,0.920096205095941,0.911591275737929,0.9170267042987408,0.9200548733425885,0.9230728035895209
0.7679634527580891,0.795533112201856,0.795533112201856,0.7863014840047227,0.8105612637746542,0.847153612316836,0.8488853617178979,0.902894327602685,0.8967431655888143,0.8833713944149832,0.8901610959415269,0.9021129850413099,0.8967431655888143,0.9044701931332608,0.9044701931332608,0.9042524471026339
0.6954911174105827,0.6935946083839944,0.6955391458358491,0.6989367973903353,0.6906999422028697,0.6960025107553935,0.7011649211985502,0.7246031322337033,0.6575722460290012,0.7131905782253918,0.6994380496120438,0.7179581309143829,0.6575722460290012,0.6822600352660696,0.6823239236193304,0.6860302022693308
0.7559901477531702,0.746175160186522,0.746175160186522,0.7575515760982139,0.7694549777925062,0.765156975664146,0.7655444392477952,0.8130228927753522,0.8089474753239861,0.7994877494460711,0.8001760280815139,0.822305284301754,0.8089474753239861,0.7869853543063207,0.7945357018062762,0.810662839575883
0.774968415788696,0.7707081082884316,0.7707081082884316,0.7604213447527272,0.7898359177244745,0.7991405317263969,0.8046725702325147,0.8140834838246138,0.7879275050695798,0.8213001588466575,0.8215215380552203,0.8102382153594976,0.7879275050695798,0.8103405482126924,0.8133152908358547,0.8103817271589486
0.7543530055835337,0.7635638811580978,0.7635638811580978,0.7641796996972535,0.8317602658155447,0.8508774848529526,0.8564595260867576,0.881515130418639,0.8544364759411147,0.877382052488078,0.8758621169511847,0.8781615981507473,0.8544364759411147,0.8635849828799336,0.866118804598276,0.8644415133319513
0.7924311503784587,0.7915698083667808,0.7915698083667808,0.7899001442172777,0.8301457815084323,0.8413576197694702,0.839476521305267,0.850121937517762,0.8266835341910488,0.8488024541238529,0.844511975802113,0.850121937517762,0.8266835341910488,0.8261211184060329,0.8256046539070587,0.8344982375638149
0.6979028659134293,0.7251453088789739,0.7251453088789739,0.7318859985795145,0.7642459506991484,0.7832616717986116,0.7887728152094644,0.7642483615689653,0.7364832076272612,0.7578401989476289,0.762297228755022,0.7615436024122632,0.7364832076272612,0.7854398197028416,0.7909426599367052,0.7648676323676324
0.858444922684521,0.8692161903150049,0.8692161903150049,0.8760933248790518,0.9172034351780263,0.9457050094496338,0.9457050094496338,0.9392645328817402,0.9281574458359605,0.9548947732415882,0.9519107361596001,0.9392645328817402,0.9281574458359605,0.9623206187981214,0.9663731785572028,0.9417876037087993
0.8166930173542191,0.8349911760308392,0.8349911760308392,0.8184585921368489,0.8799694620290475,0.905392695824147,0.9119564917946632,0.9478495415292569,0.9232760841577027,0.9351051136742895,0.9402540540772522,0.9470005666331793,0.9232760841577027,0.9389752536843163,0.9374386078677726,0.9562380582468929
