draw,K_per_class,f1_mean,lift_mean
0,0,0.7591,0.0
0,5,0.7642,0.5125
0,10,0.7796,2.0559
0,20,0.8045,4.5437
1,0,0.7618,0.0
1,5,0.7692,0.7347
1,10,0.7889,2.7061
1,20,0.8064,4.4528
2,0,0.7582,0.0
2,5,0.772,1.3874
2,10,0.7871,2.8911
2,20,0.8015,4.337
3,0,0.7616,0.0
3,5,0.7679,0.6319
3,10,0.7867,2.5183
3,20,0.8014,3.9798
4,0,0.7602,0.0
4,5,0.7715,1.1271
4,10,0.7922,3.2026
4,20,0.8011,4.0858
