K_per_class,f1_mean,f1_sd,lift_mean,lift_sd,n
0,0.7517,0.0755,0.0,0.0,200
5,0.7772,0.0719,2.5522,4.1944,200
10,0.7938,0.0728,4.2145,4.2271,200
20,0.8078,0.0677,5.614,3.9098,200
