subject,arch,f1_macro,bal_acc
1,resnet_nores,0.6221660296546078,0.6199146543095093
2,resnet_nores,0.852719485664873,0.8581248185383481
3,resnet_nores,0.857594827168615,0.866468778733834
4,resnet_nores,0.7847114960773763,0.8122579423581933
5,resnet_nores,0.6144547293768161,0.6360213251328339
6,resnet_nores,0.795185639233278,0.8027349032499854
7,resnet_nores,0.7682351048106957,0.7729189264129163
8,resnet_nores,0.8125862434724335,0.8319448961890822
9,resnet_nores,0.7246991260856169,0.7332631166274628
10,resnet_nores,0.7554546097983755,0.7597353304590146
11,resnet_nores,0.911125083191765,0.9306904375641983
12,resnet_nores,0.8953302051702703,0.9128371628371629
13,resnet_nores,0.9074615973830974,0.9171264684692357
14,resnet_nores,0.7725198960305584,0.7610309417891316
15,resnet_nores,0.8205015670608882,0.8281221227847391
16,resnet_nores,0.8108101693593193,0.8463113275613277
17,resnet_nores,0.8565496236275745,0.8593715904691515
18,resnet_nores,0.8509439575895272,0.8560156413354088
19,resnet_nores,0.8028847564051074,0.8334724319330364
20,resnet_nores,0.8034740181726125,0.8170998772001637
21,resnet_nores,0.8173262794646818,0.8215827414076092
22,resnet_nores,0.8322893728957996,0.8456964549423037
23,resnet_nores,0.7599877373207171,0.7774971647602935
24,resnet_nores,0.7609357317909373,0.814064908873588
25,resnet_nores,0.8302816711023532,0.87270712394552
26,resnet_nores,0.759621547691361,0.7747851708757427
27,resnet_nores,0.8670022401713898,0.863802137692213
28,resnet_nores,0.7703337637357628,0.7655363203666076
29,resnet_nores,0.8259600103244825,0.824790129035078
30,resnet_nores,0.8199285846695377,0.8193454415258926
31,resnet_nores,0.772991909734879,0.7834740679483337
32,resnet_nores,0.8188604979042675,0.8313763794870194
33,resnet_nores,0.8949277979755508,0.9082086682222799
34,resnet_nores,0.8989704541005785,0.9178850799935359
35,resnet_nores,0.6510188927634983,0.6677424455832396
36,resnet_nores,0.671038977488564,0.6667198727130862
37,resnet_nores,0.8466103026663808,0.837681285721548
38,resnet_nores,0.8225583207524081,0.8417369803470358
39,resnet_nores,0.7783428480649057,0.7845508658008659
40,resnet_nores,0.8367853042479909,0.8341119533368689
