subject,channel,f1_full,f1_occluded,drop_pp
1,0,0.636698809624491,0.6202351253523035,1.6463684272187473
1,1,0.636698809624491,0.6338528721383798,0.2845937486111172
1,2,0.636698809624491,0.6418276283943192,-0.5128818769828181
1,3,0.636698809624491,0.6105181077758426,2.61807018486484
1,4,0.636698809624491,0.6692577133317241,-3.2558903707233133
1,5,0.636698809624491,0.5684052675438209,6.829354208067007
1,6,0.636698809624491,0.6860044417775578,-4.930563215306682
1,7,0.636698809624491,0.5480036177477633,8.86951918767277
1,8,0.636698809624491,0.598858914859258,3.7839894765232973
2,0,0.8325926436128285,0.8761337667419753,-4.3541123129146815
2,1,0.8325926436128285,0.8157748878536922,1.6817755759136244
2,2,0.8325926436128285,0.8044972413912703,2.8095402221558152
2,3,0.8325926436128285,0.8409998496647089,-0.8407206051880389
2,4,0.8325926436128285,0.8173528480732566,1.5239795539571888
2,5,0.8325926436128285,0.8333791396310242,-0.07864960181956926
2,6,0.8325926436128285,0.8544395801418649,-2.1846936529036465
2,7,0.8325926436128285,0.799656442506582,3.293620110624651
2,8,0.8325926436128285,0.8468070366253619,-1.4214393012533466
3,0,0.9055376336412887,0.8936006789580678,1.1936954683220868
3,1,0.9055376336412887,0.8657487537270391,3.978887991424962
3,2,0.9055376336412887,0.89156707128792,1.3970562353368687
3,3,0.9055376336412887,0.6823682969523064,22.31693366889823
3,4,0.9055376336412887,0.8981666328440522,0.7371000797236515
3,5,0.9055376336412887,0.918628438796345,-1.309080515505634
3,6,0.9055376336412887,0.9082770589529161,-0.2739425311627408
3,7,0.9055376336412887,0.8774640687315076,2.807356490978108
3,8,0.9055376336412887,0.9064747178357404,-0.09370841944517094
4,0,0.8478848040354248,0.818534117202552,2.9350686832872785
4,1,0.8478848040354248,0.7719962449138325,7.588855912159231
4,2,0.8478848040354248,0.8468703394338042,0.10144646016205794
4,3,0.8478848040354248,0.8867252071843514,-3.884040314892667
4,4,0.8478848040354248,0.9016116361008575,-5.372683206543272
4,5,0.8478848040354248,0.8817542908590276,-3.38694868236028
4,6,0.8478848040354248,0.8867703157815835,-3.888551174615873
4,7,0.8478848040354248,0.8357319511222031,1.2152852913221657
4,8,0.8478848040354248,0.8585580036809244,-1.067319964549962
5,0,0.659087428572966,0.6474285879543558,1.1658840618610222
5,1,0.659087428572966,0.673013670373662,-1.3926241800696015
5,2,0.659087428572966,0.6703584409338595,-1.1271012360893562
5,3,0.659087428572966,0.700560139713311,-4.147271114034501
5,4,0.659087428572966,0.6349590481852869,2.412838038767906
5,5,0.659087428572966,0.6251436583376454,3.394377023532058
5,6,0.659087428572966,0.6408384092264776,1.824901934648837
5,7,0.659087428572966,0.6571834609643625,0.19039676086034518
5,8,0.659087428572966,0.6427415586413293,1.634586993163667
6,0,0.7818313553345628,0.7713010631769519,1.053029215761092
6,1,0.7818313553345628,0.77418892582827,0.7642429506292792
6,2,0.7818313553345628,0.7829552159545106,-0.11238606199477363
6,3,0.7818313553345628,0.8015549086747131,-1.9723553340150302
6,4,0.7818313553345628,0.7569324008027648,2.4898954531798023
6,5,0.7818313553345628,0.7753259305126146,0.6505424821948269
6,6,0.7818313553345628,0.7847900057272369,-0.2958650392674067
6,7,0.7818313553345628,0.7246262712115146,5.7205084123048255
6,8,0.7818313553345628,0.7292157462860644,5.261560904849838
7,0,0.7828391422698637,0.747380642501205,3.545849976865878
7,1,0.7828391422698637,0.7470188597222143,3.5820282547649462
7,2,0.7828391422698637,0.7406753800092124,4.216376226065133
7,3,0.7828391422698637,0.7713447503055313,1.149439196433244
7,4,0.7828391422698637,0.7546840817976721,2.815506047219163
7,5,0.7828391422698637,0.8250912701215304,-4.225212785166665
