subject,SVM,RF,RESNET_SE_CD,ENS
1,0.6610942948088491,0.6026753059144594,0.6369135198352118,0.6662139350459715
2,0.8641173938134359,0.8502282632843694,0.8892519667284784,0.9388867315722231
3,0.8026899482277057,0.7844170805503818,0.9115912757379291,0.9153489550758082
4,0.7679634527580891,0.7922746997349666,0.8967431655888143,0.8833713944149834
5,0.6954911174105827,0.6582109311114686,0.6575722460290012,0.7131905782253919
6,0.7559901477531702,0.7145014755448331,0.8089474753239861,0.7994877494460711
7,0.7749684157886959,0.7481762662220409,0.7879275050695798,0.8213001588466576
8,0.7543530055835337,0.7513695213612382,0.8544364759411147,0.877382052488078
9,0.7924311503784586,0.7752577572551006,0.8266835341910488,0.8488024541238529
10,0.6979028659134293,0.7383121311281183,0.7364832076272612,0.7578401989476288
11,0.858444922684521,0.8568400332837391,0.9281574458359605,0.9548947732415882
12,0.8166930173542191,0.8149277876966663,0.9232760841577026,0.9351051136742895
13,0.9000335687796832,0.8939836426295077,0.9320032384807375,0.9583683370697424
14,0.8077138410107171,0.7711021683080721,0.8259557959068353,0.8573501326924315
15,0.8426218181543595,0.7800191282886889,0.8945577520305781,0.9252173325096358
16,0.8388107682115974,0.8355576483872889,0.8602969372160483,0.8853344499371105
17,0.8042652517120371,0.7829022437545126,0.8740116833659312,0.8937732347864469
18,0.8234392881774706,0.7703538754826219,0.9057980852113593,0.9281328162994124
19,0.7582753072081415,0.7798201964221061,0.8452531284759923,0.8562258626306614
20,0.6926349754468983,0.6827689585011569,0.8409122093625153,0.8027626069716814
21,0.778454205317838,0.7942523900240687,0.8657640857497411,0.8542498274672188
22,0.7298605455735194,0.736606764215009,0.8229863982628071,0.827780783198464
23,0.6764175957441693,0.7305645669132046,0.8105694274671286,0.8291209547897861
24,0.6852724367396082,0.7449661101196623,0.786832906815587,0.8111822915115783
25,0.7680174319261338,0.7796628555931429,0.9082572012001204,0.9076142490912391
26,0.7363611427329986,0.7152486610417648,0.8003377829096816,0.7843561566138814
27,0.8291525086155735,0.827541169893101,0.9025924069484389,0.9278141588892023
28,0.8087149984189222,0.7798370120941811,0.8036751585075397,0.8890444219704222
29,0.7889011178336834,0.7418081158937451,0.8679324789502041,0.8537420384866312
30,0.8003173741104743,0.815420191924198,0.8243258732107972,0.8646594863526469
31,0.7377602508887344,0.7063851290845629,0.7935115144424729,0.7871540744529234
32,0.7344483912664599,0.7675591337772056,0.8536963366136607,0.860980255438257
33,0.8477766212286447,0.8483985123769411,0.9044424033359715,0.9080019130187772
34,0.844441056815531,0.8450584444471654,0.9096531814754379,0.9157145965096202
35,0.7501497150169295,0.7011606199497994,0.7200351834322919,0.7581882771745351
36,0.7203683413360832,0.7455897454602711,0.8052037046720513,0.7946768649988731
37,0.7907394434391044,0.8694714899812868,0.8697078100179132,0.8861587776111055
38,0.80764422807116,0.838085497627845,0.8591185125214976,0.8856313240294544
39,0.768108323492188,0.7523619214748247,0.8611446856178568,0.8806090117717698
40,0.7593831519907633,0.8060080973387425,0.8560993454756969,0.8716938960140493
