SVM+RF+CNN [hard],SVM+RF+CNN [soft],SVM+RF+CNN [weighted_soft],SVM+RF+CNN [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RF+CNN+RESNET_SE [hard],SVM+RF+CNN+RESNET_SE [soft],SVM+RF+CNN+RESNET_SE [weighted_soft],SVM+RF+CNN+RESNET_SE [stacking],SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.6440846153543565,0.6374189349050734,0.6374189349050734,0.6534955140144054,0.6500583494434821,0.6200705129504619,0.6211312041266948,0.6302633186057975,0.6226043549124138,0.5958240906631995,0.5991503598394354,0.6294832637459553,0.6610942948088491,0.6655803885872092,0.6655803885872092,0.6556349417622017,0.6610942948088491,0.6356006582859366,0.6356006582859366,0.6436282281151308,0.6026753059144594,0.5754582934266119,0.5763114543969864,0.5579870257957884
0.8753999605048624,0.9053564765762481,0.9053564765762481,0.8929045796157865,0.8870580365261217,0.9046430521889857,0.9046430521889857,0.8879640055524696,0.8789332339961717,0.8959865231700385,0.8959865231700385,0.8943057970749002,0.8641173938134359,0.875970146798365,0.875970146798365,0.8596222257418973,0.8641173938134359,0.8920735920351742,0.8920735920351742,0.894186970747331,0.8502282632843694,0.8531364376942228,0.8531364376942228,0.8717834784189492
0.8297556337619181,0.842464435941743,0.842464435941743,0.8385385502456809,0.8296678479605308,0.8299826358636577,0.8299826358636577,0.8411377076741131,0.8230735868120449,0.8515063406283823,0.8515063406283823,0.8356026287074567,0.8026899482277057,0.8063576228759659,0.8063576228759659,0.803907109697134,0.8026899482277057,0.8430068307485434,0.8430068307485434,0.8372904568331396,0.7844170805503818,0.8261090538168514,0.8261090538168514,0.8184399262590705
0.8082486629731985,0.8206941190384858,0.8206941190384858,0.8216578488299202,0.8037383348351237,0.8186368114936289,0.8186368114936289,0.8085416460696643,0.8043461359772759,0.8300282090139621,0.8277133423773961,0.812803065109586,0.7679634527580891,0.7845305498139727,0.7845305498139727,0.7917284643095513,0.7679634527580891,0.8173862410512895,0.8173862410512895,0.8089785367580139,0.7922746997349666,0.8057788917810127,0.8057788917810127,0.7976354428341379
0.6760130541582146,0.6788142613105966,0.6788142613105966,0.6694648230047399,0.6710717279426521,0.6496383283608327,0.6496383283608327,0.6478329892469088,0.6555570144756124,0.6036462587537269,0.6055649751087239,0.6482825929637301,0.6954911174105827,0.6876949658480151,0.6876949658480151,0.6937339124839125,0.6954911174105827,0.615622070098755,0.6174764218521595,0.6482739692700914,0.6582109311114686,0.5781949294549641,0.5781949294549641,0.6213606858910498
0.7473889882682955,0.7576077826608243,0.7576077826608243,0.7482157820393115,0.7390930294875254,0.7597116722858719,0.7591490916091053,0.7480619024499521,0.7577765446281188,0.750001692279483,0.7530380431199535,0.7548112041085793,0.7559901477531702,0.7658137275463884,0.7658137275463884,0.7590630020876505,0.7559901477531702,0.755729274857353,0.755729274857353,0.7443986290297634,0.7145014755448332,0.7041713586250868,0.7041713586250868,0.7270901188575165
0.7796071566308174,0.7659991904186692,0.7659991904186692,0.7494940107223094,0.7682647661329809,0.7761861474854757,0.7761861474854757,0.7824564991657901,0.7598578546763792,0.7620795882167775,0.7620795882167775,0.7792435206686354,0.774968415788696,0.771375077340203,0.771375077340203,0.7676055771004197,0.774968415788696,0.7814801137701666,0.7814801137701666,0.7809555998875242,0.7481762662220409,0.7546625472687655,0.7546625472687655,0.7456694920145959
0.7888681815871439,0.7849730326270367,0.7849730326270367,0.7990219296523908,0.790562655432237,0.8167490485472941,0.8167490485472941,0.8184852341788433,0.793228865192142,0.8075850920599779,0.8075850920599779,0.8102629806271046,0.7543530055835337,0.760642424581219,0.760642424581219,0.7581802037782315,0.7543530055835337,0.8180736027487153,0.8180736027487153,0.7965639556339221,0.7513695213612382,0.7876230021651079,0.7876230021651079,0.787032814603237
0.7917741168580525,0.8071355241071068,0.8091581008578057,0.8162389281404605,0.8034072512705149,0.8226958443465988,0.8246076059429837,0.8360901602334945,0.8033215176039848,0.8187218739308799,0.8167886288071164,0.8261430178762637,0.7924311503784587,0.8005993909063469,0.8005993909063469,0.7853138803040582,0.7924311503784587,0.8422987593381759,0.84278639138065,0.8447139862234201,0.7752577572551006,0.8068685801942708,0.8068685801942708,0.8114156672860603
0.7418837191356661,0.7567976794548809,0.7567976794548809,0.7510189214390537,0.7545400700452307,0.7648005696019731,0.7648005696019731,0.764030331621388,0.7493907357725096,0.7575507825507825,0.7575507825507825,0.7535674782806341,0.6979028659134293,0.7279399917190869,0.7279399917190869,0.7309892957919274,0.6979028659134293,0.7468341173051969,0.7468341173051969,0.7411489540134497,0.7383121311281183,0.7796032882435187,0.7796032882435187,0.7862902024142271
