subject,K_per_class,f1_macro
1,0,0.5486297166544885
1,5,0.6695336042691769
1,10,0.739849146219731
1,20,0.7343981774115271
2,0,0.8013004670890154
2,5,0.8336304800469738
2,10,0.8695369829209688
2,20,0.9071676019428278
3,0,0.8189402212937636
3,5,0.7841329028438841
3,10,0.8179269611571482
3,20,0.7491824019154378
4,0,0.7239366789805386
4,5,0.6905605045341876
4,10,0.7094943343611195
4,20,0.772192012406885
5,0,0.6096023559022403
5,5,0.5353336234468234
5,10,0.5654282491241398
5,20,0.5247648083988523
6,0,0.7038347794025516
6,5,0.6615346770645868
6,10,0.7423446181751389
6,20,0.7420915290866857
7,0,0.7434329384281857
7,5,0.7153410925958882
7,10,0.7604148718066785
7,20,0.8034843316706062
8,0,0.6777936895524713
8,5,0.7465878653348132
8,10,0.7796606034915411
8,20,0.7599394966157149
9,0,0.7411073036932595
9,5,0.6576063021210701
9,10,0.6937352566662912
9,20,0.763791207461896
10,0,0.703273783889374
10,5,0.6301167002534783
10,10,0.6768497416179166
10,20,0.654455812631835
11,0,0.7951209216558595
11,5,0.7948359678814649
11,10,0.8666117353837536
11,20,0.8560528616466917
12,0,0.7593304213050021
12,5,0.7954436299292214
12,10,0.8123631937585426
12,20,0.8154350685362135
13,0,0.8414296473687406
13,5,0.7080657693558989
13,10,0.8484797499760153
13,20,0.8320757597121811
14,0,0.7907789934206102
14,5,0.7636204525383908
14,10,0.7966362568691163
14,20,0.830425588157547
15,0,0.8636236329053733
15,5,0.8205346660589187
15,10,0.8358282869910678
15,20,0.8135268530379275
16,0,0.8046432289057563
16,5,0.8363587701835877
16,10,0.7969265347589353
16,20,0.7813776830151886
17,0,0.7987839626453488
17,5,0.7315346859235444
17,10,0.7652700779877497
17,20,0.7400198682204954
18,0,0.7127413312194248
18,5,0.754581292245766
18,10,0.771643589177523
18,20,0.7941878219672646
19,0,0.8174220793151357
19,5,0.7228329919553537
19,10,0.8566349429034306
19,20,0.8317604052650738
20,0,0.6897797470519269
20,5,0.5820342942728248
20,10,0.660396104211721
20,20,0.6886605783866058
21,0,0.7279034822200565
21,5,0.8111703219295291
21,10,0.853353628551367
21,20,0.82914406646857
22,0,0.750152746688195
22,5,0.7152999124031
22,10,0.6943023271169633
22,20,0.7386508613238166
23,0,0.7312881961993637
23,5,0.6931703418376806
23,10,0.7314747445196541
23,20,0.769374621728915
24,0,0.6850171285401905
24,5,0.7899131122373483
24,10,0.8057085408729083
24,20,0.8028316064178664
25,0,0.7329673951870331
25,5,0.689274062054497
25,10,0.7248946752465395
25,20,0.6820056199508254
26,0,0.7510034595920559
26,5,0.7481558421987803
26,10,0.7737753401413323
26,20,0.7358241264258991
27,0,0.8213051111340955
27,5,0.8492351587360287
27,10,0.8624063525516188
27,20,0.8957148086418685
28,0,0.742369077836881
28,5,0.573164418129022
28,10,0.6851967162791281
28,20,0.7213558862776321
29,0,0.8336879430691359
29,5,0.8268159291556448
29,10,0.8091636223855423
29,20,0.8426504187792521
30,0,0.7866431370853286
30,5,0.8169186799244722
30,10,0.7471062187163882
30,20,0.7917502279341708
31,0,0.6992985744723522
31,5,0.5781389848647884
31,10,0.6875315037825562
31,20,0.6997906179657575
32,0,0.774175718058081
32,5,0.7067720871749779
32,10,0.7500821676757664
32,20,0.7648334811192791
33,0,0.8766110323122775
33,5,0.8697017607904084
33,10,0.9013488494256439
33,20,0.8905606316395231
34,0,0.854070625806961
34,5,0.8388744654305763
34,10,0.8675293547135652
34,20,0.8220155227612977
35,0,0.646621901422109
35,5,0.6551933811802233
35,10,0.6637928109705353
35,20,0.6827911120538768
36,0,0.7099296907908716
36,5,0.7065597876019729
36,10,0.7640170531324119
36,20,0.7967531193187496
37,0,0.8240817507260053
37,5,0.6634375192083103
37,10,0.7813553963881448
37,20,0.8258930009107041
38,0,0.7849076497360922
38,5,0.8317046218886919
38,10,0.8675733634637252
38,20,0.8702141778004113
39,0,0.7854450457818836
39,5,0.8185541546346877
39,10,0.814688684493169
39,20,0.8555733518741687
40,0,0.7773667304351871
40,5,0.7720652981272965
40,10,0.7851483094130359
40,20,0.8104379022681447
