rung,name,probe,classcond_pooled,classcond_DNS,classcond_STDUP,classcond_UPS,classcond_WAK,control_pooled,control_DNS,control_STDUP,control_UPS,control_WAK,classcond_minus_control_pp
0,global_z,forest,0.9313022999349806,0.8925126527814451,0.983618529807131,0.9094831662033606,0.9395948509479856,0.8499083389723261,0.8327071428571429,0.9202732321362458,0.8440988142292489,0.8025541666666667,8.13939609626545
0,global_z,linear,0.8613885976881168,0.8517218023285938,0.886619155159077,0.8584492561579335,0.8487641771068629,0.6788098740056732,0.660695238095238,0.7551982599037393,0.6754584980237154,0.6238875,18.257872368244364
0,global_z,mlp,0.8823570940449724,0.8622946060120519,0.9291064684843786,0.8834704410604219,0.8545568606230372,0.7357495636279772,0.7129095238095238,0.8489527952610144,0.7236442687747036,0.6574916666666667,14.660753041699525
1,mean_center,forest,0.9995512708178742,0.9997058823529412,0.9998267622461172,0.9994841269841268,0.9991883116883116,0.9997433380207856,0.999804761904762,0.999918178452425,0.9996462450592887,0.9996041666666666,-0.019206720291142787
1,mean_center,linear,0.7356211069799157,0.6874013150870308,0.8174497795204069,0.7162717408712982,0.721361592440927,0.0995879729106054,0.1019738095238095,0.07980673824509438,0.10622134387351771,0.11034999999999998,63.60331340693103
1,mean_center,mlp,0.8800999992837856,0.826203149711182,0.9856532591183262,0.8612954989766622,0.8472480893289717,0.7613442769467245,0.7224,0.9386479081821548,0.758691699604743,0.6256375,11.87557223370611
2,scale_only,forest,0.9998071367677507,0.9997826086956522,0.9998030812324932,1.0,0.9996428571428572,0.9995646115670591,0.999654761904762,0.999891151425398,0.9996916996047431,0.9990208333333334,0.02425252006915679
2,scale_only,linear,0.9306493763098144,0.9153556175848844,0.986260970445535,0.8982520251428717,0.9227288920659664,0.8403996882443818,0.8276190476190475,0.8946245834875972,0.8370592885375494,0.8022958333333333,9.024968806543255
2,scale_only,mlp,0.9255825578057459,0.9020155467836632,0.9918010387332634,0.9035453862608238,0.9049682594452332,0.8504999752755373,0.8257738095238094,0.9452898926323584,0.8471778656126482,0.7837583333333333,7.508258253020861
3,mean_scale,forest,0.9995928239716939,0.9997058823529412,1.0,0.99922096908939,0.9994444444444444,0.9992681956616423,0.9992142857142857,0.9998774527952611,0.9994268774703559,0.9985541666666666,0.03246283100516445
3,mean_scale,linear,0.608231438053957,0.6155174061186492,0.6019955531774714,0.6117058416107822,0.603706951308925,0.05706950047056132,0.05848809523809519,0.04890225842280632,0.06361264822134381,0.057274999999999965,55.11619375833956
3,mean_scale,mlp,0.7716025095298533,0.6942142887198216,0.9218948454404184,0.7550633669433857,0.7152375370157877,0.4061008043766754,0.31575714285714285,0.7190149481673455,0.3441561264822134,0.24547499999999997,36.550170515317795
4,full_whiten_recolor,forest,0.5233256616639212,0.4768279876885629,0.5710667909890352,0.5213297345532044,0.5240781334248827,0.29122836622716014,0.25924761904761906,0.4012636060718252,0.2700355731225296,0.23436666666666667,23.20972954367611
4,full_whiten_recolor,linear,0.1650858660317393,0.1938861467340184,0.0588991274174359,0.1390807611650632,0.2684774288104396,0.02217735726599815,0.02414999999999996,0.01711366160681226,0.02311660079051378,0.0243291666666666,14.290850876574115
4,full_whiten_recolor,mlp,0.3431571019039356,0.292292661283038,0.4058923795692739,0.3228924376229117,0.3515509291405189,0.037965220093752645,0.0237714285714285,0.0828378378378378,0.020893280632411002,0.02435833333333328,30.519188181018297
