rung,name,probe,class_idx,class_name,draw,value
2,scale_only,linear,0,DNS,0,0.8263095238095237
2,scale_only,linear,0,DNS,1,0.8324047619047616
2,scale_only,linear,0,DNS,2,0.8285476190476191
2,scale_only,linear,0,DNS,4,0.8271428571428571
2,scale_only,linear,0,DNS,3,0.8236904761904762
2,scale_only,linear,1,STDUP,0,0.8927841540170306
2,scale_only,linear,1,STDUP,1,0.8945760829322473
2,scale_only,linear,1,STDUP,2,0.8961847463902259
2,scale_only,linear,1,STDUP,3,0.8933496853017401
2,scale_only,linear,1,STDUP,4,0.8962282487967418
2,scale_only,linear,2,UPS,0,0.8438636363636363
2,scale_only,linear,2,UPS,1,0.8356027667984189
2,scale_only,linear,2,UPS,2,0.8305928853754942
2,scale_only,linear,2,UPS,3,0.8345750988142292
2,scale_only,linear,3,WAK,0,0.7958749999999999
2,scale_only,linear,2,UPS,4,0.8406620553359684
2,scale_only,linear,3,WAK,1,0.8070833333333333
2,scale_only,linear,3,WAK,2,0.8036666666666668
1,mean_center,mlp,3,WAK,4,0.6431041666666666
2,scale_only,linear,3,WAK,3,0.8020833333333334
2,scale_only,linear,3,WAK,4,0.8027708333333333
2,scale_only,forest,0,DNS,1,0.9995
2,scale_only,forest,0,DNS,0,0.9995
2,scale_only,forest,0,DNS,2,1.0
2,scale_only,forest,0,DNS,3,0.9995238095238095
2,scale_only,forest,0,DNS,4,0.99975
2,scale_only,forest,1,STDUP,0,0.9998630136986302
2,scale_only,forest,1,STDUP,1,0.999931506849315
2,scale_only,forest,1,STDUP,2,0.9999324324324323
2,scale_only,forest,2,UPS,0,1.0
2,scale_only,forest,1,STDUP,3,0.9997972972972974
2,scale_only,forest,2,UPS,1,0.9993478260869566
2,scale_only,forest,1,STDUP,4,0.999931506849315
2,scale_only,forest,2,UPS,2,1.0
2,scale_only,forest,2,UPS,4,0.9995553359683795
2,scale_only,forest,2,UPS,3,0.9995553359683795
2,scale_only,forest,3,WAK,0,0.999
2,scale_only,forest,3,WAK,1,0.9990416666666666
2,scale_only,forest,3,WAK,2,0.9990208333333335
2,scale_only,forest,3,WAK,4,0.998375
2,scale_only,forest,3,WAK,3,0.9996666666666666
2,scale_only,mlp,0,DNS,1,0.8241309523809524
2,scale_only,mlp,0,DNS,0,0.8244523809523809
2,scale_only,mlp,0,DNS,2,0.8363690476190475
2,scale_only,mlp,0,DNS,3,0.8131547619047618
2,scale_only,mlp,0,DNS,4,0.8307619047619047
2,scale_only,mlp,1,STDUP,1,0.9491151425398001
2,scale_only,mlp,1,STDUP,0,0.9412699000370234
2,scale_only,mlp,1,STDUP,2,0.9464707515734914
2,scale_only,mlp,1,STDUP,3,0.9436005183265458
2,scale_only,mlp,2,UPS,0,0.8505632411067193
2,scale_only,mlp,2,UPS,1,0.8496837944664032
2,scale_only,mlp,2,UPS,3,0.8492687747035573
2,scale_only,mlp,1,STDUP,4,0.9459931506849315
