rung,name,probe,observed,null_mean,null_p95,null_min,null_max,p_value,n_perm,elapsed_sec
0,global_z,linear,0.7771288577677138,0.026144019900631615,0.028122936078621763,0.0245804552587336,0.02827271838366997,0.047619047619047616,20,529.3
0,global_z,forest,0.9414184197375084,0.025560938931525824,0.027758865429795696,0.023459210210806707,0.027872655439533968,0.047619047619047616,20,5230.9
0,global_z,mlp,0.8902328172360938,0.026278068289339936,0.027925543947393806,0.02430415887672105,0.027953316105197586,0.047619047619047616,20,6628.2
3,mean_scale,linear,0.024188279681377718,0.026293563042017725,0.02751106620283241,0.0248742632967677,0.02945015950753967,1.0,20,348.3
3,mean_scale,forest,0.9999306555331605,0.025572955100225968,0.02753352909544381,0.023524480090125217,0.02770258733787518,0.047619047619047616,20,4760.3
3,mean_scale,mlp,0.846544948168987,0.026026631757919437,0.027245638263543055,0.023231278076962483,0.02859320699107886,0.047619047619047616,20,20356.7
