model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,690,0.7028985507246377,0.5822301029914656,0.5968400365361931,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1120.4932727999985,0.9727149999525864,none,81
RF,2,520,0.8980769230769231,0.8353034824423682,0.8352626600920567,"{'clf__max_depth': None, 'clf__n_estimators': 400}",719.0513033999887,0.9727374999783933,none,81
RF,3,594,0.8703703703703703,0.8058357934533076,0.7910408803560488,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1733.7622815000068,0.9604365000268444,none,81
RF,4,556,0.8453237410071942,0.7660917313833315,0.7769848272339019,"{'clf__max_depth': None, 'clf__n_estimators': 500}",384.33896829999867,0.4740614999900572,none,81
RF,5,708,0.7358757062146892,0.6764389349856195,0.6663843705302815,"{'clf__max_depth': None, 'clf__n_estimators': 200}",5930.341344199958,0.10420650010928512,none,81
RF,6,583,0.7975986277873071,0.7322679894892391,0.732375626849592,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1575.7937423999538,0.26501549989916384,none,81
RF,7,600,0.8266666666666667,0.7486657579638468,0.7530080910241256,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1788.482078299974,0.2595224999822676,none,81
RF,8,574,0.8397212543554007,0.7642252127717244,0.7614215798306158,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1926.5241852999898,0.26591650006594136,none,81
RF,9,591,0.8071065989847716,0.764746506800508,0.7657134436229445,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2157.8405134999775,0.20357050001621246,none,81
RF,10,509,0.8526522593320236,0.7321592880803406,0.747465336017205,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2325.7068713000044,0.22440800006734207,none,81
RF,11,518,0.9131274131274131,0.8759479890015249,0.8805579952112885,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2533.936122400046,0.2104975000838749,none,81
RF,12,507,0.873767258382643,0.8030094905094906,0.8167779138669549,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2723.2935549000395,0.21217200002865866,none,81
RF,13,752,0.9401595744680851,0.8954221832301819,0.8981441147739082,"{'clf__max_depth': None, 'clf__n_estimators': 500}",3054.1857626999845,0.26883549988269806,none,81
RF,14,775,0.8412903225806452,0.7712687387656796,0.7726553920120511,"{'clf__max_depth': None, 'clf__n_estimators': 500}",3343.7743587000296,0.2547694998793304,none,81
RF,15,610,0.8688524590163934,0.7904135344205874,0.7855785772261104,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1426.5409935000353,0.2815435000229627,none,81
RF,16,681,0.8722466960352423,0.8553966866466867,0.826493958044053,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1545.88521149999,0.2546319999964908,none,81
RF,17,703,0.8620199146514936,0.7688927603561749,0.7760927942159032,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1730.26755769999,0.2633454999886453,none,81
RF,18,640,0.85625,0.7656798869734917,0.7599422676350189,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1885.476732900017,0.20624500000849366,none,81
RF,19,716,0.8435754189944135,0.7810415149519655,0.773339501427687,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2070.7358452999615,0.2596845000516623,none,81
RF,20,599,0.8247078464106845,0.739936718164871,0.7230433320462185,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2256.8630362999975,0.20988350006518885,none,81
RF,21,607,0.8830313014827018,0.8011011598411535,0.7997782565735948,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2475.457966899965,0.25662850006483495,none,81
RF,22,722,0.8060941828254847,0.7435579081994879,0.740667618316066,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2661.2573646999663,0.2899910000269301,none,81
RF,23,704,0.7982954545454546,0.7397532369225643,0.7357249344785813,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2829.919122200052,0.26837000012164935,none,81
RF,24,653,0.8499234303215927,0.758483782457519,0.7573190115722042,"{'clf__max_depth': None, 'clf__n_estimators': 500}",3036.4687155000283,0.25053849996766075,none,81
RF,25,616,0.8571428571428571,0.7918915012601657,0.784061886739557,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1405.1155634000315,0.22547800006577745,none,81
RF,26,789,0.8124207858048162,0.7283597280636032,0.7081589984125849,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1550.0358750000014,0.2751319998060353,none,81
RF,27,694,0.9034582132564841,0.8240281635864416,0.8303363075396184,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1733.4751578000141,0.25973000010708347,none,81
RF,28,700,0.8542857142857143,0.7728627171349104,0.7799155470234141,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1871.0774847000139,0.2160460001323372,none,81
RF,29,736,0.84375,0.7398758333222968,0.7484703664721125,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2110.2140114000067,0.2803630000562407,none,81
RF,30,654,0.8899082568807339,0.8076563161149628,0.8081893597566187,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2189.1670905000065,0.20803899999009445,none,81
RF,31,758,0.8284960422163589,0.713441548431341,0.7157333123212993,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2386.2441674,0.21251149999443442,none,81
RF,32,686,0.8746355685131195,0.791948975750405,0.7872778031626717,"{'clf__max_depth': None, 'clf__n_estimators': 400}",2530.5634543999913,0.22107149998191744,none,81
RF,33,692,0.9089595375722543,0.8288278886872353,0.8358341658441741,"{'clf__max_depth': None, 'clf__n_estimators': 500}",2773.918654899986,0.2589580000494607,none,81
RF,34,632,0.8924050632911392,0.8603408007433743,0.8504055031270982,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1434.7539707999676,0.2590569999301806,none,81
RF,35,852,0.7981220657276995,0.7389292459408241,0.7215354022232973,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1408.4715305000427,0.26821550010936335,none,81
RF,36,734,0.829700272479564,0.7345840757432833,0.7252515586057617,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1548.3174637000193,0.27655649988446385,none,81
RF,37,680,0.9323529411764706,0.8709445246758152,0.880116697797634,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1426.5050136999926,0.2606159998686053,none,81
RF,38,671,0.9225037257824144,0.8438084736701417,0.8514490523253877,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1575.2828242999967,0.2633364999201149,none,81
RF,39,693,0.9033189033189033,0.7644011544011544,0.7672609240785162,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1433.121805200004,0.2554450000752695,none,81
RF,40,648,0.9027777777777778,0.8078616265708279,0.8141413527855317,"{'clf__max_depth': None, 'clf__n_estimators': 200}",1382.4829207999865,0.10125850007170811,none,81
