subject,K_per_class,f1_macro
1,0,0.6097851991750857
1,5,0.6887808934714754
1,10,0.7663660148143682
1,20,0.7892084395605244
2,0,0.7442564229249012
2,5,0.7266575845966383
2,10,0.786394823938073
2,20,0.8410626611091008
3,0,0.7884277656471234
3,5,0.6290983960945735
3,10,0.7423716447715878
3,20,0.7462580192035846
4,0,0.7894638694638695
4,5,0.7919503812107854
4,10,0.8197551694101736
4,20,0.8951341549315358
5,0,0.5588842093569487
5,5,0.37986080637458025
5,10,0.475064458722653
5,20,0.5042739510763325
6,0,0.702351652765903
6,5,0.5874708734791482
6,10,0.7581649110381078
6,20,0.737068884529822
7,0,0.6021620645461666
7,5,0.623188346661163
7,10,0.8010435696017538
7,20,0.8701307652920557
8,0,0.7338217352494354
8,5,0.6781885824372407
8,10,0.8136383931584594
8,20,0.8496814713990949
9,0,0.7943110737803475
9,5,0.5834548786984607
9,10,0.7491563097379547
9,20,0.8075182141112451
10,0,0.7036560937477657
10,5,0.6621555934434306
10,10,0.8090950486650741
10,20,0.8505338839719337
11,0,0.8728328386848846
11,5,0.6255547953192948
11,10,0.8269562007198654
11,20,0.8195869399104818
12,0,0.7721121282168574
12,5,0.5875154460680776
12,10,0.6564407124222129
12,20,0.6772405234298838
13,0,0.8321087487536963
13,5,0.6642166239332543
13,10,0.7869899197516017
13,20,0.7328918971865895
14,0,0.7846981912890547
14,5,0.6497602642717432
14,10,0.6166124491399807
14,20,0.6589560055226267
15,0,0.834920294867867
15,5,0.7464311877917635
15,10,0.7706562410647447
15,20,0.8463582199408664
16,0,0.8065555806831876
16,5,0.6890199531786017
16,10,0.8363324696528593
16,20,0.8151184174941081
17,0,0.8010450969795232
17,5,0.689971055788796
17,10,0.7775597714151341
17,20,0.8280524061195713
18,0,0.7952929660508613
18,5,0.7137428833954335
18,10,0.799844975786665
18,20,0.7991342901248507
19,0,0.8293225330551082
19,5,0.5388483653201338
19,10,0.7193410825774508
19,20,0.7838251990640462
20,0,0.7703680342255375
20,5,0.5534884450904193
20,10,0.6902110688583807
20,20,0.7598908999317753
21,0,0.6954155426764844
21,5,0.6212662169939817
21,10,0.7076435577968402
21,20,0.6770751109453289
22,0,0.7176337942972466
22,5,0.5619957510688117
22,10,0.7062166601258739
22,20,0.739293556314615
23,0,0.7422442245429485
23,5,0.5525332225913622
23,10,0.660217479574262
23,20,0.7185457910832127
24,0,0.6777588321090052
24,5,0.6471064116189932
24,10,0.8731295847834205
24,20,0.8993725744530866
25,0,0.7554352761532982
25,5,0.5926359760205719
25,10,0.7086084054834054
25,20,0.7489862391607894
26,0,0.671531238324725
26,5,0.6869496807923178
26,10,0.7025488801075883
26,20,0.6965021129473772
27,0,0.786150635106855
27,5,0.6426504329480978
27,10,0.7986684616947775
27,20,0.8741690503349749
28,0,0.7049689915362329
28,5,0.47838167186134334
28,10,0.6165763114379927
28,20,0.6090422999515033
29,0,0.7231714515097358
29,5,0.6228201985944962
29,10,0.7445247555825966
29,20,0.6458618364276779
30,0,0.7908270509250452
30,5,0.7965288451538413
30,10,0.7903365451752549
30,20,0.838020897899851
31,0,0.7098900779511805
31,5,0.5712577845446929
31,10,0.6832448136274459
31,20,0.6689934685008122
32,0,0.7537649039169058
32,5,0.5632326461546411
32,10,0.6738189225835813
32,20,0.7259490286830964
33,0,0.8834769878991721
33,5,0.8494316107582972
33,10,0.9189556215582761
33,20,0.9559462768364131
34,0,0.8469461677585425
34,5,0.7210541153708715
34,10,0.856445193279883
34,20,0.8219222899887925
35,0,0.6672566904192287
35,5,0.6414159312693378
35,10,0.6190120676583846
35,20,0.6842936272699539
36,0,0.6441461227404746
36,5,0.6348488610450231
36,10,0.7005422928936642
36,20,0.7357861632415204
37,0,0.8752306175466728
37,5,0.6966713633986298
37,10,0.8096014369973593
37,20,0.7980158094661912
38,0,0.771179086100036
38,5,0.747988272864896
38,10,0.7035352541791512
38,20,0.6657404418102656
39,0,0.7514011703315163
39,5,0.6268115027749868
39,10,0.8374926328913068
39,20,0.8568581049797188
40,0,0.7740002091564141
40,5,0.6901083717556505
40,10,0.7572969533959683
40,20,0.7930587919464018
