subject,arch,coral_lambda,f1_macro,bal_acc
156,resnet_se,1.0,0.6158629137275121,0.6971330206952286
185,resnet_se,1.0,0.5830382592749527,0.7044082385233625
186,resnet_se,1.0,0.7240568724932537,0.7400251603576063
188,resnet_se,1.0,0.2549907964495047,0.3786753830756932
189,resnet_se,1.0,0.46489844035684447,0.6255651529400461
190,resnet_se,1.0,0.41794095774345413,0.5036331611973395
191,resnet_se,1.0,0.6413035381065278,0.7151215704623793
192,resnet_se,1.0,0.4316785288395691,0.49373099494324696
193,resnet_se,1.0,0.5692964190554348,0.5479931287210177
194,resnet_se,1.0,0.5405192043284358,0.6544031995758339
