model,subject,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
SVM,1,0.8733949177272686,0.4659103345171819,0.40748458321008674,0.8745745779319657,0.4449342607263202,0.4296403172056455
SVM,2,0.8733949177272686,0.7332044439233593,0.14019047380390937,0.8745745779319657,0.7470633090348138,0.12751126889715192
SVM,3,0.8733949177272686,0.7815714738216111,0.09182344390565755,0.8745745779319657,0.7555542924434806,0.11902028548848509
SVM,4,0.8733949177272686,0.6341242044652566,0.239270713262012,0.8745745779319657,0.6697356465326746,0.2048389313992911
SVM,5,0.8733949177272686,0.6140256602047128,0.2593692575225558,0.8745745779319657,0.6388056939420466,0.23576888398991913
SVM,6,0.8733949177272686,0.6848495421365729,0.18854537559069573,0.8745745779319657,0.6953829281360927,0.179191649795873
SVM,7,0.8733949177272686,0.6565529309499281,0.21684198677734057,0.8745745779319657,0.6684105524830786,0.20616402544888712
SVM,8,0.8733949177272686,0.6604371379814242,0.2129577797458444,0.8745745779319657,0.6703685849034686,0.20420599302849707
SVM,9,0.8733949177272686,0.7287995247910226,0.14459539293624601,0.8745745779319657,0.7325054420747329,0.1420691358572328
SVM,10,0.8733949177272686,0.6420866011354264,0.23130831659184226,0.8745745779319657,0.6757140885430359,0.19886048938892975
SVM,11,0.8733949177272686,0.798404736794828,0.07499018093244059,0.8745745779319657,0.8407334128748537,0.03384116505711199
SVM,12,0.8733949177272686,0.7202059242127735,0.1531889935144951,0.8745745779319657,0.7074488011988013,0.16712577673316442
SVM,13,0.8733949177272686,0.8249348719741011,0.048460045753167535,0.8745745779319657,0.8304030559066169,0.0441715220253488
SVM,14,0.8733949177272686,0.6962481369789482,0.17714678074832046,0.8745745779319657,0.728758745416862,0.14581583251510366
SVM,15,0.8733949177272686,0.7594111225871372,0.11398379514013146,0.8745745779319657,0.7898724620753153,0.08470211585665044
SVM,16,0.8733949177272686,0.7830662705964436,0.090328647130825,0.8745745779319657,0.7979569042069042,0.07661767372506145
SVM,17,0.8733949177272686,0.7396694437182172,0.13372547400905144,0.8745745779319657,0.7422720233695843,0.13230255456238138
SVM,18,0.8733949177272686,0.7516540587192405,0.12174085900802811,0.8745745779319657,0.7677492565573961,0.10682532137456957
SVM,19,0.8733949177272686,0.734349158348553,0.13904575937871566,0.8745745779319657,0.767576088097208,0.10699848983475768
SVM,20,0.8733949177272686,0.6323565548299501,0.2410383628973185,0.8745745779319657,0.6533662869460859,0.2212082909858798
SVM,21,0.8733949177272686,0.7633188406818359,0.11007607704543276,0.8745745779319657,0.7781249147899629,0.09644966314200276
SVM,22,0.8733949177272686,0.6670333884579044,0.20636152926936424,0.8745745779319657,0.6754616054157325,0.19911297251623317
SVM,23,0.8733949177272686,0.6590606352335134,0.2143342824937552,0.8745745779319657,0.6830814670538607,0.19149311087810494
SVM,24,0.8733949177272686,0.7314764320946905,0.14191848563257814,0.8745745779319657,0.776209340437022,0.09836523749494364
SVM,25,0.8733949177272686,0.6600836994324182,0.21331121829485045,0.8745745779319657,0.7095603101149592,0.16501426781700645
SVM,26,0.8733949177272686,0.631846223951487,0.2415486937757816,0.8745745779319657,0.6811459652570824,0.19342861267488332
SVM,27,0.8733949177272686,0.8266852507869773,0.04670966694029133,0.8745745779319657,0.8239458726055332,0.05062870532643249
SVM,28,0.8733949177272686,0.6944196680825757,0.1789752496446929,0.8745745779319657,0.705987047656434,0.16858753027553164
SVM,29,0.8733949177272686,0.7845537598148195,0.08884115791244918,0.8745745779319657,0.7841790752012137,0.09039550273075203
SVM,30,0.8733949177272686,0.7311100705825226,0.14228484714474599,0.8745745779319657,0.7288122278723782,0.1457623500595875
SVM,31,0.8733949177272686,0.6465904390679722,0.22680447865929643,0.8745745779319657,0.6928731040086674,0.18170147392329827
SVM,32,0.8733949177272686,0.7636922772212494,0.10970264050601919,0.8745745779319657,0.7800324494612165,0.09454212847074916
SVM,33,0.8733949177272686,0.7665026159916977,0.10689230173557096,0.8745745779319657,0.7749021260046669,0.09967245192729879
SVM,34,0.8733949177272686,0.7450445655289846,0.12835035219828406,0.8745745779319657,0.7897609688106011,0.0848136091213646
SVM,35,0.8733949177272686,0.7178254374733248,0.1555694802539438,0.8745745779319657,0.7383168892028513,0.13625768872911437
SVM,36,0.8733949177272686,0.6930658850354691,0.18032903269179956,0.8745745779319657,0.7212289577728865,0.15334562015907915
SVM,37,0.8733949177272686,0.7512484678196563,0.12214644990761236,0.8745745779319657,0.7616390776228137,0.112935500309152
SVM,38,0.8733949177272686,0.708901174100297,0.16449374362697167,0.8745745779319657,0.7145311065397533,0.16004347139221242
SVM,39,0.8733949177272686,0.6543104444893816,0.21908447323788705,0.8745745779319657,0.6665530303030303,0.20802154762893543
SVM,40,0.8733949177272686,0.6815639306015442,0.19183098712572444,0.8745745779319657,0.6898724742630603,0.18470210366890538
RF,1,0.8449942877837584,0.4447457452454589,0.4002485425382995,0.8374666634046548,0.4392422669261154,0.3982243964785394
RF,2,0.8449942877837584,0.8044318689631931,0.04056241882056533,0.8374666634046548,0.8064447072034236,0.03102195620123116
RF,3,0.8449942877837584,0.7523511880513192,0.09264309973243923,0.8374666634046548,0.7243665978756398,0.11310006552901497
