model,feat_set,f1_sd,f1_loso,gap_f1,bal_acc_sd,bal_acc_loso
SVM,freq-72,0.8733949177272686,0.7080048834783753,0.16539003424889331,0.8745745779319657,0.7250207461465774
RF,freq-72,0.8449942877837584,0.7218660673529346,0.12312822043082383,0.8374666634046548,0.7257960532828995
