subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,3.0,0.6733311881147338,0.659967793382086
2,resnet_se,3.0,0.9010225542622686,0.90670046261961
3,resnet_se,3.0,0.9138466027901848,0.9201313398425671
4,resnet_se,3.0,0.8649486878421091,0.870920085637811
5,resnet_se,3.0,0.7446129865658565,0.7553275734962928
6,resnet_se,3.0,0.7958144041331918,0.8070417003321663
7,resnet_se,3.0,0.8416191898082472,0.8550553114503419
8,resnet_se,3.0,0.8248671263958794,0.8338590672892998
9,resnet_se,3.0,0.818869985883953,0.8116240094756685
10,resnet_se,3.0,0.6926949491467266,0.7169705294705294
11,resnet_se,3.0,0.9146468753657049,0.9267627173443432
12,resnet_se,3.0,0.877357225817156,0.8841783216783217
13,resnet_se,3.0,0.8981928099950758,0.9116560281030305
14,resnet_se,3.0,0.751730416757065,0.7708012844628235
15,resnet_se,3.0,0.8758287913702505,0.8977903679579453
16,resnet_se,3.0,0.888075620891974,0.9069638694638694
17,resnet_se,3.0,0.8905359787140864,0.8921057262520676
18,resnet_se,3.0,0.9064519303742132,0.9143987553144529
19,resnet_se,3.0,0.8705426380152912,0.890794185178277
20,resnet_se,3.0,0.8622583167618334,0.8755047909678122
21,resnet_se,3.0,0.8039467229431343,0.8184938183905225
22,resnet_se,3.0,0.8539505492852711,0.8487393583388861
23,resnet_se,3.0,0.8168679823143646,0.8219435192488858
24,resnet_se,3.0,0.8490188277003912,0.8743690317535772
25,resnet_se,3.0,0.8827837667901846,0.9202112220581106
26,resnet_se,3.0,0.7785795252028157,0.8115701234334335
27,resnet_se,3.0,0.9338435007432482,0.9321247932689992
28,resnet_se,3.0,0.7916809155594089,0.7862268189454874
29,resnet_se,3.0,0.8513121833782493,0.8584604084834808
30,resnet_se,3.0,0.7962970765012802,0.8042239715172046
31,resnet_se,3.0,0.7454311528398607,0.7763025935893594
32,resnet_se,3.0,0.8274049647558824,0.8316159681333004
33,resnet_se,3.0,0.8604787605504852,0.8623297467807449
34,resnet_se,3.0,0.8442592810239868,0.8651316593945271
35,resnet_se,3.0,0.6957799845065112,0.7249257282239854
36,resnet_se,3.0,0.8492485498000848,0.85472223677928
37,resnet_se,3.0,0.9020949639397841,0.8975701306906779
38,resnet_se,3.0,0.7540507296444439,0.7910570877352021
39,resnet_se,3.0,0.8784268141618414,0.87744227994228
40,resnet_se,3.0,0.8234484574189842,0.8290270740945525
