lambda_,mean,sd,n
0.1,0.8320754955502021,0.06099625228075973,40
1.0,0.8329242078359552,0.06527990407260219,40
3.0,0.8336538247016503,0.06481624503861826,40
10.0,0.8317165409905971,0.06643854323123714,40
30.0,0.8347030433606424,0.06285199551988481,40
100.0,0.8345296382323186,0.06852261228474758,40
