subject,arch,f1_macro,bal_acc
1,resnet_se,0.6188570101931283,0.5882471939144713
2,resnet_se,0.7779040415039555,0.7903163287154947
3,resnet_se,0.8536941758180937,0.8403581797194726
4,resnet_se,0.7888454566567437,0.8246579196560562
5,resnet_se,0.6700134885377067,0.6983362663040209
6,resnet_se,0.7426852791591849,0.7584183164542713
7,resnet_se,0.7554907802705159,0.7838306353644626
8,resnet_se,0.6970710104465044,0.7098450967637014
9,resnet_se,0.8133720074345585,0.8119855481755287
10,resnet_se,0.5317617825494325,0.6158627556653873
11,resnet_se,0.8696060888926491,0.9068248341215954
12,resnet_se,0.8913842544662786,0.9010364635364635
13,resnet_se,0.8806999073551146,0.8952265371837556
14,resnet_se,0.7636540089796958,0.7956826431320951
15,resnet_se,0.7905851985948846,0.8151718916376217
16,resnet_se,0.8345283562331186,0.8354291541791542
17,resnet_se,0.8418908307712738,0.8421866751135044
18,resnet_se,0.8706693181422681,0.8823157220686291
19,resnet_se,0.8703820361605417,0.8764673002526093
20,resnet_se,0.8195751972266825,0.8374693475640897
21,resnet_se,0.7867209670329645,0.7893250699953116
22,resnet_se,0.7403466860671091,0.7341868059626497
23,resnet_se,0.7954329633238262,0.8192152534863755
24,resnet_se,0.7957952575020257,0.8563863419924445
25,resnet_se,0.8434065522288914,0.8792922698395762
26,resnet_se,0.6676771448939389,0.7358586867139002
27,resnet_se,0.8862784724680165,0.8821255961078374
28,resnet_se,0.7378725531760764,0.726269302028114
29,resnet_se,0.82366289209328,0.8275973080502644
30,resnet_se,0.7253709827887855,0.7370161167153649
31,resnet_se,0.7160458528209817,0.7363820830740032
32,resnet_se,0.7633446876093114,0.7766461500139366
33,resnet_se,0.7479039738020266,0.7457175265750583
34,resnet_se,0.7962027962949544,0.8058794642857142
35,resnet_se,0.6340418369359976,0.6476354484889335
36,resnet_se,0.6247508672061102,0.6726178466617754
37,resnet_se,0.8844101029496297,0.87322436218654
38,resnet_se,0.778385179734352,0.798602152412166
39,resnet_se,0.787548159274435,0.774280303030303
40,resnet_se,0.8209201570409388,0.8219538587543208
