subject,norm,mmd_to_others,mahalanobis,f1_SVM,f1_RF,f1_ResNet_SE_CD
1,global,0.2148043043620247,3.2048204217540928,0.6708429792681361,0.6026753059144594,0.6369135198352118
2,global,0.10223204948011744,1.8674855954014473,0.8729166904278644,0.8502282632843694,0.8892519667284784
3,global,0.04109178296603555,1.4185458663450021,0.8123476884987733,0.7844170805503818,0.911591275737929
4,global,0.02847829124291157,1.1728303241135225,0.7809203568641745,0.7922746997349666,0.8967431655888143
5,global,0.039714444701864915,1.3411945329708226,0.698487429709867,0.6582109311114686,0.6575722460290012
6,global,0.026989700662315652,1.2032862055586209,0.7460078974475345,0.7145014755448332,0.8089474753239861
7,global,0.11454747968507673,2.535722139688539,0.7732346983942175,0.7481762662220409,0.7879275050695798
8,global,0.055308470079923566,1.5421609597836736,0.74807780287718,0.7513695213612382,0.8544364759411147
9,global,0.028409756835023448,1.257364907691701,0.7909824919648527,0.7752577572551006,0.8266835341910488
10,global,0.11061160717710372,2.0717848864560957,0.7102313419474202,0.7383121311281183,0.7364832076272612
11,global,0.038608051146348465,1.069540725800201,0.8682620835916856,0.8568400332837391,0.9281574458359604
12,global,0.027432954803903176,1.1396704153837578,0.8270668452343122,0.8149277876966663,0.9232760841577028
13,global,0.03999125981187546,1.2902852320200693,0.8935695131978626,0.8939836426295077,0.9320032384807376
14,global,0.04886578085448301,1.3813792536007652,0.8058885232414644,0.7711021683080721,0.8259557959068353
15,global,0.052781700497496864,1.5003889068705072,0.834115365692586,0.780019128288689,0.8945577520305781
16,global,0.02401941641746075,1.1200988238497331,0.8171264214191113,0.8355576483872889,0.8602969372160483
17,global,0.030962019260134976,1.2034827871416465,0.8099535441017278,0.7829022437545126,0.8740116833659312
18,global,0.04114451601493174,1.3910203616860286,0.8119286933746366,0.7703538754826219,0.9057980852113592
19,global,0.10161273688398587,1.8417253137245209,0.7493323266051085,0.7798201964221061,0.8452531284759923
20,global,0.04140314531620426,1.2544619361446827,0.721121202384184,0.6827689585011569,0.8409122093625153
21,global,0.03710100654603288,1.3016177594711937,0.7627346519666744,0.7942523900240688,0.8657640857497411
22,global,0.08696419768579211,1.7554601817676505,0.7409953852292037,0.7366067642150091,0.8229863982628072
23,global,0.0409518762637926,1.174194605631221,0.6963617112667909,0.7305645669132046,0.8105694274671286
24,global,0.17814422520568196,2.0361081053319094,0.7011497642333242,0.7449661101196623,0.786832906815587
25,global,0.018578738902453207,0.9816007150244017,0.7520582218447945,0.779662855593143,0.9082572012001204
26,global,0.04016448863724564,1.6313188950428024,0.7276029762323566,0.7152486610417648,0.8003377829096816
27,global,0.054432601108890255,1.3663264866283515,0.8471334964401774,0.827541169893101,0.9025924069484388
28,global,0.09450660740854544,1.9330034242264549,0.802751648625109,0.779837012094181,0.8036751585075397
29,global,0.049121725198129296,1.4599545426526745,0.8037798587399274,0.7418081158937451,0.8679324789502041
30,global,0.1773486129056946,2.930893650323465,0.8040059719751332,0.815420191924198,0.8243258732107972
31,global,0.04510990850276442,1.1828010250024463,0.7340918274538094,0.706385129084563,0.793511514442473
32,global,0.034289619424366036,1.257516129810479,0.7357707426793634,0.7675591337772055,0.8536963366136607
33,global,0.03615650621907607,1.416349352991485,0.8382067895501709,0.8483985123769411,0.9044424033359716
34,global,0.0331932976260334,1.0762236128463836,0.8423175942747149,0.8450584444471654,0.909653181475438
35,global,0.06601015994914472,1.365917794806353,0.7309437258400238,0.7011606199497994,0.7200351834322918
36,global,0.021688523214202116,0.923886922069409,0.7040875634942992,0.7455897454602711,0.8052037046720512
37,global,0.039440622888658794,1.5049028785954741,0.7961891858803415,0.8694714899812868,0.8697078100179132
38,global,0.05055771654716912,1.4423211348698437,0.8108652090258592,0.838085497627845,0.8591185125214976
39,global,0.200682775340995,2.469458884150059,0.7478608553780732,0.7523619214748247,0.8611446856178568
40,global,0.18412509941374067,2.5413932935961765,0.7466845799121155,0.8060080973387425,0.8560993454756968
1,per_subject,0.008202671973112086,4.978651195024278e-14,0.6708429792681361,0.6026753059144594,0.6369135198352118
2,per_subject,0.0060807125686843655,7.140334959892352e-14,0.8729166904278644,0.8502282632843694,0.8892519667284784
3,per_subject,0.005480837707248831,5.964622284852035e-14,0.8123476884987733,0.7844170805503818,0.911591275737929
4,per_subject,0.004690325784909133,8.249708666557815e-14,0.7809203568641745,0.7922746997349666,0.8967431655888143
5,per_subject,0.00637918997687148,8.975374740966565e-14,0.698487429709867,0.6582109311114686,0.6575722460290012
6,per_subject,0.004000928557989836,8.338890360543846e-14,0.7460078974475345,0.7145014755448332,0.8089474753239861
7,per_subject,0.004470688907324494,4.8243086673661235e-14,0.7732346983942175,0.7481762662220409,0.7879275050695798
8,per_subject,0.007429046409180851,8.808153959509536e-14,0.74807780287718,0.7513695213612382,0.8544364759411147
9,per_subject,0.0054782052608446374,7.701527252336314e-14,0.7909824919648527,0.7752577572551006,0.8266835341910488
10,per_subject,0.00524504744305343,9.855644299805674e-14,0.7102313419474202,0.7383121311281183,0.7364832076272612
11,per_subject,0.004629855054225196,1.1686707024795332e-13,0.8682620835916856,0.8568400332837391,0.9281574458359604
12,per_subject,0.006375465813965198,8.181358708721046e-14,0.8270668452343122,0.8149277876966663,0.9232760841577028
13,per_subject,0.0038033694172858734,7.63308121208359e-14,0.8935695131978626,0.8939836426295077,0.9320032384807376
14,per_subject,0.004751190116972559,5.857548442425003e-14,0.8058885232414644,0.7711021683080721,0.8259557959068353
15,per_subject,0.00419336064360043,6.253081367969886e-14,0.834115365692586,0.780019128288689,0.8945577520305781
16,per_subject,0.0029466943283709135,7.599198812070846e-14,0.8171264214191113,0.8355576483872889,0.8602969372160483
17,per_subject,0.0036524688819083995,6.071539744717906e-14,0.8099535441017278,0.7829022437545126,0.8740116833659312
18,per_subject,0.003523314993231663,4.580489507025812e-14,0.8119286933746366,0.7703538754826219,0.9057980852113592
19,per_subject,0.007107684153015992,1.0470527576184051e-13,0.7493323266051085,0.7798201964221061,0.8452531284759923
20,per_subject,0.007780188952901668,4.6389921229302743e-14,0.721121202384184,0.6827689585011569,0.8409122093625153
21,per_subject,0.004381938448127398,1.0045843018224058e-13,0.7627346519666744,0.7942523900240688,0.8657640857497411
22,per_subject,0.008613563847158723,7.799689815899065e-14,0.7409953852292037,0.7366067642150091,0.8229863982628072
23,per_subject,0.007348701917332612,6.606647950530663e-14,0.6963617112667909,0.7305645669132046,0.8105694274671286
24,per_subject,0.014871931025496554,6.28417015095182e-14,0.7011497642333242,0.7449661101196623,0.786832906815587
25,per_subject,0.0056265360754501614,7.040373518710403e-14,0.7520582218447945,0.779662855593143,0.9082572012001204
26,per_subject,0.0036524969972087096,6.607453969066934e-14,0.7276029762323566,0.7152486610417648,0.8003377829096816
27,per_subject,0.006803360838468997,6.458936591045566e-14,0.8471334964401774,0.827541169893101,0.9025924069484388
28,per_subject,0.0044239820917102435,9.977750202807796e-14,0.802751648625109,0.779837012094181,0.8036751585075397
29,per_subject,0.0042013144361048305,6.729222405734032e-14,0.8037798587399274,0.7418081158937451,0.8679324789502041
30,per_subject,0.005419192645151227,1.4378702370092121e-13,0.8040059719751332,0.815420191924198,0.8243258732107972
31,per_subject,0.005333780249356268,8.324956499136156e-14,0.7340918274538094,0.706385129084563,0.793511514442473
32,per_subject,0.006657996062658933,7.439619723435186e-14,0.7357707426793634,0.7675591337772055,0.8536963366136607
33,per_subject,0.005345859653365315,8.097662688168766e-14,0.8382067895501709,0.8483985123769411,0.9044424033359716
34,per_subject,0.005850600038839637,7.287388588084491e-14,0.8423175942747149,0.8450584444471654,0.909653181475438
35,per_subject,0.003469216962721511,5.789385305216627e-14,0.7309437258400238,0.7011606199497994,0.7200351834322918
36,per_subject,0.005081836309053678,8.643832580197348e-14,0.7040875634942992,0.7455897454602711,0.8052037046720512
37,per_subject,0.01528881456205533,4.901815294694867e-14,0.7961891858803415,0.8694714899812868,0.8697078100179132
38,per_subject,0.004204386984128172,5.781826904194668e-14,0.8108652090258592,0.838085497627845,0.8591185125214976
39,per_subject,0.004497934139896298,1.407727164318622e-13,0.7478608553780732,0.7523619214748247,0.8611446856178568
40,per_subject,0.008111443518827643,1.0497606520148038e-13,0.7466845799121155,0.8060080973387425,0.8560993454756968
