rung,name,mmd_mean,wasserstein1_mean,subject_probe_bal_acc,silhouette_by_class,chance_floor,elapsed_sec,mmd_removed_pct,w1_removed_pct
0,global_z,0.1815246288752704,0.45262603761012365,0.7771288577677138,0.007976952339429667,0.025,20.3,0.0,0.0
1,mean_center,0.1046023559793402,0.29209080611850374,0.04270982036888747,0.01904942264605392,0.025,12.8,42.37566735298779,35.467520237954005
2,scale_only,0.23001903322495298,0.6121899602872445,0.9091532065620955,0.0077713241700874515,0.025,19.0,-26.71505494882689,-35.25292612851487
3,mean_scale,0.08280411064024204,0.17068440819047584,0.024188279681377718,0.022960446721426393,0.025,13.5,54.38409038305287,62.29019234251445
4,full_whiten_recolor,0.04908843594026314,0.11203230036677679,0.01187175635556019,-0.006060532931439593,0.025,9.8,72.95769932465038,75.248374804439
