subject,arch,f1_macro,bal_acc
1,resnet_se,0.6294671392981327,0.59700311656782
2,resnet_se,0.7674968621608028,0.7724452079832596
3,resnet_se,0.8799992096460274,0.8659405715484976
4,resnet_se,0.6776981534091848,0.7231284295984561
5,resnet_se,0.6799800423560899,0.710100469511681
6,resnet_se,0.7834642501256626,0.7900700669890004
7,resnet_se,0.7214717574241607,0.7498335097205122
8,resnet_se,0.6829457037936938,0.6969496588682634
9,resnet_se,0.8165723439836606,0.8132597896573173
10,resnet_se,0.5592637627883514,0.6317498291182501
11,resnet_se,0.8828781028214858,0.9170832582266819
12,resnet_se,0.8780430517705579,0.8892045454545455
13,resnet_se,0.8562285538027697,0.8742291433932332
14,resnet_se,0.6970966452518388,0.7110060845875316
15,resnet_se,0.8645525777878719,0.8809133809691067
16,resnet_se,0.8450681081954916,0.8603521478521479
17,resnet_se,0.7883543817683288,0.7858753035582304
18,resnet_se,0.8470236198619145,0.8500683909114142
19,resnet_se,0.8636783311102966,0.874416549614595
20,resnet_se,0.8334440039071773,0.8518766894482118
21,resnet_se,0.7388690470162227,0.7433820216384261
22,resnet_se,0.7428806766271817,0.7376739207852037
23,resnet_se,0.7976512902856548,0.8078996113490349
24,resnet_se,0.7507816258130147,0.8086052417291382
25,resnet_se,0.8356216165145494,0.875754282036258
26,resnet_se,0.6736609881695965,0.7249904213081666
27,resnet_se,0.8546514876839335,0.8519459475371581
28,resnet_se,0.7915109398970763,0.7822655024841709
29,resnet_se,0.81561283966685,0.8204209635041791
30,resnet_se,0.6996967824158149,0.7140857263037714
31,resnet_se,0.7369217197636786,0.7520578445440784
32,resnet_se,0.8107303163879446,0.8248269786140479
33,resnet_se,0.8459044242955617,0.8464661654135338
34,resnet_se,0.8073411591704275,0.8291904425231631
35,resnet_se,0.4565672947612935,0.5042819840599247
36,resnet_se,0.7048590812064017,0.7411314400423903
37,resnet_se,0.865055842343576,0.854719848134465
38,resnet_se,0.7786782620490812,0.797773496972444
39,resnet_se,0.7965792545135935,0.7813131313131314
40,resnet_se,0.8320030791573395,0.8332035319882797
