SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.6451320228142907,0.6850292917614673,0.6850292917614673,0.6656806216424347,0.6744855998792193,0.6804845971446172,0.6848839489609282,0.6677787268930672,0.6451320228142907,0.668232284631364,0.6748535298142813,0.6521586497721175,0.6698687929669299,0.6304654699885011,0.6386113269502045,0.6468749277943034
0.6575391229676824,0.679800028511676,0.6799953079651234,0.6661907523314409,0.695477680107536,0.6989868054605741,0.701310769330052,0.6774760802845085,0.6575391229676824,0.6636851208287176,0.6803449756652843,0.6737855600754383,0.654834119327567,0.5918065675863219,0.5997048496002627,0.647861317864351
0.6265777615770554,0.6827456839729363,0.683065859654759,0.6423790757733313,0.752456579626901,0.7588471821259667,0.7551704120735925,0.6661849095365416,0.6265777615770554,0.7514913844561518,0.7418073479103778,0.6508275526201326,0.7257804093148993,0.7391265454341784,0.7438088847174166,0.6622908967667755
0.5789251117156082,0.5952085725051847,0.5952085725051847,0.5649820804098616,0.6146150807701853,0.6387465686031526,0.6386281271486014,0.5783248628980074,0.5789251117156082,0.6423605472046451,0.6375148678865622,0.5888984724004287,0.5756747658214597,0.5999913155674047,0.6027038551512388,0.5247338144401836
0.6861191438105284,0.7074302235401834,0.7074302235401834,0.6905683459337948,0.7216059754857521,0.7080433123852106,0.7105666837463703,0.6876516522354216,0.6861191438105284,0.6765927471558892,0.6833876849453531,0.6720137427085227,0.7200227155689936,0.6243975600448721,0.629498659268517,0.6324468845907547
0.6332902234436153,0.6614891500885778,0.6620545750442791,0.6070593332042935,0.6760871710691827,0.6906248730042793,0.6924174276545685,0.6036099082625932,0.6332902234436153,0.6695057681195367,0.6767278687531132,0.603947386141546,0.5993986975875973,0.5831952080295052,0.5904811643681107,0.5243762567397232
0.6942438450052247,0.7068184693429218,0.7068184693429218,0.6882942231605789,0.6598630081018496,0.662451621136813,0.6674071593000411,0.6811421364879906,0.6942438450052247,0.6587394915110109,0.6605862592305288,0.6643724857870392,0.6352803101085083,0.572036964502577,0.5779145810387513,0.6350307644075788
0.5115111781290962,0.5110475678088212,0.5110475678088212,0.49341969329944013,0.47738379906215145,0.4820134122004536,0.4863435783615784,0.47956941690723853,0.5115111781290962,0.47876305681626985,0.4864993323365371,0.4976170716065831,0.43557127716208655,0.4460664928073653,0.44816251832321363,0.4275294443422858
0.6169806591365008,0.6381568317354511,0.637684859765761,0.5974002564867621,0.6401477467852331,0.6480455319591302,0.649034301970475,0.6056452749143911,0.6169806591365008,0.6364020181425398,0.6397542938378755,0.6020583962667797,0.6040882420888635,0.6074782219215797,0.6127765243212578,0.5391028932798698
0.7370681581527144,0.7595981250995656,0.7595981250995656,0.7629466242893834,0.7612580642900602,0.7636801789188664,0.7632540186151879,0.7639223139168534,0.7370681581527144,0.7486097362318158,0.7486812724156904,0.7438906767639716,0.7350430422897725,0.7241699149563304,0.7288065663421512,0.7357948038507789
