SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.6610942948088491,0.649816523040822,0.649816523040822,0.6527181635773187,0.6524405626002479,0.6645235673487432,0.6647342189310367,0.6611113880960973,0.6369135198352118,0.6662139350459715,0.6609414103784977,0.6571125337360053,0.6369135198352118,0.6495088803707171,0.6536245594028613,0.6552017836358172
0.8641173938134359,0.8710381125315656,0.8710381125315656,0.85593413610655,0.8964960117861521,0.9179853333641861,0.9209526230126124,0.9334295499021527,0.8892519667284784,0.938886731572223,0.9365487380211936,0.934003182136448,0.8892519667284784,0.9205208530269031,0.918064682637076,0.9156023791923195
0.8026899482277057,0.8042340506037851,0.8010125474986906,0.8048987540882226,0.8511797223409321,0.8714683959163262,0.8907520215229762,0.9213071344356976,0.911591275737929,0.9153489550758082,0.9153489550758082,0.920096205095941,0.911591275737929,0.9200548733425885,0.9170437623207864,0.9159937783234582
0.7679634527580891,0.7895177004224463,0.7895177004224463,0.7948992270623438,0.8141969192202644,0.8505754199063442,0.8505754199063442,0.8976593025586487,0.8967431655888143,0.8833713944149832,0.8901610959415269,0.9021129850413099,0.8967431655888143,0.9047744674515926,0.9047744674515926,0.9042524471026339
0.6954911174105827,0.6839557936594786,0.6839557936594786,0.6945188053480695,0.690231548127254,0.7029232192414432,0.7019184515154909,0.7213016947311006,0.6575722460290012,0.7131905782253918,0.6994380496120438,0.7179581309143829,0.6575722460290012,0.6783104260105524,0.6762441780231154,0.6875057254760225
0.7559901477531702,0.7582373274388503,0.7582373274388503,0.7527373680356827,0.7660723696558241,0.7696412160441346,0.7706341359789636,0.8131171710480268,0.8089474753239861,0.7994877494460711,0.8001760280815139,0.822305284301754,0.8089474753239861,0.7867660278960685,0.7917874235820742,0.8115892385107393
0.774968415788696,0.7751259041344729,0.7751259041344729,0.7636466285824796,0.7842793610733726,0.8071307757895999,0.8157372618881039,0.8136948212660968,0.7879275050695798,0.8213001588466575,0.8215215380552203,0.8102382153594976,0.7879275050695798,0.8100519578797376,0.8057866025854848,0.8098323820775393
0.7543530055835337,0.7540154224460032,0.7540154224460032,0.7679265249835581,0.8268025981310153,0.8564595260867576,0.8594077005835805,0.881515130418639,0.8544364759411147,0.877382052488078,0.8758621169511847,0.8781615981507473,0.8544364759411147,0.8637094695422478,0.8559028686109562,0.8675000027713207
0.7924311503784587,0.7941401528677398,0.7941401528677398,0.7939540915406746,0.8263575556299823,0.8392319039581637,0.8392319039581637,0.850121937517762,0.8266835341910488,0.8488024541238529,0.844511975802113,0.850121937517762,0.8266835341910488,0.8285139338563796,0.8299290622994335,0.8344982375638149
0.6979028659134293,0.729803063133466,0.729803063133466,0.7317537685387152,0.7631085559085913,0.7889338239602546,0.7889338239602546,0.77037835525552,0.7364832076272612,0.7578401989476289,0.762297228755022,0.7615436024122632,0.7364832076272612,0.7849303474303474,0.7846524640436816,0.7675909807239533
