subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,10.0,0.6910422747472946,0.6862687312318285
2,resnet_se,10.0,0.8442173565260238,0.8515542979228835
3,resnet_se,10.0,0.923293269751414,0.9236175291694645
4,resnet_se,10.0,0.8505092407905128,0.8614426992749242
5,resnet_se,10.0,0.7754459826173734,0.7803759113745159
6,resnet_se,10.0,0.8356716326006656,0.8310377559468591
7,resnet_se,10.0,0.8554105717149195,0.8615554466576346
8,resnet_se,10.0,0.8559438878230683,0.865500778291476
9,resnet_se,10.0,0.8237538047763993,0.820346629297833
10,resnet_se,10.0,0.7109659032147155,0.7379676244807823
11,resnet_se,10.0,0.9336515629578453,0.946048674832548
12,resnet_se,10.0,0.8841001416603097,0.8991008991008991
13,resnet_se,10.0,0.8781546141963585,0.8927346482137092
14,resnet_se,10.0,0.8002712115236901,0.8184825101203267
15,resnet_se,10.0,0.8999979575859451,0.9175862324578632
16,resnet_se,10.0,0.9090088690778582,0.9228264790764791
17,resnet_se,10.0,0.8900125579940297,0.8868158941329672
18,resnet_se,10.0,0.9136357511682451,0.9138696332737031
19,resnet_se,10.0,0.8924280143485812,0.9028358846323832
20,resnet_se,10.0,0.8679729031865935,0.8847358789692925
21,resnet_se,10.0,0.8305720675580943,0.8377541744397157
22,resnet_se,10.0,0.8478766322242582,0.8488509484663915
23,resnet_se,10.0,0.7312249515639346,0.7481616542060664
24,resnet_se,10.0,0.865217773499168,0.9033772761392216
25,resnet_se,10.0,0.8708450046685341,0.9047798859579662
26,resnet_se,10.0,0.7963957196809325,0.8123542795514441
27,resnet_se,10.0,0.925898382742571,0.9202537505954389
28,resnet_se,10.0,0.7829398278357966,0.7823393516115449
29,resnet_se,10.0,0.8335573882787505,0.8366455536941279
30,resnet_se,10.0,0.8255391694229175,0.8390813447204424
31,resnet_se,10.0,0.7691863880953629,0.8060621657522878
32,resnet_se,10.0,0.7846250915402537,0.796650121352065
33,resnet_se,10.0,0.8477599547928585,0.8450818857488549
34,resnet_se,10.0,0.851253333094589,0.872460407239819
35,resnet_se,10.0,0.6332988983978498,0.6614920507036846
36,resnet_se,10.0,0.7708395673286306,0.7985361422632149
37,resnet_se,10.0,0.8794815495779656,0.8726520652488539
38,resnet_se,10.0,0.7718876969831896,0.7901650918726684
39,resnet_se,10.0,0.8039572082731302,0.8240422077922078
40,resnet_se,10.0,0.8108175258032544,0.8113796508916247
