subject,member,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK,crit_err
1,SVM,0.5794510375679751,0.6382978723404256,0.5984251968503937,0.581081081081081,0.5,0.09166666666666666
1,RESNET_SE,0.6039265018397553,0.6431718061674009,0.6307692307692307,0.6204379562043796,0.5213270142180095,0.2
1,soft,0.6299980446785389,0.6727272727272727,0.6268656716417911,0.644927536231884,0.5754716981132075,0.15833333333333333
1,hard,0.6039265018397553,0.6431718061674009,0.6307692307692307,0.6204379562043796,0.5213270142180095,0.2
2,SVM,0.8342684676182944,0.6950354609929078,0.9230769230769231,0.8042328042328042,0.9147286821705426,0.03896103896103896
2,RESNET_SE,0.8751650080839695,0.7733333333333333,0.967032967032967,0.8172043010752689,0.943089430894309,0.012987012987012988
2,soft,0.8993055813454157,0.7945205479452054,0.9565217391304348,0.8540540540540541,0.9921259842519685,0.0
2,hard,0.8751650080839695,0.7733333333333333,0.967032967032967,0.8172043010752689,0.943089430894309,0.012987012987012988
3,SVM,0.7906000828835212,0.7373737373737373,0.8869565217391304,0.8205128205128205,0.7175572519083969,0.12389380530973451
3,RESNET_SE,0.8763225066458815,0.8105263157894737,0.9026548672566371,0.9387755102040817,0.8533333333333334,0.168141592920354
3,soft,0.8841070223526658,0.8247422680412371,0.9272727272727272,0.9387755102040817,0.8456375838926175,0.168141592920354
3,hard,0.8763225066458815,0.8105263157894737,0.9026548672566371,0.9387755102040817,0.8533333333333334,0.168141592920354
4,SVM,0.7273713786776153,0.656084656084656,0.6436781609195402,0.8695652173913043,0.7401574803149606,0.06329113924050633
4,RESNET_SE,0.8563031033906255,0.8202247191011236,0.7789473684210526,0.9206349206349206,0.9054054054054054,0.06329113924050633
4,soft,0.8479403980556055,0.7936507936507936,0.7956989247311828,0.9387755102040817,0.8636363636363636,0.02531645569620253
4,hard,0.8563031033906255,0.8202247191011236,0.7789473684210526,0.9206349206349206,0.9054054054054054,0.06329113924050633
5,SVM,0.6963128551982177,0.6192170818505338,0.8543689320388349,0.6790123456790124,0.6326530612244898,0.16233766233766234
5,RESNET_SE,0.6912558261226648,0.6953405017921147,0.7857142857142857,0.7205882352941176,0.5633802816901409,0.17532467532467533
5,soft,0.7549485929743731,0.7272727272727273,0.8925619834710744,0.7432432432432432,0.6567164179104478,0.14285714285714285
5,hard,0.6912558261226648,0.6953405017921147,0.7857142857142857,0.7205882352941176,0.5633802816901409,0.17532467532467533
6,SVM,0.7359359290934961,0.6010928961748634,0.8842105263157894,0.7622377622377622,0.6962025316455697,0.09574468085106383
6,RESNET_SE,0.8107850180302005,0.7222222222222222,0.8541666666666666,0.8161764705882353,0.8505747126436781,0.0851063829787234
6,soft,0.8139914468579164,0.72,0.9072164948453608,0.8100358422939068,0.8187134502923976,0.07446808510638298
6,hard,0.8107850180302005,0.7222222222222222,0.8541666666666666,0.8161764705882353,0.8505747126436781,0.0851063829787234
7,SVM,0.737159950111196,0.7031963470319634,0.7704918032786885,0.8034188034188035,0.6715328467153284,0.0380952380952381
7,RESNET_SE,0.733836127293697,0.7314814814814815,0.8321167883211679,0.7818181818181819,0.5899280575539568,0.01904761904761905
7,soft,0.7641623738695983,0.7706422018348624,0.8217054263565892,0.8225108225108225,0.6417910447761194,0.009523809523809525
7,hard,0.733836127293697,0.7314814814814815,0.8321167883211679,0.7818181818181819,0.5899280575539568,0.01904761904761905
8,SVM,0.746790657491226,0.6335403726708074,0.9782608695652174,0.784452296819788,0.5909090909090909,0.12790697674418605
8,RESNET_SE,0.8158767148859599,0.7951807228915663,0.9032258064516129,0.84251968503937,0.7225806451612903,0.10465116279069768
8,soft,0.8304856094972392,0.7701863354037267,0.9473684210526315,0.8646616541353384,0.7397260273972602,0.10465116279069768
8,hard,0.8158767148859599,0.7951807228915663,0.9032258064516129,0.84251968503937,0.7225806451612903,0.10465116279069768
9,SVM,0.6805307596119047,0.6666666666666666,0.5753424657534246,0.7591836734693878,0.7209302325581395,0.136
9,RESNET_SE,0.845022531790909,0.8266666666666667,0.8979591836734694,0.8349514563106796,0.8205128205128205,0.112
9,soft,0.8499986131336246,0.8363636363636363,0.8842105263157894,0.8533333333333334,0.8260869565217391,0.096
9,hard,0.845022531790909,0.8266666666666667,0.8979591836734694,0.8349514563106796,0.8205128205128205,0.112
10,SVM,0.7154139711723981,0.6853932584269663,0.9318181818181818,0.7333333333333333,0.5111111111111111,0.02631578947368421
10,RESNET_SE,0.7232078016889165,0.7578947368421053,0.6835443037974683,0.7975460122699386,0.6538461538461539,0.0
10,soft,0.7728044257776208,0.7978723404255319,0.8235294117647058,0.8098159509202454,0.66,0.0
10,hard,0.7232078016889165,0.7578947368421053,0.6835443037974683,0.7975460122699386,0.6538461538461539,0.0
11,SVM,0.8727157351683897,0.8944099378881988,0.8941176470588236,0.8066298342541437,0.8957055214723927,0.012987012987012988
11,RESNET_SE,0.8965862759592181,0.84472049689441,0.9156626506024096,0.9265536723163842,0.8994082840236687,0.06493506493506493
11,soft,0.9186735525152346,0.9202453987730062,0.9176470588235294,0.9090909090909091,0.927710843373494,0.012987012987012988
11,hard,0.8965862759592181,0.84472049689441,0.9156626506024096,0.9265536723163842,0.8994082840236687,0.06493506493506493
