member,n_subjects,macro_f1_mean,macro_f1_sd,f1_DNS,f1_STDUP,f1_UPS,f1_WAK,crit_err_pooled,crit_err_persubj_mean,n_active_windows
SVM,40,0.7679911897389162,0.06220527935206857,0.7266703208461107,0.8432323856318256,0.7729568900663087,0.72910516241142,0.09904153354632587,0.09236046081962168,13643
RESNET_SE,40,0.8228585023495972,0.06994802639356554,0.8119196503621188,0.8751422922315897,0.8161369711804458,0.7882350956242345,0.08306709265175719,0.07391651656102524,13643
hard,40,0.8228585023495972,0.06994802639356554,0.8119196503621188,0.8751422922315897,0.8161369711804458,0.7882350956242345,0.08306709265175719,0.07391651656102524,13643
soft,40,0.8433859068461096,0.06475736698599693,0.8238335328783087,0.8938830759105564,0.839458998239861,0.8163680203557133,0.07495699188989924,0.06670774471642968,13643
