contrast,mean_delta_pp,cohen_dz,bca_lo_pp,bca_hi_pp,n_improved,W,p,p_holm,sig_holm_0.05
aonly soft vs aonly RESNET_SE,2.0527404496512567,0.8016152580392357,1.2536711086299581,2.8144284991362034,31,113.0,2.2706761228619143e-05,2.2706761228619143e-05,Yes
aonly soft vs aonly SVM,7.539471710719354,2.1655688566473335,6.51059181038373,8.64029514529215,40,0.0,1.8189894035458565e-12,3.637978807091713e-12,Yes
