subject,SVM_old,SVM_new,RF_old,RF_new,LDA_old,LDA_new
1,0.94826,0.90452,0.95048,0.91174,0.91163,0.87743
2,0.95477,0.9103,0.92522,0.8869,0.91345,0.8818
3,0.93429,0.88941,0.91626,0.86544,0.90961,0.84918
4,0.94866,0.88461,0.90288,0.85311,0.86878,0.82735
5,0.87333,0.8027,0.86825,0.81288,0.80512,0.7488
6,0.89334,0.82499,0.89298,0.84595,0.8299,0.74569
7,0.94024,0.90536,0.93843,0.91977,0.92279,0.87538
8,0.93087,0.86333,0.91474,0.83878,0.87184,0.82074
9,0.94044,0.87059,0.92199,0.86985,0.89535,0.84788
10,0.93427,0.9017,0.90746,0.88175,0.91385,0.85532
11,0.93966,0.90119,0.89914,0.87837,0.86154,0.81364
12,0.93455,0.87355,0.91277,0.86865,0.87472,0.83357
13,0.92734,0.88529,0.91345,0.88415,0.85316,0.80599
14,0.9212,0.87673,0.91026,0.87371,0.84685,0.79685
15,0.9257,0.86703,0.92361,0.90099,0.85736,0.80661
16,0.90593,0.85651,0.90505,0.86997,0.85876,0.79953
17,0.90527,0.83681,0.88617,0.82719,0.82341,0.76759
18,0.89563,0.80495,0.88795,0.84765,0.83612,0.76978
19,0.90092,0.83299,0.89993,0.84109,0.82879,0.79273
20,0.90854,0.81874,0.88141,0.83648,0.79118,0.70419
21,0.94141,0.8957,0.93571,0.89799,0.87483,0.80193
22,0.92095,0.8341,0.91223,0.86677,0.81195,0.73838
23,0.9531,0.8884,0.9429,0.91508,0.90498,0.86033
24,0.95307,0.89921,0.93582,0.90067,0.90955,0.88822
25,0.91526,0.87448,0.86803,0.83435,0.82481,0.77533
26,0.8905,0.80153,0.90072,0.82189,0.80177,0.76296
27,0.9423,0.90257,0.93201,0.89156,0.87435,0.82893
28,0.91484,0.86474,0.94094,0.92336,0.87663,0.82648
29,0.89943,0.80934,0.90128,0.82326,0.80948,0.73803
30,0.94035,0.89984,0.94397,0.92565,0.9148,0.8552
31,0.90364,0.84471,0.87498,0.82781,0.80301,0.75962
32,0.9077,0.83706,0.89564,0.83311,0.79711,0.77314
33,0.97227,0.94033,0.95549,0.94349,0.96619,0.94603
34,0.93367,0.87857,0.93466,0.89759,0.85949,0.81986
35,0.88386,0.77323,0.89882,0.81678,0.79342,0.7286
36,0.88126,0.80642,0.89262,0.82783,0.83388,0.78076
37,0.9173,0.85213,0.92352,0.88571,0.89465,0.84646
38,0.93335,0.8933,0.91962,0.90627,0.90254,0.88785
39,0.9453,0.89673,0.95459,0.91715,0.85767,0.81383
40,0.96383,0.91342,0.95475,0.90976,0.92125,0.90976
