tag,model,window_ms,sd_old_pooled,sd_new_blocked,delta_pp,wilcoxon_p,cohens_d,n,guard_frac,x_flags
base_w150,SVM,150,0.9062,0.8593,-4.691,1.8189894035458565e-12,-2.631,40,0.056,0
base_w150,RF,150,0.9088,0.8705,-3.829,1.8189894035458565e-12,-2.098,40,0.056,0
