tag,model,window_ms,sd_old_pooled,sd_new_blocked,delta_pp,wilcoxon_p,cohens_d,n,guard_frac,x_flags
ext_w250,SVM,250,0.9161,0.8593,-5.674,1.8189894035458565e-12,-2.001,40,0.0818,0
ext_w250,RF,250,0.9159,0.8795,-3.647,1.8189894035458565e-12,-1.779,40,0.0818,0
