tag,model,window_ms,sd_old_pooled,sd_new_blocked,delta_pp,wilcoxon_p,cohens_d,n,guard_frac,x_flags
freq72_w150,SVM,150,0.9244,0.8654,-5.899,1.8189894035458565e-12,-3.127,40,0.056,0
freq72_w150,RF,150,0.9144,0.872,-4.241,1.8189894035458565e-12,-2.359,40,0.056,0
freq72_w150,LDA,150,0.8627,0.814,-4.862,1.8189894035458565e-12,-2.846,40,0.056,0
