subject,SVM_old,SVM_new,RF_old,RF_new
1,0.93246,0.88162,0.94433,0.9053
2,0.92195,0.86831,0.92419,0.89308
3,0.91934,0.85468,0.91387,0.8774
4,0.92997,0.86279,0.90021,0.84961
5,0.86317,0.76561,0.85799,0.80821
6,0.87054,0.80098,0.89826,0.84
7,0.92284,0.89119,0.94109,0.93015
8,0.91056,0.84753,0.91453,0.85293
9,0.89398,0.81717,0.91494,0.86507
10,0.93265,0.88896,0.89189,0.8719
11,0.91574,0.84596,0.90549,0.87977
12,0.91443,0.86966,0.90032,0.85845
13,0.90544,0.86527,0.91955,0.88559
14,0.89372,0.84243,0.91157,0.84841
15,0.89105,0.84924,0.92479,0.89803
16,0.85759,0.79197,0.90764,0.87733
17,0.88819,0.8218,0.89376,0.82292
18,0.8705,0.80892,0.89627,0.85164
19,0.86715,0.7942,0.89777,0.8515
20,0.86292,0.78919,0.89135,0.84411
21,0.92168,0.86131,0.9434,0.90253
22,0.88696,0.8046,0.90717,0.86517
23,0.93805,0.87707,0.93907,0.92655
24,0.92651,0.87219,0.93344,0.90463
25,0.89181,0.82505,0.86884,0.82841
26,0.85426,0.77284,0.89341,0.8247
27,0.92512,0.87909,0.9126,0.88693
28,0.90526,0.84016,0.94254,0.92309
29,0.87449,0.80793,0.917,0.83748
30,0.91416,0.86841,0.95474,0.93353
31,0.8569,0.78402,0.8867,0.84743
32,0.88261,0.79052,0.90579,0.85083
33,0.95457,0.92189,0.96321,0.94674
34,0.91777,0.87469,0.92142,0.90056
35,0.86007,0.75785,0.89591,0.81394
36,0.85601,0.77939,0.87332,0.81507
37,0.90278,0.82612,0.90983,0.87883
38,0.92051,0.89423,0.90816,0.90221
39,0.92914,0.90018,0.95102,0.92727
40,0.96113,0.91441,0.9422,0.91125
