subject,SVM_old,SVM_new,RF_old,RF_new
1,0.93438,0.88841,0.94547,0.90114
2,0.91552,0.89117,0.91471,0.88069
3,0.92641,0.87566,0.92181,0.87617
4,0.92181,0.87699,0.89919,0.8606
5,0.84887,0.79368,0.86201,0.7937
6,0.87037,0.80874,0.8922,0.83462
7,0.9317,0.9063,0.93387,0.91034
8,0.92308,0.86972,0.9159,0.84815
9,0.90621,0.84293,0.90824,0.85697
10,0.91681,0.89202,0.88283,0.87423
11,0.91992,0.88286,0.90442,0.88115
12,0.91577,0.87573,0.89759,0.86978
13,0.90842,0.87081,0.91342,0.88982
14,0.90257,0.86754,0.91602,0.86528
15,0.91347,0.87093,0.9233,0.89709
16,0.87516,0.84193,0.89909,0.87841
17,0.88945,0.81927,0.88821,0.82458
18,0.88226,0.81694,0.89664,0.85265
19,0.87465,0.8129,0.88797,0.83593
20,0.86183,0.84158,0.87462,0.85221
21,0.93129,0.88812,0.92897,0.90016
22,0.8744,0.81266,0.90156,0.86947
23,0.93772,0.87775,0.93448,0.91066
24,0.94444,0.89289,0.92419,0.88979
25,0.8836,0.80994,0.86063,0.82713
26,0.87064,0.79045,0.89471,0.82498
27,0.93432,0.89548,0.90951,0.88459
28,0.90497,0.8685,0.93036,0.91212
29,0.88754,0.84709,0.90921,0.83141
30,0.91698,0.88171,0.94671,0.92451
31,0.88934,0.81472,0.87835,0.84428
32,0.90677,0.83187,0.88851,0.83439
33,0.96282,0.94901,0.95775,0.9395
34,0.91887,0.89185,0.92267,0.90439
35,0.86197,0.78625,0.88351,0.81185
36,0.85525,0.78961,0.87544,0.81132
37,0.91721,0.87595,0.92198,0.88956
38,0.92366,0.90221,0.91533,0.89709
39,0.93453,0.90758,0.94462,0.91737
40,0.9522,0.91102,0.94461,0.91078
