tag,model,window_ms,sd_old_pooled,sd_new_blocked,delta_pp,wilcoxon_p,cohens_d,n,guard_frac,x_flags
base_w250,SVM,250,0.9226,0.8801,-4.252,3.637978807091713e-12,-2.294,40,0.0818,0
base_w250,RF,250,0.9104,0.8739,-3.648,9.094947017729282e-12,-1.683,40,0.0818,0
