model,condition,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
CNN,balanced,0.7547,0.6427,0.936,0.7502,0.69
CNN,imbalanced,0.7649,0.6571,0.9465,0.7518,0.7043
