subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
1,RESNET_SE,imbalanced,14348,0.5566801530119758,0.4157706093189964,0.7675840978593272,0.45320197044334976,0.5901639344262295
1,RESNET_SE,balanced,3770,0.5935413553962997,0.5344827586206896,0.8529411764705882,0.45662100456621,0.5301204819277109
2,RESNET_SE,imbalanced,14395,0.8023683611745779,0.6987951807228916,0.9809358752166378,0.7428571428571429,0.7868852459016393
2,RESNET_SE,balanced,3811,0.7790139686407709,0.5714285714285714,0.9515260323159784,0.7475728155339806,0.8455284552845529
3,RESNET_SE,imbalanced,14340,0.8221808281783249,0.6777777777777778,0.9643366619115549,0.8918918918918919,0.7547169811320755
3,RESNET_SE,balanced,3804,0.7367116177763022,0.4978540772532189,0.890937019969278,0.8242424242424242,0.7338129496402878
4,RESNET_SE,imbalanced,14382,0.7787706012388103,0.6309523809523809,0.940983606557377,0.8598130841121495,0.6833333333333333
4,RESNET_SE,balanced,3803,0.7775131789061176,0.5454545454545454,0.9392446633825944,0.8597285067873304,0.765625
5,RESNET_SE,imbalanced,14375,0.6204739118782855,0.5393258426966292,0.874095513748191,0.5892116182572614,0.4792626728110599
5,RESNET_SE,balanced,3755,0.5501370956109594,0.35344827586206895,0.8714918759231906,0.5254237288135594,0.45018450184501846
6,RESNET_SE,imbalanced,14416,0.7179747476368252,0.5647058823529412,0.9481481481481482,0.6893617021276596,0.669683257918552
6,RESNET_SE,balanced,3783,0.6740520927362676,0.449438202247191,0.9236363636363636,0.6987951807228916,0.6243386243386243
7,RESNET_SE,imbalanced,14379,0.6851488942894342,0.684931506849315,0.9292929292929293,0.7615062761506276,0.36486486486486486
7,RESNET_SE,balanced,3789,0.6289323990311163,0.5656565656565656,0.9308600337268128,0.6147186147186147,0.4044943820224719
8,RESNET_SE,imbalanced,14400,0.7497886229008028,0.5641025641025641,0.9805309734513274,0.7804878048780488,0.6740331491712708
8,RESNET_SE,balanced,3791,0.7747766326716227,0.6164383561643836,0.9678571428571429,0.8181818181818182,0.6966292134831461
9,RESNET_SE,imbalanced,14413,0.8194178655733165,0.7713004484304933,0.9468085106382979,0.7802197802197802,0.7793427230046949
9,RESNET_SE,balanced,3781,0.7852366551766851,0.6859903381642513,0.896551724137931,0.8269230769230769,0.7314814814814815
10,RESNET_SE,imbalanced,14400,0.7525583854459792,0.6698113207547169,0.9625668449197861,0.7341772151898734,0.6436781609195402
10,RESNET_SE,balanced,3813,0.7606430065864327,0.6831683168316832,0.9525547445255474,0.8021978021978022,0.6046511627906976
11,RESNET_SE,imbalanced,14419,0.8510071993414661,0.78125,0.9333333333333333,0.7515923566878981,0.9378531073446328
11,RESNET_SE,balanced,3803,0.8533367692909395,0.7759562841530054,0.94921875,0.7741935483870968,0.9139784946236559
12,RESNET_SE,imbalanced,14400,0.8316415993313631,0.7283950617283951,0.9479166666666666,0.7631578947368421,0.8870967741935484
12,RESNET_SE,balanced,3813,0.8005945181408787,0.6549707602339181,0.9157509157509157,0.8072289156626506,0.8244274809160306
13,RESNET_SE,imbalanced,14243,0.8918363929146795,0.8372093023255814,0.9898305084745763,0.8487394957983193,0.891566265060241
13,RESNET_SE,balanced,3784,0.8723492807766521,0.7875647668393783,0.9853107344632769,0.831275720164609,0.8852459016393442
14,RESNET_SE,imbalanced,14243,0.7825822437773462,0.6575342465753424,0.9657458563535911,0.8195488721804511,0.6875
14,RESNET_SE,balanced,3776,0.7526778228501438,0.635593220338983,0.9522752497225305,0.7969924812030075,0.6258503401360545
15,RESNET_SE,imbalanced,14312,0.8406699284181137,0.7790697674418605,0.9825970548862115,0.8176795580110497,0.7833333333333333
15,RESNET_SE,balanced,3808,0.8307602062870176,0.7439024390243902,0.9743589743589743,0.8235294117647058,0.78125
16,RESNET_SE,imbalanced,14290,0.7813818845976522,0.6666666666666666,0.8990318118948825,0.7264957264957265,0.8333333333333334
16,RESNET_SE,balanced,3792,0.8197364075950389,0.6877828054298643,0.9100817438692098,0.7837837837837838,0.8972972972972973
17,RESNET_SE,imbalanced,14301,0.7744574764621381,0.6291079812206573,0.9591567852437418,0.7790262172284644,0.7305389221556886
17,RESNET_SE,balanced,3781,0.7855390318054594,0.6457399103139013,0.964332892998679,0.7611336032388664,0.770949720670391
18,RESNET_SE,imbalanced,14322,0.7127311901573792,0.6153846153846154,0.9727520435967303,0.5876288659793815,0.6751592356687898
18,RESNET_SE,balanced,3795,0.7660242981703633,0.6994535519125683,0.9753424657534246,0.6818181818181818,0.7074829931972789
19,RESNET_SE,imbalanced,14279,0.8364203264989927,0.7884615384615384,0.9509433962264151,0.8354430379746836,0.7708333333333334
19,RESNET_SE,balanced,3784,0.8080489527587356,0.7475728155339806,0.9360613810741688,0.7956204379562044,0.7529411764705882
20,RESNET_SE,imbalanced,14337,0.8629477676763306,0.8208092485549133,0.9619883040935673,0.9207920792079208,0.7482014388489209
20,RESNET_SE,balanced,3804,0.7009156350106863,0.631578947368421,0.945985401459854,0.8372093023255814,0.3888888888888889
21,RESNET_SE,imbalanced,14337,0.8001301437206324,0.772093023255814,0.9693430656934306,0.7979274611398963,0.6611570247933884
21,RESNET_SE,balanced,3801,0.7832879402924687,0.7298578199052133,0.9415292353823088,0.8,0.6617647058823529
22,RESNET_SE,imbalanced,14324,0.7578434076084704,0.6798418972332015,0.957592339261286,0.6403162055335968,0.7536231884057971
22,RESNET_SE,balanced,3767,0.7277774547905467,0.6341463414634146,0.9663865546218487,0.6230769230769231,0.6875
23,RESNET_SE,imbalanced,14365,0.757696717110216,0.6597938144329897,0.9453978159126365,0.7380952380952381,0.6875
23,RESNET_SE,balanced,3759,0.6971089509278463,0.625,0.9218500797448166,0.6578947368421053,0.5836909871244635
24,RESNET_SE,imbalanced,14292,0.6365115662242363,0.4931506849315068,0.8555078683834049,0.6120218579234973,0.5853658536585366
24,RESNET_SE,balanced,3801,0.6152475668198212,0.424,0.8088888888888889,0.6127167630057804,0.6153846153846154
25,RESNET_SE,imbalanced,14317,0.7983860902623683,0.7464114832535885,0.9213483146067416,0.6555555555555556,0.8702290076335878
25,RESNET_SE,balanced,3805,0.7395653270566198,0.5267175572519084,0.8523076923076923,0.7734806629834254,0.8057553956834532
26,RESNET_SE,imbalanced,14259,0.7106347661807577,0.5579710144927537,0.9662398137369034,0.6605504587155964,0.6577777777777778
26,RESNET_SE,balanced,3766,0.7348260234308376,0.5791505791505791,0.9542790152403282,0.7142857142857143,0.6915887850467289
27,RESNET_SE,imbalanced,14276,0.8440658896356157,0.7309644670050761,0.9987789987789988,0.861244019138756,0.7852760736196319
27,RESNET_SE,balanced,3792,0.8603975647463127,0.7283236994219653,0.9938949938949939,0.8493150684931506,0.8700564971751412
28,RESNET_SE,imbalanced,14303,0.7603582607378492,0.7019230769230769,0.9754838709677419,0.7586206896551724,0.6054054054054054
28,RESNET_SE,balanced,3781,0.7207052917039932,0.6206896551724138,0.9184782608695652,0.7456140350877193,0.5980392156862745
29,RESNET_SE,imbalanced,14276,0.7931037770906515,0.6755555555555556,0.9637681159420289,0.8538461538461538,0.6792452830188679
29,RESNET_SE,balanced,3778,0.779107395219538,0.635593220338983,0.9616810877626699,0.8674698795180723,0.651685393258427
30,RESNET_SE,imbalanced,14287,0.7967733315957544,0.7058823529411765,0.9848101265822785,0.8348623853211009,0.6615384615384615
30,RESNET_SE,balanced,3802,0.8239191150646697,0.7530864197530864,0.9796954314720813,0.8732394366197183,0.6896551724137931
31,RESNET_SE,imbalanced,14260,0.7132466784248224,0.5786802030456852,0.9729093050647821,0.6666666666666666,0.6347305389221557
31,RESNET_SE,balanced,3776,0.7322305888739057,0.6091370558375635,0.9727164887307236,0.6996699669966997,0.6473988439306358
32,RESNET_SE,imbalanced,14292,0.7566333098283771,0.6278026905829597,0.972972972972973,0.6833333333333333,0.7424242424242424
32,RESNET_SE,balanced,3790,0.7859958767962091,0.6859903381642513,0.9808917197452229,0.7304347826086957,0.7466666666666667
33,RESNET_SE,imbalanced,14280,0.898474898036395,0.8792270531400966,0.9925742574257426,0.8317757009345794,0.8903225806451613
33,RESNET_SE,balanced,3792,0.8851411641995399,0.9,0.9913258983890955,0.8384279475982532,0.8108108108108109
34,RESNET_SE,imbalanced,14311,0.8617430392112705,0.9081081081081082,0.9711934156378601,0.7802690582959642,0.7874015748031497
34,RESNET_SE,balanced,3801,0.8544278103252805,0.8602150537634409,0.9598893499308437,0.7822222222222223,0.8153846153846154
35,RESNET_SE,imbalanced,14263,0.7018671117624258,0.576271186440678,0.9434389140271493,0.6823529411764706,0.6054054054054054
35,RESNET_SE,balanced,3744,0.7221108854272484,0.5980066445182725,0.9344073647871116,0.6956521739130435,0.660377358490566
36,RESNET_SE,imbalanced,14280,0.6876541877381777,0.6244725738396625,0.9572446555819477,0.4688995215311005,0.7
36,RESNET_SE,balanced,3778,0.7216166945103901,0.6098654708520179,0.9803921568627451,0.5511111111111111,0.7450980392156863
37,RESNET_SE,imbalanced,14266,0.857705020105704,0.7792207792207793,0.9812646370023419,0.8359788359788359,0.8343558282208589
37,RESNET_SE,balanced,3800,0.8685016441192798,0.802547770700637,0.9834905660377359,0.8556701030927835,0.8322981366459627
38,RESNET_SE,imbalanced,14251,0.856643647605414,0.8020304568527918,0.9793577981651376,0.7701863354037267,0.875
38,RESNET_SE,balanced,3808,0.8219599473610169,0.7904761904761904,0.965034965034965,0.7058823529411765,0.8264462809917356
39,RESNET_SE,imbalanced,14236,0.7542184311396453,0.6946107784431138,0.9877913429522752,0.7383177570093458,0.5961538461538461
39,RESNET_SE,balanced,3806,0.7680564413209375,0.7126436781609196,0.9763779527559056,0.772093023255814,0.6111111111111112
40,RESNET_SE,imbalanced,14285,0.7693560779794829,0.7630057803468208,0.9900497512437811,0.6735751295336787,0.6507936507936508
40,RESNET_SE,balanced,3805,0.7266546483680324,0.6527777777777778,0.9696202531645569,0.6359447004608295,0.6482758620689655
