subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
1,CNN,imbalanced,14348,0.5896785415843273,0.5486111111111112,0.8323353293413174,0.502092050209205,0.4756756756756757
1,CNN,balanced,3770,0.600309332319883,0.6390041493775933,0.881559220389805,0.45643153526970953,0.42424242424242425
2,CNN,imbalanced,14395,0.7829773458514456,0.6625766871165644,0.9773913043478261,0.7252747252747253,0.7666666666666667
2,CNN,balanced,3811,0.8006459934579351,0.6164383561643836,0.9739130434782609,0.7729468599033816,0.8392857142857143
3,CNN,imbalanced,14340,0.8484617236855179,0.7464114832535885,0.9678362573099415,0.9261744966442953,0.7534246575342466
3,CNN,balanced,3804,0.7974090644822327,0.6607929515418502,0.9207317073170732,0.8734177215189873,0.7346938775510204
4,CNN,imbalanced,14382,0.7788491985529941,0.576271186440678,0.919931856899489,0.8878504672897196,0.7313432835820896
4,CNN,balanced,3803,0.7226648158361939,0.5073170731707317,0.919931856899489,0.8785046728971962,0.5849056603773585
5,CNN,imbalanced,14375,0.5347378923297399,0.29118773946360155,0.8290468986384266,0.5446428571428571,0.4740740740740741
5,CNN,balanced,3755,0.5455536383421514,0.2677165354330709,0.8149300155520995,0.5959183673469388,0.5036496350364964
6,CNN,imbalanced,14416,0.7163873049638405,0.5764705882352941,0.9355432780847146,0.6666666666666666,0.6868686868686869
6,CNN,balanced,3783,0.6555592273407486,0.39814814814814814,0.8410041841004184,0.7164179104477612,0.6666666666666666
7,CNN,imbalanced,14379,0.6754923343176802,0.6666666666666666,0.9204737732656514,0.714828897338403,0.4
7,CNN,balanced,3789,0.6360600730821615,0.5130890052356021,0.9093959731543624,0.6827309236947792,0.43902439024390244
8,CNN,imbalanced,14400,0.7655729154435003,0.5578231292517006,0.9876977152899824,0.7905138339920948,0.7262569832402235
8,CNN,balanced,3791,0.7443489738417979,0.5263157894736842,0.9823321554770318,0.7848101265822784,0.6839378238341969
9,CNN,imbalanced,14413,0.7601443636502487,0.6188340807174888,0.8745519713261649,0.8442211055276382,0.7029702970297029
9,CNN,balanced,3781,0.7537356281064777,0.6666666666666666,0.8640595903165735,0.8207547169811321,0.6634615384615384
10,CNN,imbalanced,14400,0.7248163095769479,0.6704545454545454,0.9716312056737588,0.77,0.48717948717948717
10,CNN,balanced,3813,0.6781270230179599,0.6274509803921569,0.9585585585585585,0.711864406779661,0.4146341463414634
11,CNN,imbalanced,14419,0.8619863560886585,0.7771428571428571,0.9695817490494296,0.7701863354037267,0.9310344827586207
11,CNN,balanced,3803,0.8252645636938786,0.7336683417085427,0.9255533199195171,0.7654320987654321,0.8764044943820225
12,CNN,imbalanced,14400,0.8294283608174791,0.6368715083798883,0.906764168190128,0.8588235294117647,0.9152542372881356
12,CNN,balanced,3813,0.7751774961927627,0.5897435897435898,0.9038112522686026,0.783625730994152,0.8235294117647058
13,CNN,imbalanced,14243,0.8569893669172578,0.7958115183246073,0.9864559819413092,0.8047808764940239,0.8409090909090909
