model,mean,ci_low,ci_high,sd,n
SVM,0.776700141407124,0.7603872012003181,0.7938137926065845,0.0547264767402714,40
RF,0.7732421386023015,0.753388834748265,0.7904578444103131,0.059893130882271294,40
CNN,0.7537097920607884,0.7280390929275503,0.7746611432005591,0.07525546258463091,40
Ensemble,0.791683975,0.7721654079627059,0.8101386760939117,0.060905364474474574,40
