subject,arch,f1_macro,bal_acc
1,resnet_se,0.583838985370044,0.5842257522580978
2,resnet_se,0.8297037930918775,0.8319915063884968
3,resnet_se,0.8682990640379598,0.8813698259171958
4,resnet_se,0.7723049314224082,0.7961852211539746
5,resnet_se,0.609038625688463,0.6371094083470862
6,resnet_se,0.7315171606803126,0.743381195542783
7,resnet_se,0.7524974153882955,0.7552518434810577
8,resnet_se,0.7983843742370436,0.8123875857150253
9,resnet_se,0.772595230297313,0.7772417214236503
10,resnet_se,0.7259469341270164,0.7345445151990123
11,resnet_se,0.8629819926622828,0.8764693877075009
12,resnet_se,0.8427393961666875,0.8430138121414552
13,resnet_se,0.8866031176824811,0.8924830917590063
14,resnet_se,0.7927827957178615,0.7977271984196612
15,resnet_se,0.838148968203704,0.8542729955806683
16,resnet_se,0.8228160626735188,0.8509344851028164
17,resnet_se,0.7564900756291995,0.7579859596583538
18,resnet_se,0.8416521697588496,0.8480038643825593
19,resnet_se,0.814381176353291,0.8396468907534089
20,resnet_se,0.8051730265433311,0.8184045379310995
21,resnet_se,0.8413589896639644,0.8537808883977949
22,resnet_se,0.7873786207290111,0.7948913784180187
23,resnet_se,0.716713993452758,0.7296445639187574
24,resnet_se,0.7259877515118704,0.7598562859718466
25,resnet_se,0.8099775662595101,0.8472703033481948
26,resnet_se,0.7010234098760826,0.7180574356018949
27,resnet_se,0.8373139083659848,0.8364206793119958
28,resnet_se,0.7771700986778151,0.7949853026843947
29,resnet_se,0.7859480767409155,0.7835790188989238
30,resnet_se,0.7909070546848871,0.7940506854120515
31,resnet_se,0.7394601341558003,0.745958652154079
32,resnet_se,0.787888664957054,0.7915621247313053
33,resnet_se,0.8507168144161413,0.8553273630821774
34,resnet_se,0.8376976787222761,0.8562115222221358
35,resnet_se,0.6771715967649338,0.6956887304359666
36,resnet_se,0.7481820902380013,0.7617517049226383
37,resnet_se,0.7949765245687515,0.7883902474536232
38,resnet_se,0.8018126085877815,0.813533774713899
39,resnet_se,0.8096738105272476,0.8125303834375623
40,resnet_se,0.8072852719510449,0.81177425687269
