subject,arch,f1_pre_adabn,f1_macro,bal_acc,delta_pp
156,resnet_se,0.554718800844747,0.5794585214652543,0.6490373011268034,2.47
185,resnet_se,0.44034971922661253,0.5062989649623122,0.5571133266876014,6.59
186,resnet_se,0.6710046016200082,0.6008739293215766,0.6570732543381623,-7.01
188,resnet_se,0.11572738050905133,0.4326414036668371,0.5264703357308104,31.69
189,resnet_se,0.3349035060830658,0.5997949299228842,0.6708795697445578,26.49
190,resnet_se,0.29402503294739163,0.5429055365106501,0.5708103008513703,24.89
191,resnet_se,0.5539589580388069,0.5812601682990841,0.6144617125303605,2.73
192,resnet_se,0.45474682899836216,0.4361850277575202,0.4770757574746476,-1.86
193,resnet_se,0.5361421828696008,0.5570311568732239,0.5756854868130068,2.09
194,resnet_se,0.4697031219629622,0.5785835094165259,0.7122050796603226,10.89
