feature_set,dim,model,loso_macro_f1_mean,loso_inter_subject_sd,subj_dependent_macro_f1,loso_minus_subjdep_pp
Base-36,36,SVM,0.7768713728153589,0.05878186414024316,0.8591,-8.222862718464107
Base-36,36,RF,0.7711353499618132,0.06389600069949058,0.8392,-6.806465003818674
Extended-54,54,SVM,0.7713218699516305,0.05907147654045079,0.8415,-7.017813004836948
Extended-54,54,RF,0.7716201079136444,0.06121708160412121,0.8405,-6.887989208635559
Freq-72,72,SVM,0.776700141407124,0.0547264767402714,0.8734,-9.6699858592876
Freq-72,72,RF,0.7732421386023015,0.059893130882271294,0.8434,-7.015786139769853
Combined-81,81,SVM,0.7749765666207417,0.056644378821097116,0.8722,-9.722343337925832
Combined-81,81,RF,0.7770187689426971,0.05868377081295786,0.8482,-7.118123105730289
