subject,arch,n_windows,acc,bal_acc,f1_macro,f1_macro_fold_sd,fit_time_sec
1,resnet_se,690,0.7927536231884058,0.7104489164086687,0.7206203631842671,0.1362485308442252,19.050072800004273
2,resnet_se,520,0.6019230769230769,0.3217948717948718,0.2959962981219907,0.07095959116800306,8.22447660000762
3,resnet_se,594,0.7104401082466885,0.4937399556964774,0.4696344609404964,0.1686026793941359,15.531213299997034
4,resnet_se,556,0.813030888030888,0.6927083333333334,0.6917458658545416,0.2242768348395142,13.531093100013095
5,resnet_se,708,0.6880031964838678,0.6108971868317219,0.5982229356959202,0.11410598384097152,19.241471900008037
6,resnet_se,583,0.7322723253757737,0.5881592871066555,0.559127518475266,0.06828085003051121,14.07876390000456
7,resnet_se,600,0.7449999999999999,0.6069141727837379,0.6096656980385771,0.2431011641502122,12.674934499998926
8,resnet_se,574,0.8011899313501145,0.6932057393357702,0.6915110460691456,0.10861969750600899,20.85838629999489
9,resnet_se,591,0.8548354935194418,0.8015105678635092,0.8072995173194538,0.19481978825784882,21.20875309999974
10,resnet_se,509,0.7699864104057464,0.6063699494949495,0.5619810525265947,0.16596852639140147,14.964770199992927
11,resnet_se,518,0.6136295743091859,0.41265592243186583,0.3872957289081846,0.15337543671890336,12.096901900004013
12,resnet_se,507,0.7333721607454863,0.5562581699346405,0.5724190975297359,0.2154556476460945,18.473025899991626
13,resnet_se,752,0.70482119205298,0.46596691706985827,0.4661996713722586,0.19773841560586963,14.713421799999196
14,resnet_se,775,0.7264516129032258,0.5311253468753468,0.5299142129706098,0.12923641982162742,21.808182900000247
15,resnet_se,610,0.6311475409836066,0.2793859649122807,0.24347065220702163,0.030730435167976133,8.488517999998294
16,resnet_se,681,0.7856698153714039,0.6178028404344194,0.6031798229772785,0.0827003887126493,23.93797970000014
17,resnet_se,703,0.7994427558257344,0.6869963924963924,0.6652607934943606,0.14740945871084882,13.206914800000959
18,resnet_se,640,0.79375,0.6543156687747743,0.672437877265295,0.09804844046358595,11.614859900000738
19,resnet_se,716,0.6631895881895881,0.41604826086416447,0.3996228738124664,0.2087722526657124,16.06716310000047
20,resnet_se,599,0.8197619047619046,0.6787151702786378,0.678340717265861,0.09815841973645653,15.149095699991449
21,resnet_se,607,0.7760737027503047,0.6059412955465587,0.6050546535747958,0.11558909147825873,11.624114499994903
22,resnet_se,722,0.6703065134099616,0.49838778367226644,0.495151104574955,0.11823366490619613,16.775895999991917
23,resnet_se,704,0.6604154002026343,0.5352636890358079,0.5422448904730091,0.07666565248269779,9.688569299993105
24,resnet_se,653,0.7840046975924839,0.6111690935875719,0.6061632868574944,0.25148616341452895,14.344760499996482
25,resnet_se,616,0.7452793076317861,0.514595477830772,0.5252725445393263,0.1409957394237177,10.67210690000502
26,resnet_se,789,0.6741030395871968,0.46130894024276375,0.44749719584365516,0.17934871103494793,12.669244699995033
27,resnet_se,694,0.8512980919612136,0.727953216374269,0.7330465560739363,0.23129715725918668,16.524345800004085
28,resnet_se,700,0.7357142857142857,0.5673499702911468,0.548059244253708,0.15755704896716619,15.931700899993302
29,resnet_se,736,0.7948611877183305,0.671862840119655,0.6709139708078088,0.05998079593658967,13.258351999989827
30,resnet_se,654,0.7750557839107457,0.575133389400961,0.5860996371333431,0.1585303882413964,12.523774699991918
31,resnet_se,758,0.6635064482398049,0.40138706140350877,0.37959229985789755,0.07898657611205963,10.356418700001086
32,resnet_se,686,0.7755844705384535,0.5909416670286236,0.6035288518369406,0.19346407526050777,13.80120019998867
33,resnet_se,692,0.8036284016265249,0.6725710219344756,0.6963279701327496,0.21761868441035162,10.275321199995233
34,resnet_se,632,0.7212223472065993,0.49477755285650016,0.5076542413564007,0.2834471286136577,11.630127199998242
35,resnet_se,852,0.5857516339869282,0.36388584192576934,0.3336122238785716,0.1323451570078188,9.289214199990965
36,resnet_se,734,0.5996086105675147,0.31225901599464817,0.2563951439104267,0.08034644500020462,7.949334499993711
37,resnet_se,680,0.7220588235294118,0.4687367315347192,0.46515099591592507,0.11845982980068424,8.128263899998274
38,resnet_se,671,0.8062244333886126,0.5790849673202614,0.6019856755144006,0.12511851601995927,12.01174999999057
39,resnet_se,693,0.7387342300072985,0.43952911467617356,0.44035647696743363,0.19004594766931432,13.528789699994377
40,resnet_se,648,0.830113297555158,0.6658218864468864,0.6790307439515042,0.2760440120691616,14.846473500001593
