subject,channel,f1_full,f1_occluded,drop_pp
1,0,0.6459517592183674,0.6014088049069134,4.454295431145406
1,1,0.6459517592183674,0.6218709655621075,2.4080793656259925
1,2,0.6459517592183674,0.6398926482203425,0.6059110998024919
1,3,0.6459517592183674,0.5944742270864483,5.147753213191919
1,4,0.6459517592183674,0.68756040285038,-4.160864363201256
1,5,0.6459517592183674,0.599302193044038,4.6649566174329475
1,6,0.6459517592183674,0.7091399877212976,-6.3188228502930155
1,7,0.6459517592183674,0.6016772647287354,4.4274494489632055
1,8,0.6459517592183674,0.6549455421716672,-0.8993782953299778
2,0,0.871528913288442,0.8722503562338978,-0.07214429454558413
2,1,0.871528913288442,0.8265429223009089,4.498599098753308
2,2,0.871528913288442,0.8548950008325008,1.6633912455941147
2,3,0.871528913288442,0.8402298076952577,3.1299105593184273
2,4,0.871528913288442,0.8697818960434742,0.17470172449677301
2,5,0.871528913288442,0.8388812033176768,3.264770997076516
2,6,0.871528913288442,0.8545613081551384,1.6967605133303532
2,7,0.871528913288442,0.8039230510073445,6.760586228109744
2,8,0.871528913288442,0.8452051747899535,2.632373849848846
3,0,0.9125878970889976,0.9179054697922623,-0.5317572703264717
3,1,0.9125878970889976,0.873141589772491,3.9446307316506557
3,2,0.9125878970889976,0.9123241207051926,0.026377638380492563
3,3,0.9125878970889976,0.8407095959043762,7.187830118462135
3,4,0.9125878970889976,0.9120073353082241,0.058056178077348086
3,5,0.9125878970889976,0.9180291900325673,-0.5441292943569764
3,6,0.9125878970889976,0.9076363295185383,0.49515675704592255
3,7,0.9125878970889976,0.8856452574930778,2.6942639595919804
3,8,0.9125878970889976,0.9033740038651328,0.9213893223864789
4,0,0.8822798612067351,0.8961173764337812,-1.3837515227046127
4,1,0.8822798612067351,0.8659158540465197,1.6364007160215355
4,2,0.8822798612067351,0.8693666518968921,1.2913209309842966
4,3,0.8822798612067351,0.8566787138064882,2.560114740024688
4,4,0.8822798612067351,0.8778591794532075,0.4420681753527611
4,5,0.8822798612067351,0.8684373784853865,1.3842482721348581
4,6,0.8822798612067351,0.888905967891475,-0.6626106684739952
4,7,0.8822798612067351,0.9131352931435007,-3.0855431936765654
4,8,0.8822798612067351,0.9014102783216336,-1.913041711489849
5,0,0.6560416850897812,0.6345259332539516,2.1515751835829655
5,1,0.6560416850897812,0.6716725883048057,-1.5630903215024472
5,2,0.6560416850897812,0.6801795379241014,-2.413785283432013
5,3,0.6560416850897812,0.6877253325138517,-3.1683647424070482
5,4,0.6560416850897812,0.6342314991768535,2.1810185912927715
5,5,0.6560416850897812,0.6339742447894114,2.206744030036978
5,6,0.6560416850897812,0.6642547569693511,-0.8213071879569878
5,7,0.6560416850897812,0.6737734205173478,-1.7731735427566564
5,8,0.6560416850897812,0.6462660409836478,0.9775644106133408
6,0,0.8034369730798302,0.7634605734090552,3.9976399670775042
6,1,0.8034369730798302,0.7705836826262785,3.2853290453551676
6,2,0.8034369730798302,0.8123307964458499,-0.8893823366019737
6,3,0.8034369730798302,0.8315296102063554,-2.809263712652521
6,4,0.8034369730798302,0.7903827752736565,1.3054197806173673
6,5,0.8034369730798302,0.808309579911634,-0.4872606831803794
6,6,0.8034369730798302,0.7959899253260035,0.7447047753826652
6,7,0.8034369730798302,0.7470466282658326,5.639034481399763
6,8,0.8034369730798302,0.7326738868343874,7.07630862454428
7,0,0.8025031679813759,0.7861711479648833,1.6332020016492588
7,1,0.8025031679813759,0.764457712051699,3.8045455929676897
7,2,0.8025031679813759,0.7814680221514523,2.1035145829923607
7,3,0.8025031679813759,0.7991185016649677,0.33846663164082136
7,4,0.8025031679813759,0.7754427400171886,2.7060427964187284
7,5,0.8025031679813759,0.7198734120436405,8.262975593773536
7,6,0.8025031679813759,0.7763340593886772,2.616910859269872
7,7,0.8025031679813759,0.7787769139516694,2.3726254029706517
7,8,0.8025031679813759,0.7828118873445548,1.969128063682113
8,0,0.8041774943628918,0.7995004932707268,0.46770010921649563
8,1,0.8041774943628918,0.8020794666575461,0.20980277053456176
8,2,0.8041774943628918,0.8255951988823813,-2.1417704519489544
8,3,0.8041774943628918,0.7870613669348154,1.7116127428076333
8,4,0.8041774943628918,0.7810778878621507,2.3099606500741054
8,5,0.8041774943628918,0.7905787429821491,1.3598751380742624
8,6,0.8041774943628918,0.804896370024442,-0.07188756615502667
8,7,0.8041774943628918,0.770311058253067,3.386643610982476
8,8,0.8041774943628918,0.7855355095992514,1.8641984763640318
9,0,0.8205965825553186,0.8270043758531413,-0.6407793297822706
9,1,0.8205965825553186,0.8002971401145097,2.0299442440808946
9,2,0.8205965825553186,0.8241984364224415,-0.36018538671228617
9,3,0.8205965825553186,0.8062211309376036,1.437545161771503
9,4,0.8205965825553186,0.8184018535851265,0.2194728970192128
9,5,0.8205965825553186,0.8148044016133991,0.5792180941919578
9,6,0.8205965825553186,0.8118210071321751,0.8775575423143556
9,7,0.8205965825553186,0.7765079539237185,4.408862863160012
9,8,0.8205965825553186,0.8356673393344368,-1.5070756779118177
10,0,0.8107203264004597,0.7492668531122941,6.145347328816553
10,1,0.8107203264004597,0.7796486557605389,3.107167063992078
10,2,0.8107203264004597,0.7827882658948458,2.793206050561381
10,3,0.8107203264004597,0.7071548848438383,10.356544155662139
10,4,0.8107203264004597,0.7635025792920529,4.721774710840676
10,5,0.8107203264004597,0.779666622083616,3.105370431684362
10,6,0.8107203264004597,0.7790058369452415,3.1714489455218153
10,7,0.8107203264004597,0.7151485543654887,9.55717720349709
10,8,0.8107203264004597,0.7868596304596758,2.3860695940783883
11,0,0.9105483046504481,0.9050633285064047,0.5484976144043419
11,1,0.9105483046504481,0.8798943192891798,3.0653985361268288
11,2,0.9105483046504481,0.8855689128208469,2.4979391829601183
11,3,0.9105483046504481,0.8635897176030956,4.695858704735256
11,4,0.9105483046504481,0.9190887118731708,-0.8540407222722646
11,5,0.9105483046504481,0.9169412025444641,-0.6392897894015981
11,6,0.9105483046504481,0.93469797284866,-2.414966819821185
11,7,0.9105483046504481,0.9357968608829029,-2.524855623245481
11,8,0.9105483046504481,0.9229886056668966,-1.244030101644844
12,0,0.9126217657603408,0.9060146086652334,0.6607157095107397
12,1,0.9126217657603408,0.8945495846797942,1.8072181080546645
12,2,0.9126217657603408,0.8803537085451979,3.226805721514292
12,3,0.9126217657603408,0.8363687993471551,7.6252966413185685
12,4,0.9126217657603408,0.9024433118546036,1.017845390573724
12,5,0.9126217657603408,0.9209171455938697,-0.8295379833528904
12,6,0.9126217657603408,0.9042076160568422,0.841414970349863
12,7,0.9126217657603408,0.899813416932056,1.2808348828284855
12,8,0.9126217657603408,0.8814703417910636,3.115142396927717
13,0,0.9303113564735046,0.9021940596074003,2.8117296866104313
13,1,0.9303113564735046,0.8969811239312783,3.3330232542226335
13,2,0.9303113564735046,0.9158136036473113,1.4497752826193255
13,3,0.9303113564735046,0.9042112094213264,2.6100147052178224
13,4,0.9303113564735046,0.9164786527010056,1.383270377249901
13,5,0.9303113564735046,0.8967978247311242,3.3513531742380365
13,6,0.9303113564735046,0.9187863401882032,1.1525016285301448
13,7,0.9303113564735046,0.8909870259985182,3.93243304749864
13,8,0.9303113564735046,0.9171936529592509,1.3117703514253676
14,0,0.8258604529218432,0.8181396746334463,0.7720778288396901
14,1,0.8258604529218432,0.8189621444403586,0.6898308481484539
14,2,0.8258604529218432,0.8462145135173511,-2.035406059550793
14,3,0.8258604529218432,0.7690045518208378,5.685590110100536
14,4,0.8258604529218432,0.8237826947634102,0.20777581584330296
