subject,block,block_width,feature_channel,gate_mean,gate_sd
1,0,32,0,0.4744413197040558,0.2606525719165802
1,0,32,1,0.4708413779735565,0.21423783898353577
1,0,32,2,0.3480165898799896,0.12361235171556473
1,0,32,3,0.44765037298202515,0.19320088624954224
1,0,32,4,0.5265632271766663,0.11335249245166779
1,0,32,5,0.36041563749313354,0.15165188908576965
1,0,32,6,0.4964388310909271,0.1052178367972374
1,0,32,7,0.46299242973327637,0.24948547780513763
1,0,32,8,0.3527499735355377,0.0941808894276619
1,0,32,9,0.45030489563941956,0.18184509873390198
1,0,32,10,0.513685941696167,0.057061485946178436
1,0,32,11,0.4773938059806824,0.1526736468076706
1,0,32,12,0.6018564105033875,0.1532621681690216
1,0,32,13,0.21600888669490814,0.09050524979829788
1,0,32,14,0.4583989977836609,0.05687166005373001
1,0,32,15,0.5168637633323669,0.1633484959602356
1,0,32,16,0.4001745581626892,0.07134537398815155
1,0,32,17,0.39880990982055664,0.1492460072040558
1,0,32,18,0.5529828667640686,0.17564664781093597
1,0,32,19,0.46109071373939514,0.10444718599319458
1,0,32,20,0.5014986395835876,0.10305008292198181
1,0,32,21,0.465816468000412,0.06503086537122726
1,0,32,22,0.4149395823478699,0.16322465240955353
1,0,32,23,0.42992615699768066,0.1984117478132248
1,0,32,24,0.6409589648246765,0.04096756875514984
1,0,32,25,0.40467000007629395,0.16651320457458496
1,0,32,26,0.49851375818252563,0.19179147481918335
1,0,32,27,0.438148558139801,0.055699244141578674
1,0,32,28,0.3699840307235718,0.05193842574954033
1,0,32,29,0.5097764134407043,0.1244175136089325
1,0,32,30,0.5674578547477722,0.1001732125878334
1,0,32,31,0.4962490499019623,0.06879293918609619
1,1,32,0,0.6170173287391663,0.07952570915222168
1,1,32,1,0.4638946056365967,0.06947462260723114
1,1,32,2,0.5913010835647583,0.1507456749677658
1,1,32,3,0.5101109743118286,0.06086968630552292
1,1,32,4,0.46883898973464966,0.0713445246219635
1,1,32,5,0.5347788333892822,0.05589160695672035
1,1,32,6,0.5557770133018494,0.08519961684942245
1,1,32,7,0.5607185959815979,0.06339932233095169
1,1,32,8,0.47486403584480286,0.05268588289618492
1,1,32,9,0.502723753452301,0.12862741947174072
1,1,32,10,0.4597015380859375,0.1511204093694687
1,1,32,11,0.3872271180152893,0.09121787548065186
1,1,32,12,0.339874267578125,0.030848095193505287
1,1,32,13,0.5438928008079529,0.12031415849924088
1,1,32,14,0.37753623723983765,0.11634129285812378
1,1,32,15,0.626342236995697,0.08285775780677795
1,1,32,16,0.43557554483413696,0.08057289570569992
1,1,32,17,0.5535092949867249,0.12087173014879227
1,1,32,18,0.4281310737133026,0.07158110290765762
1,1,32,19,0.3517652451992035,0.06801265478134155
1,1,32,20,0.6148471236228943,0.07501131296157837
1,1,32,21,0.5695620179176331,0.056737326085567474
1,1,32,22,0.3839101195335388,0.11980331689119339
1,1,32,23,0.5793178677558899,0.07792527228593826
1,1,32,24,0.4712681770324707,0.0513046532869339
1,1,32,25,0.5587956309318542,0.0731436237692833
1,1,32,26,0.622824490070343,0.11693678051233292
1,1,32,27,0.5230463147163391,0.11480031907558441
1,1,32,28,0.42845839262008667,0.1667982041835785
1,1,32,29,0.5037149786949158,0.11974850296974182
1,1,32,30,0.6493483781814575,0.060786571353673935
1,1,32,31,0.6000547409057617,0.08914293348789215
1,2,64,0,0.5823545455932617,0.2385067343711853
1,2,64,1,0.5729862451553345,0.16747550666332245
1,2,64,2,0.4610711932182312,0.16094449162483215
1,2,64,3,0.294370174407959,0.16329160332679749
1,2,64,4,0.5249661803245544,0.16944891214370728
1,2,64,5,0.522594153881073,0.12820543348789215
1,2,64,6,0.26909053325653076,0.08898533135652542
1,2,64,7,0.6066084504127502,0.1069723442196846
1,2,64,8,0.6654118895530701,0.11608828604221344
1,2,64,9,0.5432546138763428,0.11894246190786362
1,2,64,10,0.5478729605674744,0.08223346620798111
1,2,64,11,0.4376980662345886,0.14796678721904755
1,2,64,12,0.5152581930160522,0.17710945010185242
1,2,64,13,0.577476978302002,0.24978007376194
1,2,64,14,0.47970378398895264,0.15202245116233826
1,2,64,15,0.5027506351470947,0.19371852278709412
1,2,64,16,0.48786312341690063,0.18400482833385468
1,2,64,17,0.40446436405181885,0.19213446974754333
1,2,64,18,0.5441727638244629,0.19803038239479065
1,2,64,19,0.3313297927379608,0.08976869285106659
1,2,64,20,0.4771226644515991,0.12639856338500977
1,2,64,21,0.5979793071746826,0.1962965428829193
1,2,64,22,0.5967418551445007,0.16657781600952148
1,2,64,23,0.30666622519493103,0.1492663025856018
1,2,64,24,0.5481246113777161,0.1430014967918396
1,2,64,25,0.578063428401947,0.15496717393398285
1,2,64,26,0.5897985696792603,0.23762907087802887
1,2,64,27,0.32052692770957947,0.17290595173835754
1,2,64,28,0.4625251293182373,0.22148765623569489
1,2,64,29,0.5686138868331909,0.25446653366088867
1,2,64,30,0.5388476252555847,0.10867880284786224
1,2,64,31,0.5181753039360046,0.14494934678077698
1,2,64,32,0.5499275326728821,0.1033828854560852
1,2,64,33,0.651589035987854,0.1439698040485382
1,2,64,34,0.5072999000549316,0.18098708987236023
1,2,64,35,0.3022342920303345,0.10362067818641663
1,2,64,36,0.4387889504432678,0.21475569903850555
1,2,64,37,0.4607582986354828,0.15577031672000885
1,2,64,38,0.45110461115837097,0.10212737321853638
1,2,64,39,0.6397333741188049,0.06298375129699707
1,2,64,40,0.5541264414787292,0.14760348200798035
1,2,64,41,0.6122063398361206,0.23324964940547943
1,2,64,42,0.6086798906326294,0.101573146879673
1,2,64,43,0.33185115456581116,0.19628478586673737
1,2,64,44,0.5206567049026489,0.11039889603853226
1,2,64,45,0.715053379535675,0.12939271330833435
1,2,64,46,0.482332706451416,0.10446567088365555
1,2,64,47,0.5827711224555969,0.18235014379024506
1,2,64,48,0.5254930853843689,0.1473592072725296
1,2,64,49,0.46920353174209595,0.14194796979427338
1,2,64,50,0.5324529409408569,0.12583045661449432
1,2,64,51,0.49937310814857483,0.0946722999215126
1,2,64,52,0.32393762469291687,0.09093950688838959
1,2,64,53,0.5556151866912842,0.07806117087602615
1,2,64,54,0.6628710031509399,0.10908036679029465
1,2,64,55,0.38444235920906067,0.12234491854906082
1,2,64,56,0.483210027217865,0.07005049288272858
1,2,64,57,0.37498557567596436,0.15039268136024475
