subject,channel,alpha,f1,drop_pp
1,0,1.0,0.6459517592183674,0.0
1,0,0.75,0.6362284590294675,0.9723300188899997
1,0,0.5,0.6324652072578725,1.3486551960494975
1,0,0.25,0.6252359936975463,2.0715765520821106
1,0,0.0,0.6014088049069134,4.454295431145406
1,1,1.0,0.6459517592183674,0.0
1,1,0.75,0.6307124779900888,1.5239281228278667
1,1,0.5,0.6343784302316873,1.1573328986680176
1,1,0.25,0.629239065961864,1.6712693256503486
1,1,0.0,0.6218709655621075,2.4080793656259925
1,2,1.0,0.6459517592183674,0.0
1,2,0.75,0.6486927235998543,-0.27409643814868545
1,2,0.5,0.6515995134682002,-0.564775424983277
1,2,0.25,0.6452147449173495,0.07370143010179131
1,2,0.0,0.6398926482203425,0.6059110998024919
1,3,1.0,0.6459517592183674,0.0
1,3,0.75,0.6437984802493935,0.21532789689739928
1,3,0.5,0.6345356569624978,1.1416102255869642
1,3,0.25,0.6176038382971849,2.8347920921182546
1,3,0.0,0.5944742270864483,5.147753213191919
1,4,1.0,0.6459517592183674,0.0
1,4,0.75,0.6565968268436706,-1.064506762530315
1,4,0.5,0.6942610960903888,-4.8309336872021325
1,4,0.25,0.6992799855686971,-5.332822635032963
1,4,0.0,0.68756040285038,-4.160864363201256
1,5,1.0,0.6459517592183674,0.0
1,5,0.75,0.6126852921855457,3.3266467032821767
1,5,0.5,0.594122283034669,5.182947618369848
1,5,0.25,0.6042017096764921,4.175004954187534
1,5,0.0,0.599302193044038,4.6649566174329475
1,6,1.0,0.6459517592183674,0.0
1,6,0.75,0.6553407254011877,-0.9388966182820258
1,6,0.5,0.6773246246760246,-3.137286545765716
1,6,0.25,0.6928159230704827,-4.686416385211523
1,6,0.0,0.7091399877212976,-6.3188228502930155
1,7,1.0,0.6459517592183674,0.0
1,7,0.75,0.6289567800460346,1.6994979172332836
1,7,0.5,0.6192999167776967,2.665184244067076
1,7,0.25,0.6268120321275308,1.9139727090836667
1,7,0.0,0.6016772647287354,4.4274494489632055
1,8,1.0,0.6459517592183674,0.0
1,8,0.75,0.6537704517812476,-0.7818692562880147
1,8,0.5,0.6681086621421723,-2.21569029238049
1,8,0.25,0.6715734935562522,-2.5621734337884727
1,8,0.0,0.6549455421716672,-0.8993782953299778
2,0,1.0,0.871528913288442,0.0
2,0,0.75,0.8782237912736574,-0.6694877985215397
2,0,0.5,0.8777589542720621,-0.6230040983620122
2,0,0.25,0.885885293040124,-1.4356379751682025
2,0,0.0,0.8722503562338978,-0.07214429454558413
2,1,1.0,0.871528913288442,0.0
