subject,channel,alpha,f1,drop_pp
1,0,1.0,0.678405274295729,0.0
1,0,0.75,0.6685874662630891,0.9817808032639985
1,0,0.5,0.6741916376807923,0.4213636614936789
1,0,0.25,0.6753017469138411,0.3103527381887905
1,0,0.0,0.6530754181066429,2.532985618908612
1,1,1.0,0.678405274295729,0.0
1,1,0.75,0.6750547057505902,0.3350568545138821
1,1,0.5,0.6756018570909419,0.2803417204787162
1,1,0.25,0.6839884652384652,-0.5583190942736183
1,1,0.0,0.6846887573869144,-0.6283483091185316
1,2,1.0,0.678405274295729,0.0
1,2,0.75,0.6867111387820121,-0.830586448628301
1,2,0.5,0.6898488732618502,-1.1443598966121127
1,2,0.25,0.6643523994825044,1.4052874813224703
1,2,0.0,0.6735272784009548,0.4877995894774223
1,3,1.0,0.678405274295729,0.0
1,3,0.75,0.6808021774839591,-0.23969031882300484
1,3,0.5,0.6721327079782962,0.6272566317432893
1,3,0.25,0.6561106561031236,2.2294618192605475
1,3,0.0,0.6457425184595376,3.2662755836191493
1,4,1.0,0.678405274295729,0.0
1,4,0.75,0.6931932711576637,-1.478799686193466
1,4,0.5,0.7031252001901048,-2.471992589437577
1,4,0.25,0.7148667077084003,-3.6461433412671274
1,4,0.0,0.7097927282921856,-3.1387453996456594
1,5,1.0,0.678405274295729,0.0
1,5,0.75,0.6475895060395398,3.0815768256189258
1,5,0.5,0.6204775623360325,5.792771195969659
1,5,0.25,0.6105797547249503,6.782551957077876
1,5,0.0,0.6017376903373269,7.666758395840212
1,6,1.0,0.678405274295729,0.0
1,6,0.75,0.6870063545839944,-0.8601080288265339
1,6,0.5,0.7002376671578093,-2.1832392862080274
1,6,0.25,0.7144128771178162,-3.600760282208715
1,6,0.0,0.7199265771276245,-4.152130283189548
1,7,1.0,0.678405274295729,0.0
1,7,0.75,0.6724965762091127,0.5908698086616315
1,7,0.5,0.6436846073989593,3.472066689676978
1,7,0.25,0.6142555385758783,6.4149735719850725
1,7,0.0,0.5794750013037887,9.893027299194035
1,8,1.0,0.678405274295729,0.0
1,8,0.75,0.6761832656581505,0.22220086375785986
1,8,0.5,0.679829525883982,-0.14242515882529894
1,8,0.25,0.6605612413575797,1.7844032938149401
1,8,0.0,0.6486308575868954,2.977441670883363
2,0,1.0,0.8645669018202569,0.0
2,0,0.75,0.8794642825954981,-1.4897380775241276
2,0,0.5,0.8896640179687474,-2.509711614849053
2,0,0.25,0.880938422467389,-1.6371520647132098
2,0,0.0,0.8740265572469158,-0.9459655426658942
2,1,1.0,0.8645669018202569,0.0
2,1,0.75,0.8643138593465556,0.025304247370128152
2,1,0.5,0.8578529443369869,0.6713957483269972
2,1,0.25,0.8416438193223181,2.292308249793873
2,1,0.0,0.8378962829194566,2.6670618900800247
2,2,1.0,0.8645669018202569,0.0
2,2,0.75,0.8642080551049043,0.03588467153525787
2,2,0.5,0.841640177641713,2.292672417854391
2,2,0.25,0.8332335541825188,3.1333347637738096
2,2,0.0,0.8295978438541423,3.4969057966114603
2,3,1.0,0.8645669018202569,0.0
2,3,0.75,0.8509517922858492,1.3615109534407699
2,3,0.5,0.8522122521263761,1.2354649693880781
2,3,0.25,0.846038781112473,1.8528120707783868
2,3,0.0,0.84825225456511,1.6314647255146864
