subject,channel,f1_full,f1_occluded,drop_pp
1,0,0.678405274295729,0.6530754181066429,2.532985618908612
1,1,0.678405274295729,0.6846887573869144,-0.6283483091185316
1,2,0.678405274295729,0.6735272784009548,0.4877995894774223
1,3,0.678405274295729,0.6457425184595376,3.2662755836191493
1,4,0.678405274295729,0.7097927282921856,-3.1387453996456594
1,5,0.678405274295729,0.6017376903373269,7.666758395840212
1,6,0.678405274295729,0.7199265771276245,-4.152130283189548
1,7,0.678405274295729,0.5794750013037887,9.893027299194035
1,8,0.678405274295729,0.6486308575868954,2.977441670883363
2,0,0.8645669018202569,0.8740265572469158,-0.9459655426658942
2,1,0.8645669018202569,0.8378962829194566,2.6670618900800247
2,2,0.8645669018202569,0.8295978438541423,3.4969057966114603
2,3,0.8645669018202569,0.84825225456511,1.6314647255146864
2,4,0.8645669018202569,0.8496612764146434,1.4905625405613465
2,5,0.8645669018202569,0.8580505631273296,0.6516338692927226
2,6,0.8645669018202569,0.8415662705429582,2.3000631277298678
2,7,0.8645669018202569,0.8315736413260639,3.2993260494192933
2,8,0.8645669018202569,0.8529506015860295,1.1616300234227328
3,0,0.9171917142554475,0.8881550077480894,2.9036706507358123
3,1,0.9171917142554475,0.9081680106192799,0.9023703636167668
3,2,0.9171917142554475,0.9053598526264208,1.1831861629026719
3,3,0.9171917142554475,0.8095350208673562,10.765669338809136
3,4,0.9171917142554475,0.9143926119166279,0.2799102338819637
3,5,0.9171917142554475,0.9258402324918529,-0.8648518236405334
3,6,0.9171917142554475,0.9166701995625354,0.05215146929121728
3,7,0.9171917142554475,0.8927631201905126,2.4428594064934916
3,8,0.9171917142554475,0.9131024400441482,0.4089274211299343
4,0,0.8293275452630596,0.817559024810044,1.1768520453015574
4,1,0.8293275452630596,0.7627474640069313,6.658008125612835
4,2,0.8293275452630596,0.8349989866664923,-0.5671441403432675
4,3,0.8293275452630596,0.8644088574555999,-3.5081312192540293
4,4,0.8293275452630596,0.9020772778625328,-7.2749732599473145
4,5,0.8293275452630596,0.8231277890464862,0.6199756216573427
4,6,0.8293275452630596,0.8843592775829398,-5.503173231988012
4,7,0.8293275452630596,0.8119028598250765,1.7424685437983145
4,8,0.8293275452630596,0.8409833157943692,-1.1655770531309617
5,0,0.658951394837171,0.6515347969847439,0.7416597852427098
5,1,0.658951394837171,0.6713030308229143,-1.2351635985743292
5,2,0.658951394837171,0.6576883129672983,0.1263081869872673
5,3,0.658951394837171,0.6941998084558402,-3.524841361866915
5,4,0.658951394837171,0.6253716348813999,3.3579759955771116
5,5,0.658951394837171,0.618833498715015,4.011789612215599
5,6,0.658951394837171,0.6617310129994008,-0.27796181622298244
5,7,0.658951394837171,0.6607114657804738,-0.17600709433027717
5,8,0.658951394837171,0.6480098102812738,1.0941584555897221
6,0,0.762952087924452,0.7625237652993087,0.04283226251433625
6,1,0.762952087924452,0.7333182095259205,2.963387839853149
6,2,0.762952087924452,0.7634928450859236,-0.05407571614716167
6,3,0.762952087924452,0.8005141599316644,-3.75620720072124
6,4,0.762952087924452,0.7244072814224064,3.8544806502045614
6,5,0.762952087924452,0.7524110600014429,1.054102792300915
6,6,0.762952087924452,0.7580047308759452,0.4947357048506795
6,7,0.762952087924452,0.7021099043938197,6.084218353063231
6,8,0.762952087924452,0.7208404158457161,4.21116720787359
7,0,0.768659843876344,0.755925391592356,1.2734452283987951
7,1,0.768659843876344,0.7555563106209657,1.3103533255378275
7,2,0.768659843876344,0.7354769750350124,3.318286884133159
7,3,0.768659843876344,0.7617914136415022,0.6868430234841849
7,4,0.768659843876344,0.7560118998340201,1.2647944042323944
7,5,0.768659843876344,0.8139206810385873,-4.526083716224328
7,6,0.768659843876344,0.7687233005607591,-0.006345668441509744
7,7,0.768659843876344,0.7255066407502401,4.315320312610393
7,8,0.768659843876344,0.7716501831923045,-0.29903393159604885
8,0,0.8433094214908514,0.8504797627781854,-0.7170341287333959
8,1,0.8433094214908514,0.8401202309445817,0.318919054626976
8,2,0.8433094214908514,0.8557849781348906,-1.247555664403921
8,3,0.8433094214908514,0.8361529877257527,0.7156433765098669
8,4,0.8433094214908514,0.8168172221522905,2.649219933856095
8,5,0.8433094214908514,0.8488448176932428,-0.5535396202391407
8,6,0.8433094214908514,0.8329376905456637,1.037173094518773
8,7,0.8433094214908514,0.8118915229778854,3.141789851296606
8,8,0.8433094214908514,0.8019300833332521,4.137933815759931
9,0,0.8158743508083357,0.7959800539363833,1.9894296871952433
9,1,0.8158743508083357,0.7655423809310966,5.033196987723909
9,2,0.8158743508083357,0.7926193365258705,2.3255014282465236
9,3,0.8158743508083357,0.8172123291318338,-0.13379783234981346
9,4,0.8158743508083357,0.8262428190385515,-1.0368468230215755
9,5,0.8158743508083357,0.818773084028443,-0.28987332201072524
9,6,0.8158743508083357,0.7590872616021478,5.678708920618791
9,7,0.8158743508083357,0.7658803201605058,4.999403064782992
9,8,0.8158743508083357,0.7867475674787947,2.9126783329540995
10,0,0.6987031273373698,0.6667170241177461,3.1986103219623696
10,1,0.6987031273373698,0.7195956138051203,-2.0892486467750437
10,2,0.6987031273373698,0.6851968146277557,1.350631270961411
10,3,0.6987031273373698,0.7052412280701754,-0.6538100732805585
10,4,0.6987031273373698,0.6704285116228086,2.8274615714561246
10,5,0.6987031273373698,0.7199301910411814,-2.1227063703811555
10,6,0.6987031273373698,0.7440893914091948,-4.5386264071825
10,7,0.6987031273373698,0.7137385645612446,-1.5035437223874792
10,8,0.6987031273373698,0.7883588900279586,-8.965576269058872
11,0,0.9027420688337446,0.912576991047064,-0.9834922213319386
11,1,0.9027420688337446,0.901721428441203,0.10206403925416829
11,2,0.9027420688337446,0.8721539880040119,3.0588080829732744
11,3,0.9027420688337446,0.870843035668152,3.1899033165592616
11,4,0.9027420688337446,0.8786934717568142,2.404859707693041
11,5,0.9027420688337446,0.902156455369479,0.05856134642656663
11,6,0.9027420688337446,0.9083439718398899,-0.560190300614527
11,7,0.9027420688337446,0.9069301973002837,-0.4188128466539043
11,8,0.9027420688337446,0.904059495154542,-0.13174263207973436
12,0,0.8740588718107791,0.8888583252482641,-1.479945343748501
12,1,0.8740588718107791,0.8648726254795076,0.9186246331271519
12,2,0.8740588718107791,0.8717894077859203,0.2269464024858836
12,3,0.8740588718107791,0.8557335069584342,1.8325364852344928
12,4,0.8740588718107791,0.8915473434212581,-1.748847161047895
12,5,0.8740588718107791,0.8876044741419347,-1.3545602331155537
12,6,0.8740588718107791,0.8531498412068389,2.0909030603940226
12,7,0.8740588718107791,0.8625982052217759,1.1460666589003243
12,8,0.8740588718107791,0.8556032409480686,1.8455630862710515
13,0,0.9184911836984918,0.9238178465465918,-0.5326662848100017
13,1,0.9184911836984918,0.9230696918963378,-0.45785081978459985
13,2,0.9184911836984918,0.9003167969253821,1.8174386773109674
13,3,0.9184911836984918,0.8921071333514431,2.6384050347048715
13,4,0.9184911836984918,0.9117292472471139,0.6761936451377903
13,5,0.9184911836984918,0.9035462728754933,1.4944910822998536
13,6,0.9184911836984918,0.9183034899932925,0.018769370519933215
13,7,0.9184911836984918,0.8978420191559697,2.064916454252208
13,8,0.9184911836984918,0.9021783586472513,1.6312825051240543
