subject,base_noaug,base_chandrop,shallow_noaug,shallow_chandrop,narrow_noaug,narrow_chandrop
1,0.6558558109428001,0.6702832523489078,0.5057830558820747,0.6221660296546078,0.5801125678542306,0.6467702790061984
2,0.8396992769653828,0.8731694935548877,0.7545554723977981,0.852719485664873,0.8185027754126034,0.8635865562528869
3,0.8365387404327247,0.8764354003903978,0.724084316788614,0.857594827168615,0.8048093344988215,0.8853301764067751
4,0.8302301841895938,0.8681947197483645,0.6593972471458529,0.7847114960773763,0.7172426246705097,0.8599603827344358
5,0.5804826624100381,0.663073728908236,0.5268045510334378,0.6144547293768161,0.5970025950256024,0.6663252073446424
6,0.6990840006621786,0.7092511762566132,0.6982959318445114,0.795185639233278,0.7073503914810322,0.7516494536481431
7,0.6736681483262819,0.7535092208741139,0.7410513245303612,0.7682351048106957,0.6247274071073059,0.7240113985760306
8,0.73281234732213,0.8105046634264873,0.7535418924262774,0.8125862434724335,0.8081818100506063,0.8224275027332795
9,0.7750132808357881,0.8098261288503118,0.805953578918463,0.7246991260856169,0.808992458794127,0.7565436171541924
10,0.6708011544100178,0.764200531000846,0.7299726133530388,0.7554546097983755,0.7475505609504869,0.7629620706441688
11,0.8487505104244245,0.8823991066972259,0.8350135369574931,0.911125083191765,0.8586765990187418,0.886018934435295
12,0.8437113016182783,0.8943186674026461,0.8192912224483005,0.8953302051702703,0.8180396269731864,0.882628629263724
13,0.8179476069137822,0.8849208876307779,0.7987690978921056,0.9074615973830974,0.9203280718284286,0.9166346383559196
14,0.7738368359784334,0.8226413742308138,0.7620727859703365,0.7725198960305584,0.8134014048233207,0.822398146020072
15,0.8916134452975968,0.9004554040452785,0.8035257605247859,0.8205015670608882,0.846418358536017,0.8390356630623753
16,0.8516079595332109,0.8194784565352835,0.8181136565437831,0.8108101693593193,0.823177297333342,0.8509105521941367
17,0.7777091644738704,0.8479433429181881,0.8060753323073329,0.8565496236275745,0.7997982743045327,0.8390386436084201
18,0.7539404976454498,0.8790702351008187,0.7308573408573409,0.8509439575895272,0.7174782405701591,0.8776325748459344
19,0.8284122386934551,0.828982754897499,0.8057850731966838,0.8028847564051074,0.7997393987644605,0.7997126602877171
20,0.7206463766765463,0.776300024004703,0.7962278744932698,0.8034740181726125,0.7669275151977116,0.8141603806727356
21,0.7514750473369094,0.8644004094253805,0.7841536586709851,0.8173262794646818,0.7795725894364421,0.8473576496060587
22,0.7845905155262697,0.8344487334511008,0.7294293000737457,0.8322893728957996,0.742721698205936,0.8194631253550481
23,0.7398082180550566,0.8371168548295668,0.7102011831484362,0.7599877373207171,0.7483528987030417,0.8048668471443389
24,0.6036048147219608,0.7636697221348965,0.6456640697116272,0.7609357317909373,0.6293007328663869,0.7640863253677701
25,0.7488086690843535,0.8542226892709288,0.7687415065700423,0.8302816711023532,0.7749260536089835,0.8598233763614889
26,0.7224764700517007,0.7887799621948812,0.7241397646953893,0.759621547691361,0.7556111027576017,0.7868788879139444
27,0.8815683969860024,0.9101509945092906,0.8233079627952854,0.8670022401713898,0.879511464977303,0.919495366391918
28,0.8161954402768854,0.7882843741081229,0.7525170348103318,0.7703337637357628,0.808800765403271,0.7974161525126896
29,0.8182208033639575,0.836675915765135,0.7469282064555856,0.8259600103244825,0.8081246312804617,0.8267408546602211
30,0.7852415936768041,0.8135896306526542,0.8228132794328382,0.8199285846695377,0.7822517246722768,0.834079047190885
31,0.7510276484882232,0.7426355210760148,0.7337718140494789,0.772991909734879,0.7259075158513562,0.7408124834492296
32,0.8094014542290404,0.8209889256843119,0.7186167836188856,0.8188604979042675,0.7892416591649967,0.8072803096285588
33,0.8653329365920621,0.8702098760219226,0.8822295296588785,0.8949277979755508,0.8488436281494631,0.8962603102964604
34,0.8586757627380159,0.886587879798435,0.8336128574519276,0.8989704541005785,0.8805931347498412,0.8834798535708945
35,0.7029522917966854,0.7357628973229362,0.6771578798523277,0.6510188927634983,0.7096970119146571,0.709761393903031
36,0.6254110735337461,0.7216595005895595,0.6683425563599905,0.671038977488564,0.6835088894330223,0.7230962278215955
37,0.870980981174648,0.8788989533707692,0.8680354887776114,0.8466103026663808,0.8230238273948813,0.872471644767083
38,0.8537197999369052,0.8174865701985669,0.7983057917211851,0.8225583207524081,0.7925300627513476,0.8255119020893609
39,0.7240779278129376,0.8028898267194469,0.7857360828041913,0.7783428480649057,0.7344450082581555,0.7911300552380444
40,0.7550641025641025,0.786355000715122,0.7340350058630443,0.8367853042479909,0.7823049751182332,0.812639513328783
