subject,f1_macro,bal_acc,acc
1,0.5293020090393176,0.5180267600121541,0.5898550724637681
2,0.7487845129415043,0.7553565139572321,0.8153846153846154
3,0.697001270143685,0.7007290083072899,0.7895622895622896
4,0.6537731081451327,0.6542642959332576,0.7464028776978417
5,0.6368605068069342,0.6531893314980436,0.692090395480226
6,0.7368184572244183,0.7360018318306765,0.8010291595197255
7,0.6183720082095296,0.6148134207994114,0.7
8,0.7267927975896452,0.7296138938580798,0.813588850174216
9,0.6796355232212908,0.6790189132056406,0.7191201353637902
10,0.6865756383580459,0.6952554024922446,0.7838899803536346
11,0.7969213591384814,0.8186479086016428,0.8262548262548263
12,0.6871598831162831,0.6914335664335665,0.757396449704142
13,0.8224804514968662,0.8349900100994855,0.8803191489361702
14,0.6770152010283519,0.6892863609614439,0.7677419354838709
15,0.7674637853403375,0.7918414298906857,0.8524590163934426
16,0.7451452309080152,0.76010101010101,0.8105726872246696
17,0.7339355630397462,0.735225073029951,0.8250355618776671
18,0.7223537186110778,0.7390004617475547,0.79375
19,0.6141206770431908,0.6329374763134478,0.6787709497206704
20,0.6390635699611962,0.652463632112474,0.7646076794657763
21,0.6745797752174404,0.6817056571227638,0.7874794069192751
22,0.6347818689519603,0.6511229720164113,0.6897506925207756
23,0.5334651421405532,0.5319208958370903,0.6036931818181818
24,0.4653110192036472,0.4931141457949833,0.5130168453292496
25,0.6977759806464636,0.7352409056844424,0.7694805194805194
26,0.7154115777226174,0.7352339910752473,0.7984790874524715
27,0.823827275403806,0.829232432548157,0.8804034582132565
28,0.732198253243084,0.7283232433362982,0.8128571428571428
29,0.7286592939392723,0.7266834459635609,0.8057065217391305
30,0.7054303836413983,0.7220661543969814,0.8027522935779816
31,0.602203190838383,0.603299687651276,0.7387862796833773
32,0.6888057734844819,0.6908554337505045,0.7944606413994169
33,0.7239674619005314,0.7271778584392015,0.8280346820809249
34,0.7768317680381633,0.7856857358327947,0.8465189873417721
35,0.6546579971125303,0.6587285877185117,0.7429577464788732
36,0.6759495753347137,0.6675029696398003,0.7915531335149864
37,0.5999149714052194,0.6039103844984691,0.7161764705882353
38,0.7435618042270049,0.7553699894238928,0.8450074515648286
39,0.6582856792796756,0.6754437229437229,0.7965367965367965
40,0.6203871829535132,0.6312847806012871,0.7422839506172839
