model,n_samples,n_features,subjects,cv_splits,acc_mean,bal_acc_mean,f1_macro_mean,acc_std,bal_acc_std,f1_macro_std,fit_time_mean_sec,pred_time_mean_sec,infer_time_per_window_ms
SVM_RBF_balanced_scaled,45382,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8783657696142881,0.8318691615774055,0.8233979084916252,0.0029788957778495643,0.005222434050311627,0.004792087278432408,20.659788999962622,10.353047120035626,1.1406556696526846
RF_balanced,45382,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.883389858850723,0.8185912985963176,0.8271696883098987,0.0026899081606407546,0.003079848438762204,0.002772723752142597,8.439120999979787,0.18334422002080827,0.020200103567582773
