source_file,window_ms,feat_set,model,subject,n_windows,acc,f1_macro,bal_acc
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,LDA_scaled,38,671,0.819672131147541,0.6519345773302947,0.6456497042176585
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,LDA_scaled,39,693,0.7619047619047619,0.5469439756079837,0.517979797979798
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,LDA_scaled,40,648,0.7345679012345679,0.4771254024813834,0.45957386887231394
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,1,690,0.9318840579710145,0.9156496131869463,0.9055464848252016
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,2,520,0.9365384615384615,0.9024414646552074,0.9001293151936034
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,3,594,0.8787878787878788,0.8108461677209935,0.7863892872550049
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,4,556,0.8830935251798561,0.8312001548370394,0.8229495678165417
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,5,708,0.807909604519774,0.7594439508312556,0.7659577866268092
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,6,583,0.8319039451114922,0.7798181548680785,0.7725158245660535
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,7,600,0.935,0.9148679046809888,0.9138634420070527
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,8,574,0.8658536585365854,0.7772572015857421,0.7725630958189098
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,9,591,0.8629441624365483,0.835294319532571,0.823076327272814
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,10,509,0.8722986247544204,0.78213592100104,0.7833827356853673
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,11,518,0.944015444015444,0.9210807111551198,0.9259178032806585
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,12,507,0.8500986193293886,0.7851471793340074,0.7495941558441559
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,13,752,0.9308510638297872,0.8798537935162141,0.8752692615962863
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,14,775,0.8890322580645161,0.8316212625409477,0.829101791485551
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,15,610,0.8934426229508197,0.8209095625648887,0.8238375963748039
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,16,681,0.9192364170337739,0.8803947750003555,0.8702755577755578
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,17,703,0.8947368421052632,0.8350254244427551,0.8258226867982965
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,18,640,0.9109375,0.8624847528112822,0.8625678100968799
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,19,716,0.8743016759776536,0.8169710366415649,0.8117612537144647
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,20,599,0.8747913188647746,0.7768628419072097,0.7757353416408035
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,21,607,0.8962108731466227,0.8250640739201986,0.8258767485572994
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,22,722,0.8767313019390581,0.8270924963693004,0.8231210999858212
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,23,704,0.90625,0.880006149548949,0.8801718675505411
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,24,653,0.9310872894333844,0.8805714320427578,0.8907918021800167
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,25,616,0.8993506493506493,0.8268124392507554,0.8419497203549056
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,26,789,0.8821292775665399,0.8182768825342726,0.8184385047476818
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,27,694,0.9236311239193083,0.8660500607781918,0.8612299758613123
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,28,700,0.9014285714285715,0.8443206663209741,0.8327464981348793
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,29,736,0.8777173913043478,0.8018793923153057,0.7920403465142856
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,30,654,0.9235474006116208,0.8654432815054126,0.8538018998545316
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,31,758,0.8443271767810027,0.7410324703745386,0.7471085651936715
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,32,686,0.8862973760932945,0.817954002269609,0.8146773146814892
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,33,692,0.9465317919075145,0.9122604141936217,0.9156561662777634
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,34,632,0.9129746835443038,0.8649135023581509,0.8674799746821806
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,35,852,0.8392018779342723,0.7802067074738548,0.7841774080445383
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,36,734,0.8869209809264306,0.8277520770906126,0.8267804373522459
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,37,680,0.9323529411764706,0.8842975654757151,0.8715988988244375
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,38,671,0.9329359165424739,0.8818568106811273,0.8724631870111456
