label,support,precision,recall,f1
DNS,4069,0.5728749705674594,0.5979356107151634,0.5851370851370851
STDUP,14686,0.9675499092558983,0.9075309818875119,0.9365798812409964
UPS,4550,0.6620583717357911,0.6630769230769231,0.6625672559569562
WAK,3042,0.5772292993630573,0.7149901380670611,0.6387665198237885
