model,global_f1,coral_f1,per_subject_f1,persubj_minus_coral_pp,cohens_d,wilcoxon_p,n
SVM,0.708,0.7236,0.7767,5.3,1.13,0.0,40
RF,0.7219,0.7466,0.7732,2.7,0.95,0.0,40
