subject,f1_macro,bal_acc,acc
1,0.6708429792681361,0.6802573564791345,0.7318840579710145
2,0.8729166904278644,0.8812819579354967,0.9173076923076923
3,0.8123476884987733,0.8406808124660367,0.8838383838383839
4,0.7809203568641745,0.7772810769168189,0.8597122302158273
5,0.698487429709867,0.7226378030046962,0.7570621468926554
6,0.7460078974475345,0.7544841911088882,0.8113207547169812
7,0.7732346983942175,0.7866963573645421,0.8283333333333334
8,0.74807780287718,0.7491808579017881,0.8397212543554007
9,0.7909824919648527,0.7963274730041158,0.8274111675126904
10,0.7102313419474202,0.7153225064409274,0.831041257367387
11,0.8682620835916856,0.8765893282747215,0.9073359073359073
12,0.8270668452343122,0.8389110889110889,0.8757396449704142
13,0.8935695131978626,0.9049237531750098,0.9321808510638298
14,0.8058885232414644,0.8178568397510961,0.8709677419354839
15,0.834115365692586,0.8563732418028159,0.8967213114754098
16,0.8171264214191113,0.8449585137085138,0.869309838472834
17,0.8099535441017278,0.8103816914792525,0.8819345661450925
18,0.8119286933746366,0.8258821846757893,0.8828125
19,0.7493323266051085,0.7673968570517483,0.8156424581005587
20,0.721121202384184,0.7457574810952884,0.8263772954924875
21,0.7627346519666744,0.779032497545951,0.8467874794069192
22,0.7409953852292037,0.7520429668667642,0.8102493074792244
23,0.6963617112667909,0.6912363015992978,0.7727272727272727
24,0.7011497642333242,0.7278892310238867,0.7993874425727412
25,0.7520582218447945,0.7847903004991367,0.8116883116883117
26,0.7276029762323566,0.7550797033432197,0.8174904942965779
27,0.8471334964401774,0.8466518944320451,0.9149855907780979
28,0.802751648625109,0.805626601604082,0.8671428571428571
29,0.8037798587399274,0.8008691114618671,0.873641304347826
30,0.8040059719751332,0.8123890520507061,0.8899082568807339
31,0.7340918274538094,0.7546827216023911,0.8390501319261213
32,0.7357707426793634,0.7478261188562083,0.8454810495626822
33,0.8382067895501709,0.8410774781782041,0.9075144508670521
34,0.8423175942747149,0.8650314452704159,0.8955696202531646
35,0.7309437258400238,0.7612654991214933,0.8075117370892019
36,0.7040875634942992,0.733996407318124,0.8092643051771117
37,0.7961891858803415,0.8034622084307261,0.8926470588235295
38,0.8108652090258592,0.8203058354543659,0.8912071535022354
39,0.7478608553780732,0.7684758297258298,0.8643578643578643
40,0.7466845799121155,0.7609739320627541,0.8595679012345679
