subject,model,config,buffer,n_test,f1_incl,f1_excl
16,SVM,calib25,25,681,0.760855,0.762405
16,SVM,calib50,50,681,0.79785,0.790371
16,SVM,calib100,100,681,0.813072,0.807214
16,SVM,running,16,681,0.798088,0.803844
16,RF,calib25,25,681,0.680311,0.681258
16,RF,calib50,50,681,0.78709,0.778586
16,RF,calib100,100,681,0.809886,0.804104
16,RF,running,16,681,0.775093,0.774459
17,SVM,calib25,25,703,0.721899,0.725973
17,SVM,calib50,50,703,0.815207,0.816247
17,SVM,calib100,100,703,0.798167,0.798075
17,SVM,running,16,703,0.777186,0.779388
17,RF,calib25,25,703,0.642029,0.642917
17,RF,calib50,50,703,0.684924,0.689396
17,RF,calib100,100,703,0.669284,0.650523
17,RF,running,16,703,0.679063,0.682756
18,SVM,calib25,25,640,0.669501,0.669182
18,SVM,calib50,50,640,0.762205,0.763907
18,SVM,calib100,100,640,0.776237,0.783054
18,SVM,running,16,640,0.759308,0.765402
18,RF,calib25,25,640,0.666758,0.668759
18,RF,calib50,50,640,0.68152,0.676418
18,RF,calib100,100,640,0.672729,0.670851
18,RF,running,16,640,0.682411,0.688507
19,SVM,calib25,25,716,0.768498,0.767658
19,SVM,calib50,50,716,0.73542,0.727566
19,SVM,calib100,100,716,0.758892,0.765397
19,SVM,running,16,716,0.737944,0.741254
19,RF,calib25,25,716,0.711834,0.714151
19,RF,calib50,50,716,0.704191,0.701342
19,RF,calib100,100,716,0.71637,0.718949
19,RF,running,16,716,0.717903,0.715961
20,SVM,calib25,25,599,0.628685,0.619435
20,SVM,calib50,50,599,0.700032,0.687196
20,SVM,calib100,100,599,0.677093,0.648242
20,SVM,running,16,599,0.702956,0.703417
20,RF,calib25,25,599,0.627958,0.630694
20,RF,calib50,50,599,0.665938,0.663956
20,RF,calib100,100,599,0.667056,0.669155
20,RF,running,16,599,0.679909,0.683218
21,SVM,calib25,25,607,0.74913,0.759249
21,SVM,calib50,50,607,0.762473,0.765536
21,SVM,calib100,100,607,0.744594,0.745095
21,SVM,running,16,607,0.760587,0.767018
21,RF,calib25,25,607,0.718003,0.723723
21,RF,calib50,50,607,0.734793,0.751217
21,RF,calib100,100,607,0.741004,0.758142
21,RF,running,16,607,0.748389,0.751659
22,SVM,calib25,25,722,0.726196,0.723906
22,SVM,calib50,50,722,0.718486,0.712359
22,SVM,calib100,100,722,0.705445,0.695727
22,SVM,running,16,722,0.705346,0.705873
22,RF,calib25,25,722,0.715098,0.727938
22,RF,calib50,50,722,0.707752,0.722168
22,RF,calib100,100,722,0.71465,0.73459
22,RF,running,16,722,0.680373,0.690858
23,SVM,calib25,25,704,0.615767,0.61592
23,SVM,calib50,50,704,0.66396,0.656441
23,SVM,calib100,100,704,0.669418,0.670825
23,SVM,running,16,704,0.691202,0.691971
23,RF,calib25,25,704,0.64772,0.642065
23,RF,calib50,50,704,0.712417,0.707213
23,RF,calib100,100,704,0.720542,0.735573
23,RF,running,16,704,0.707303,0.713509
24,SVM,calib25,25,653,0.647432,0.650831
24,SVM,calib50,50,653,0.653911,0.644296
24,SVM,calib100,100,653,0.687494,0.67112
24,SVM,running,16,653,0.658601,0.657283
24,RF,calib25,25,653,0.627561,0.642545
24,RF,calib50,50,653,0.647109,0.644946
24,RF,calib100,100,653,0.683257,0.660539
24,RF,running,16,653,0.665271,0.665086
25,SVM,calib25,25,616,0.74842,0.752799
25,SVM,calib50,50,616,0.741977,0.739424
25,SVM,calib100,100,616,0.780742,0.788593
25,SVM,running,16,616,0.73757,0.744838
25,RF,calib25,25,616,0.762253,0.766673
25,RF,calib50,50,616,0.765754,0.785497
25,RF,calib100,100,616,0.768837,0.792073
25,RF,running,16,616,0.746644,0.758354
26,SVM,calib25,25,789,0.627432,0.624454
26,SVM,calib50,50,789,0.724855,0.729019
26,SVM,calib100,100,789,0.713763,0.710014
26,SVM,running,16,789,0.714493,0.718412
26,RF,calib25,25,789,0.691573,0.695513
26,RF,calib50,50,789,0.701814,0.705534
26,RF,calib100,100,789,0.714428,0.716141
26,RF,running,16,789,0.669101,0.67203
27,SVM,calib25,25,694,0.782239,0.7872
27,SVM,calib50,50,694,0.823768,0.823071
27,SVM,calib100,100,694,0.832971,0.830147
27,SVM,running,16,694,0.807138,0.811286
27,RF,calib25,25,694,0.738381,0.749745
27,RF,calib50,50,694,0.756484,0.765034
27,RF,calib100,100,694,0.774808,0.791775
27,RF,running,16,694,0.745935,0.750895
28,SVM,calib25,25,700,0.747285,0.752518
28,SVM,calib50,50,700,0.73345,0.733976
28,SVM,calib100,100,700,0.760185,0.755511
28,SVM,running,16,700,0.762862,0.769097
28,RF,calib25,25,700,0.711624,0.726043
28,RF,calib50,50,700,0.693591,0.685104
28,RF,calib100,100,700,0.742491,0.736451
28,RF,running,16,700,0.698044,0.706232
29,SVM,calib25,25,736,0.655624,0.652104
29,SVM,calib50,50,736,0.74151,0.743808
29,SVM,calib100,100,736,0.768265,0.78278
29,SVM,running,16,736,0.757708,0.76144
29,RF,calib25,25,736,0.562549,0.555716
29,RF,calib50,50,736,0.649297,0.646903
29,RF,calib100,100,736,0.67291,0.674646
29,RF,running,16,736,0.645033,0.644474
30,SVM,calib25,25,654,0.757397,0.757078
30,SVM,calib50,50,654,0.759994,0.750734
30,SVM,calib100,100,654,0.760777,0.736634
30,SVM,running,16,654,0.761168,0.756904
30,RF,calib25,25,654,0.701972,0.707914
30,RF,calib50,50,654,0.733493,0.727058
30,RF,calib100,100,654,0.728833,0.735297
30,RF,running,16,654,0.734125,0.733969
31,SVM,calib25,25,758,0.660697,0.656141
31,SVM,calib50,50,758,0.658472,0.654894
31,SVM,calib100,100,758,0.668762,0.667371
31,SVM,running,16,758,0.668598,0.663243
31,RF,calib25,25,758,0.623402,0.622038
31,RF,calib50,50,758,0.616926,0.618405
31,RF,calib100,100,758,0.639146,0.652466
31,RF,running,16,758,0.643496,0.637175
32,SVM,calib25,25,686,0.735707,0.743551
32,SVM,calib50,50,686,0.70751,0.724864
32,SVM,calib100,100,686,0.766478,0.772922
32,SVM,running,16,686,0.756012,0.761215
32,RF,calib25,25,686,0.736125,0.743273
32,RF,calib50,50,686,0.693953,0.683286
32,RF,calib100,100,686,0.731071,0.734682
32,RF,running,16,686,0.704769,0.706843
33,SVM,calib25,25,692,0.685848,0.683791
33,SVM,calib50,50,692,0.713094,0.720072
33,SVM,calib100,100,692,0.74278,0.759876
33,SVM,running,16,692,0.737941,0.74372
33,RF,calib25,25,692,0.716202,0.712747
33,RF,calib50,50,692,0.753612,0.744036
33,RF,calib100,100,692,0.771464,0.77712
33,RF,running,16,692,0.762303,0.757648
34,SVM,calib25,25,632,0.784796,0.790775
34,SVM,calib50,50,632,0.823696,0.823855
34,SVM,calib100,100,632,0.833158,0.842702
34,SVM,running,16,632,0.801898,0.809996
34,RF,calib25,25,632,0.766554,0.769274
34,RF,calib50,50,632,0.801286,0.808244
34,RF,calib100,100,632,0.803651,0.831597
34,RF,running,16,632,0.777603,0.784327
35,SVM,calib25,25,852,0.723782,0.716283
35,SVM,calib50,50,852,0.745855,0.741161
35,SVM,calib100,100,852,0.726082,0.708203
35,SVM,running,16,852,0.716642,0.715007
35,RF,calib25,25,852,0.672177,0.663733
35,RF,calib50,50,852,0.686063,0.682128
35,RF,calib100,100,852,0.674707,0.658601
35,RF,running,16,852,0.66935,0.66622
36,SVM,calib25,25,734,0.67696,0.678553
36,SVM,calib50,50,734,0.632207,0.627835
36,SVM,calib100,100,734,0.653901,0.651248
36,SVM,running,16,734,0.621731,0.626526
36,RF,calib25,25,734,0.552695,0.551566
36,RF,calib50,50,734,0.556366,0.553715
36,RF,calib100,100,734,0.592173,0.588106
36,RF,running,16,734,0.601371,0.607756
37,SVM,calib25,25,680,0.623219,0.633353
37,SVM,calib50,50,680,0.659287,0.654001
37,SVM,calib100,100,680,0.727505,0.750952
37,SVM,running,16,680,0.72656,0.72738
37,RF,calib25,25,680,0.472381,0.478318
37,RF,calib50,50,680,0.5747,0.575292
37,RF,calib100,100,680,0.682302,0.691819
37,RF,running,16,680,0.66892,0.678231
38,SVM,calib25,25,671,0.744882,0.743688
38,SVM,calib50,50,671,0.748411,0.74257
38,SVM,calib100,100,671,0.75697,0.741722
38,SVM,running,16,671,0.735759,0.732492
38,RF,calib25,25,671,0.723499,0.72972
38,RF,calib50,50,671,0.702336,0.714074
38,RF,calib100,100,671,0.737749,0.730616
38,RF,running,16,671,0.719157,0.72718
39,SVM,calib25,25,693,0.637047,0.645204
39,SVM,calib50,50,693,0.663691,0.677616
39,SVM,calib100,100,693,0.6787,0.678068
39,SVM,running,16,693,0.673312,0.679885
39,RF,calib25,25,693,0.595381,0.60387
39,RF,calib50,50,693,0.657161,0.675191
39,RF,calib100,100,693,0.720813,0.721332
39,RF,running,16,693,0.696147,0.709226
40,SVM,calib25,25,648,0.63012,0.626887
40,SVM,calib50,50,648,0.679127,0.673929
40,SVM,calib100,100,648,0.705373,0.719942
40,SVM,running,16,648,0.68648,0.687344
40,RF,calib25,25,648,0.59459,0.589399
40,RF,calib50,50,648,0.697473,0.684515
40,RF,calib100,100,648,0.701932,0.715197
40,RF,running,16,648,0.712306,0.712097
