subject,f1_macro,bal_acc,acc
1,0.5751701503386164,0.5549200408646979,0.6884057971014492
2,0.7213052902371532,0.6794915446600839,0.8192307692307692
3,0.7374086793229409,0.6999330118143046,0.8181818181818182
4,0.738214302231373,0.7033958933868071,0.8309352517985612
5,0.6567869864565049,0.6419872645908562,0.7259887005649718
6,0.6594522777377746,0.6307825215851071,0.7427101200686106
7,0.7114213966894853,0.6982346045564172,0.8016666666666666
8,0.7457313506849037,0.7294558155023272,0.8275261324041812
9,0.678107245629433,0.6386482324875298,0.7411167512690355
10,0.6233171009698272,0.6198850491613649,0.7976424361493124
11,0.8178594650950807,0.7927758846132937,0.862934362934363
12,0.7220878973646178,0.6953671328671329,0.8205128205128205
13,0.7819600065652696,0.7338295671199495,0.8577127659574468
14,0.6950461425292734,0.6548174076924594,0.7987096774193548
15,0.7603411173872949,0.7266906335017489,0.8540983606557377
16,0.794193601048286,0.7660589410589411,0.8649045521292217
17,0.6849237685097138,0.6576848625629114,0.7980085348506402
18,0.6815200982249134,0.6603473561322398,0.80625
19,0.70419122027798,0.6830334788382701,0.8058659217877095
20,0.6618180825028442,0.6306178073702713,0.7946577629382304
21,0.7326813911268875,0.711505427263955,0.8336079077429983
22,0.7077515756722775,0.6963486849627281,0.7867036011080333
23,0.7124171823268313,0.7022920730529366,0.7769886363636364
24,0.6446411794186668,0.59661922486768,0.7856049004594181
25,0.7657544200208631,0.7511498349210985,0.8474025974025974
26,0.7018142613095687,0.6866910737655185,0.8010139416983524
27,0.7564837102979893,0.7317862628922537,0.8544668587896254
28,0.6768467759889136,0.6465287051938489,0.7857142857142857
29,0.6492973402553679,0.6170112508527456,0.7785326086956522
30,0.7309281848781405,0.7073330804533812,0.8409785932721713
31,0.6169258121636388,0.5974435692853246,0.7651715039577837
32,0.6939532242756373,0.6589342674868991,0.8119533527696793
33,0.7536118821745729,0.7263520871143375,0.8453757225433526
34,0.8012864748045359,0.773709828162034,0.865506329113924
35,0.68606302427731,0.6820615165519948,0.7676056338028169
36,0.5563655179257215,0.5305924940898346,0.7166212534059946
37,0.5747003725924387,0.5471104256862117,0.7661764705882353
38,0.7023363657947528,0.6468633415850213,0.8390461997019374
39,0.6525562549931165,0.629825036075036,0.823953823953824
40,0.6974728746732237,0.6738482907550128,0.8256172839506173
