subject,f1_macro,bal_acc,acc
1,0.6440514486110529,0.6472007104153075,0.7217391304347827
2,0.7682463416084686,0.746280255518064,0.8442307692307692
3,0.809703150803341,0.7935022706700119,0.8737373737373737
4,0.7093546365098089,0.691966104921618,0.814748201438849
5,0.6869314054369574,0.6954562821251228,0.7457627118644068
6,0.7236702105773625,0.7208243558667744,0.79073756432247
7,0.7523816720662515,0.749199929719661,0.8183333333333334
8,0.7226743869038793,0.7183792951234812,0.8240418118466899
9,0.7714989860500696,0.7557155178371835,0.8155668358714044
10,0.6710737476459323,0.6747495925127505,0.8133595284872298
11,0.8521855006077447,0.8459030394588888,0.8938223938223938
12,0.8187251804265776,0.8061938061938061,0.8717948717948718
13,0.8231199676046314,0.8099286233053598,0.8909574468085106
14,0.7501358903491647,0.7372499801097098,0.8387096774193549
15,0.8062838004145186,0.8015435816060517,0.8803278688524591
16,0.7980876437967352,0.7987984237984238,0.8604992657856094
17,0.7771855673009262,0.7683604336043361,0.8577524893314367
18,0.7593082436393124,0.7574225919429407,0.8453125
19,0.7379435099574194,0.7354299955936406,0.8058659217877095
20,0.7029559939458974,0.7033962582167538,0.8130217028380634
21,0.7605869143226887,0.7574834815609266,0.8500823723228995
22,0.7053457038370052,0.7080300601984775,0.7811634349030471
23,0.6912019474666761,0.685697316967295,0.765625
24,0.658601169717699,0.6613574056984727,0.7825421133231241
25,0.7375701045673686,0.7573703236744549,0.8068181818181818
26,0.7144931531884614,0.715805168849881,0.8111533586818758
27,0.8071381168889321,0.7997734656411739,0.8890489913544669
28,0.762861839200647,0.7491387936476057,0.84
29,0.7577081280535499,0.7362473996056997,0.842391304347826
30,0.761167604753789,0.7529616373601336,0.8623853211009175
31,0.6685983672530758,0.6691729722305463,0.7941952506596306
32,0.7560119060559287,0.7470916851427137,0.8542274052478134
33,0.7379407940983813,0.7335243280615331,0.8424855491329479
34,0.8018984659716925,0.8000298225059255,0.875
35,0.7166415654012177,0.7268038893170006,0.7981220657276995
36,0.6217308298198264,0.6254177875601206,0.7574931880108992
37,0.7265601071710798,0.7143402465454689,0.8441176470588235
38,0.735759337062879,0.7191118103738828,0.849478390461997
39,0.6733119350041432,0.6975703463203463,0.8253968253968254
40,0.6864804658394792,0.6835704502883064,0.8225308641975309
