subject,f1_macro,bal_acc,acc
1,0.575489255183583,0.5838394298870746,0.672463768115942
2,0.7663423379069296,0.7404668802502696,0.8480769230769231
3,0.7671684614773355,0.7656754258462453,0.867003367003367
4,0.6451726104704708,0.6374084974703333,0.7823741007194245
5,0.6681933419486433,0.6730533794099286,0.7259887005649718
6,0.6997830257576452,0.6879177550063625,0.7753001715265866
7,0.6890296186916963,0.7052413347224682,0.795
8,0.6942474416026448,0.691823099381239,0.8048780487804879
9,0.7322288817234275,0.7266475651869276,0.7884940778341794
10,0.6157946642698712,0.6252645380934855,0.7917485265225933
11,0.8415065177550153,0.8297712752107993,0.8861003861003861
12,0.767423084650598,0.7547764735264735,0.8500986193293886
13,0.8267581304313305,0.8111374294525924,0.8962765957446809
14,0.7162854451360976,0.7038620235586864,0.8193548387096774
15,0.8067265750919435,0.7886044176706828,0.8901639344262295
16,0.7608546717417424,0.7579212454212454,0.8399412628487518
17,0.7218987908643082,0.715015133917573,0.817923186344239
18,0.6695010332143897,0.6741366191947588,0.78125
19,0.7684982365321326,0.7687973352399752,0.8337988826815642
20,0.6286848036398132,0.629355117103394,0.7612687813021702
21,0.7491295434193855,0.7393671909734925,0.8517298187808896
22,0.726195602758945,0.7305090283105892,0.7839335180055401
23,0.6157665885415532,0.6199411218853662,0.6775568181818182
24,0.6474318263819996,0.6562763624498065,0.7702909647779479
25,0.7484202552779664,0.7682212896559084,0.8181818181818182
26,0.6274321292667617,0.6282009095469032,0.7579214195183777
27,0.7822392482976678,0.7785423925667828,0.877521613832853
28,0.7472848847633642,0.7419996461690327,0.8257142857142857
29,0.6556236156876396,0.626209974052035,0.7758152173913043
30,0.7573968578569805,0.7475891902583631,0.8562691131498471
31,0.66069696487924,0.6455111996995613,0.7994722955145118
32,0.7357069627511587,0.7320920588561852,0.8338192419825073
33,0.6858482540392681,0.6707222798375247,0.8106936416184971
34,0.7847962311930943,0.7765485011312218,0.8607594936708861
35,0.7237816789953435,0.7365360469463242,0.8028169014084507
36,0.676960274689016,0.6617653052906172,0.7915531335149864
37,0.6232192573472849,0.603725117468064,0.7867647058823529
38,0.7448823565941112,0.7279592761758655,0.8524590163934426
39,0.6370471111787291,0.656082251082251,0.810966810966811
40,0.6301202557654264,0.6181425090178024,0.7916666666666666
