subject,f1_macro,bal_acc,acc
1,0.5351422691899139,0.5260778603962504,0.6652173913043479
2,0.7121875617378589,0.6752480790764122,0.8134615384615385
3,0.7419137034685188,0.7100228482315746,0.8198653198653199
4,0.71401521707081,0.6814000947479825,0.814748201438849
5,0.6507907522900958,0.6455757053114937,0.7231638418079096
6,0.6809638678380138,0.6585042436341925,0.7547169811320755
7,0.6542250849537381,0.6327318873702662,0.76
8,0.7080259492326244,0.6887392646113577,0.7996515679442509
9,0.7225886023599376,0.6925044101420158,0.7698815566835872
10,0.6541671608115659,0.6441338266996162,0.8055009823182712
11,0.7899145791727872,0.7612356689356028,0.8436293436293436
12,0.7175478982866801,0.6804133366633367,0.8106508875739645
13,0.7939595571283767,0.751780953203487,0.8670212765957447
14,0.720373828993614,0.6880561541203928,0.8193548387096774
15,0.7444967365613878,0.7161840479045734,0.8377049180327869
16,0.7740735709029619,0.7549332611832612,0.8414096916299559
17,0.6790632119523373,0.654926442121564,0.7923186344238976
18,0.6824105174970823,0.6568529580884231,0.7984375
19,0.7179026817000942,0.694074748603749,0.8044692737430168
20,0.6799087114876589,0.6540406722182162,0.7929883138564274
21,0.7479241886256947,0.7351845592596042,0.841845140032949
22,0.6803729135968334,0.6713277156785926,0.7659279778393352
23,0.7073028582976293,0.7055250737173795,0.7755681818181818
24,0.6583986279857839,0.61493684532197,0.7932618683001531
25,0.7466444496083549,0.7269109107450734,0.827922077922078
26,0.6691012095445502,0.655068244436645,0.779467680608365
27,0.7459354017573196,0.7132433618608733,0.8443804034582133
28,0.7012879900306633,0.6788866322972068,0.7928571428571428
29,0.6450328279355859,0.6189034800371925,0.7758152173913043
30,0.7268262987012987,0.7024272719761441,0.8379204892966361
31,0.6434962363781299,0.6284216448445172,0.7783641160949868
32,0.7047687152482833,0.6779938713882074,0.8192419825072886
33,0.7623026060967695,0.7352238354506957,0.8511560693641619
34,0.7776029236148966,0.7566249730661496,0.8481012658227848
35,0.6693497788799696,0.6722022973691526,0.7593896713615024
36,0.6013709874662458,0.5790706264775414,0.7438692098092643
37,0.6689202915588841,0.6377971197629577,0.8132352941176471
38,0.719157406757247,0.6671703392489802,0.8435171385991058
39,0.6982455945912807,0.686569264069264,0.84992784992785
40,0.7123064316071027,0.6876423077863412,0.8348765432098766
