K_per_class,f1_mean,f1_sd,lift_mean,lift_sd,n
0,0.8176,0.0687,0.0,0.0,200
5,0.8303,0.0682,1.2708,4.2911,200
10,0.8429,0.065,2.5342,3.9809,200
20,0.8538,0.0635,3.6224,3.9863,200
